Example,Page,Class,Function,Source File
load(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,load,nltk\nltk\data.py
retrieve(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,retrieve,nltk\nltk\data.py
write(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,write,N/A
writestr(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,writestr,N/A
seek(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,seek,N/A
tell(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,tell,N/A
readline(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,SeekableUnicodeStreamReader,readline,nltk\nltk\data.py
read(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,SeekableUnicodeStreamReader,read,nltk\nltk\data.py
find(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,find,nltk\nltk\data.py
download(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Downloader,download,nltk\nltk\downloader.py
Downloader.default_download_dir(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Downloader,default_download_dir,nltk\nltk\downloader.py
default_download_dir(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Downloader,default_download_dir,nltk\nltk\downloader.py
_package_to_columns(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,DownloaderGUI,_package_to_columns,nltk\nltk\downloader.py
unify(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,unify,nltk\nltk\featstruct.py
walk(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FeatStruct,walk,nltk\nltk\featstruct.py
cyclic(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FeatStruct,cyclic,nltk\nltk\featstruct.py
"fstruct[(f1,f2,...,fn)]",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
freeze(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FeatStruct,freeze,nltk\nltk\featstruct.py
equal_values(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FeatStruct,equal_values,nltk\nltk\featstruct.py
copy(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FreqDist,copy,repos\nltk\nltk\probability.py
nltk.featstruct.rename_variables(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,rename_variables,nltk\nltk\featstruct.py
nltk.featstruct.retract_bindings(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,retract_bindings,nltk\nltk\featstruct.py
nltk.featstruct.substitute_bindings(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,substitute_bindings,nltk\nltk\featstruct.py
nltk.featstruct.find_variables(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,find_variables,nltk\nltk\featstruct.py
"(string, position)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
"(nonterminal, position)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
FreqDist.N(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FreqDist,N,nltk\nltk\probability.py
FreqDist.B(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FreqDist,B,nltk\nltk\probability.py
bins-self.B(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
self.B(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
Counter.setdefault(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
Counter.update(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
2**(logprob),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
c+gamma)/(N+B*gamma),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
self.prob(samp),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
log(p),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
log(2**(logx)+2**(logy)),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
findall(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,TokenSearcher,findall,nltk\nltk\text.py
"(marker, value)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
fields(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,StandardFormat,fields,nltk\nltk\toolbox.py
decode(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,StandardFormat,decode,nltk\nltk\toolbox.py
StandardFormat.fields(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,StandardFormat,fields,nltk\nltk\toolbox.py
encode(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,encode,N/A
parents(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,MultiParentedTree,parents,nltk\nltk\parented.py
parent_indices(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,MultiParentedTree,parent_indices,nltk\nltk\parented.py
left_siblings(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,MultiParentedTree,left_siblings,nltk\nltk\parented.py
right_siblings(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,MultiParentedTree,right_siblings,nltk\nltk\parented.py
ptree.parent()[ptree.parent_index()] is ptree,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,ParentedTree,parent,nltk\nltk\parented.py
ptree.parent()[ptree.parent_index()] is ptree,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,ParentedTree,parent_index,nltk\nltk\parented.py
ptree.parent_index(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,ParentedTree,parent_index,nltk\nltk\parented.py
ptree.parent.index(ptree),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
index(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
ptree.parent(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,ParentedTree,ptree.parent,nltk\nltk\parented.py
(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
"Tree(label, children)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Tree,Tree,nltk\nltk\tree\tree.py
Tree.fromstring(s),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Tree,fromstring,nltk\nltk\tree\tree.py
tp=self.leaf_treeposition(i),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Tree,leaf_treeposition,nltk\nltk\tree\tree.py
self[tp]==self.leaves()[i],https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Tree,leaves,nltk\nltk\tree\tree.py
(S: (NP: I) (VP: (V: saw) (NP: it))),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
self.leaves()[start:end],https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
"(decoded_unicode, successful_encoding)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
">>> download('treebank') 
[nltk_data] Downloading package 'treebank'...
[nltk_data]   Unzipping corpora/treebank.zip.
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Downloader,download,nltk\nltk\downloader.py
">>> download('all-corpora') 
[nltk_data] Downloading package 'abc'...
[nltk_data]   Unzipping corpora/abc.zip.
[nltk_data] Downloading package 'alpino'...
[nltk_data]   Unzipping corpora/alpino.zip.
  ...
[nltk_data] Downloading package 'words'...
[nltk_data]   Unzipping corpora/words.zip.
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Downloader,download,nltk\nltk\downloader.py
">>> from nltk.featstruct import unify
>>> unify(dict(x=1, y=dict()), dict(a='a', y=dict(b='b')))  
{'y': {'b': 'b'}, 'x': 1, 'a': 'a'}
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,unify,nltk\nltk\featstruct.py
"def handler(s, position, reentrances, match): ...
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
">>> from nltk.featstruct import FeatStruct
>>> FeatStruct('[a=?x]').unify(FeatStruct('[b=?x]'))
[a=?x, b=?x2]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FeatStruct,unify,nltk\nltk\featstruct.py
">>> from nltk.probability import ConditionalFreqDist
>>> from nltk.tokenize import word_tokenize
>>> sent = ""the the the dog dog some other words that we do not care about""
>>> cfdist = ConditionalFreqDist()
>>> for word in word_tokenize(sent):
...     condition = len(word)
...     cfdist[condition][word] += 1
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,ConditionalFreqDist,__init__,nltk\nltk\probability.py
">>> from nltk.probability import ConditionalFreqDist
>>> from nltk.tokenize import word_tokenize
>>> sent = ""the the the dog dog some other words that we do not care about""
>>> cfdist = ConditionalFreqDist()
>>> for word in word_tokenize(sent):
...     condition = len(word)
...     cfdist[condition][word] += 1
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,word_tokenize,nltk\nltk\tokenize\__init__.py
">>> cfdist = ConditionalFreqDist((len(word), word) for word in word_tokenize(sent))
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,ConditionalFreqDist,__init__,nltk\nltk\probability.py
">>> cfdist = ConditionalFreqDist((len(word), word) for word in word_tokenize(sent))
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,word_tokenize,"
nltk\nltk\tokenize\__init__.py"
">>> cfdist[3]
FreqDist({'the': 3, 'dog': 2, 'not': 1})
>>> cfdist[3].freq('the')
0.5
>>> cfdist[3]['dog']
2
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FreqDist,__init__,nltk\nltk\probability.py
">>> cfdist[3]
FreqDist({'the': 3, 'dog': 2, 'not': 1})
>>> cfdist[3].freq('the')
0.5
>>> cfdist[3]['dog']
2
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FreqDist,freq,nltk\nltk\probability.py
">>> from nltk.corpus import brown
>>> from nltk.probability import ConditionalFreqDist
>>> from nltk.probability import ConditionalProbDist, ELEProbDist
>>> cfdist = ConditionalFreqDist(brown.tagged_words()[:5000])
>>> cpdist = ConditionalProbDist(cfdist, ELEProbDist, 10)
>>> cpdist['passed'].max()
'VBD'
>>> cpdist['passed'].prob('VBD')
0.423...
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,ConditionalFreqDist,ConditionalFreqDist,nltk\nltk\probability.py
">>> from nltk.corpus import brown
>>> from nltk.probability import ConditionalFreqDist
>>> from nltk.probability import ConditionalProbDist, ELEProbDist
>>> cfdist = ConditionalFreqDist(brown.tagged_words()[:5000])
>>> cpdist = ConditionalProbDist(cfdist, ELEProbDist, 10)
>>> cpdist['passed'].max()
'VBD'
>>> cpdist['passed'].prob('VBD')
0.423...
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,ConditionalProbDist,ConditionalProbDist,nltk\nltk\probability.py
">>> from nltk.corpus import brown
>>> from nltk.probability import ConditionalFreqDist
>>> from nltk.probability import ConditionalProbDist, ELEProbDist
>>> cfdist = ConditionalFreqDist(brown.tagged_words()[:5000])
>>> cpdist = ConditionalProbDist(cfdist, ELEProbDist, 10)
>>> cpdist['passed'].max()
'VBD'
>>> cpdist['passed'].prob('VBD')
0.423...
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FreqDist,max,nltk\nltk\probability.py
">>> from nltk.corpus import brown
>>> from nltk.probability import ConditionalFreqDist
>>> from nltk.probability import ConditionalProbDist, ELEProbDist
>>> cfdist = ConditionalFreqDist(brown.tagged_words()[:5000])
>>> cpdist = ConditionalProbDist(cfdist, ELEProbDist, 10)
>>> cpdist['passed'].max()
'VBD'
>>> cpdist['passed'].prob('VBD')
0.423...
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,ProbDistI,prob,nltk\nltk\probability.py
">>> from nltk.tokenize import word_tokenize
>>> from nltk.probability import FreqDist
>>> sent = 'This is an example sentence'
>>> fdist = FreqDist()
>>> for word in word_tokenize(sent):
...    fdist[word.lower()] += 1
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FreqDist,FreqDist,nltk\nltk\probability.py
">>> from nltk.tokenize import word_tokenize
>>> from nltk.probability import FreqDist
>>> sent = 'This is an example sentence'
>>> fdist = FreqDist()
>>> for word in word_tokenize(sent):
...    fdist[word.lower()] += 1
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,word_tokenize,repos\nltk\nltk\tokenize\__init__.py
">>> fdist = FreqDist(word.lower() for word in word_tokenize(sent))
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,FreqDist,,nltk\nltk\probability.py
">>> fdist = FreqDist(word.lower() for word in word_tokenize(sent))
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,word_tokenize,repos\nltk\nltk\tokenize\__init__.py
">>> from nltk.probability import ProbabilisticMixIn
>>> class A:
...     def __init__(self, x, y): self.data = (x,y)
...
>>> class ProbabilisticA(A, ProbabilisticMixIn):
...     def __init__(self, x, y, **prob_kwarg):
...         A.__init__(self, x, y)
...         ProbabilisticMixIn.__init__(self, **prob_kwarg)
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,ProbabilisticMixIn,ProbabilisticMixIn,nltk\nltk\probability.py
">>> import nltk.corpus
>>> from nltk.text import Text
>>> moby = Text(nltk.corpus.gutenberg.words('melville-moby_dick.txt'))
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Text,Text,nltk\nltk\text.py
">>> from nltk.book import text4
>>> text4.collocation_list()[:2]
[('United', 'States'), ('fellow', 'citizens')]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Text,collocation,nltk\nltk\text.py
">>> from nltk.book import text4
>>> text4.collocations() 
United States; fellow citizens; four years; ...
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Text,collocation,nltk\nltk\text.py
">>> print('hack'); from nltk.book import text1, text5, text9
hack...
>>> text5.findall(""<.*><.*>"")
you rule bro; telling you bro; u twizted bro
>>> text1.findall(""(<.*>)"")
monied; nervous; dangerous; white; white; white; pious; queer; good;
mature; white; Cape; great; wise; wise; butterless; white; fiendish;
pale; furious; better; certain; complete; dismasted; younger; brave;
brave; brave; brave
>>> text9.findall(""{3,}"")
thread through those; the thought that; that the thing; the thing
that; that that thing; through these than through; them that the;
through the thick; them that they; thought that the
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Text,findall,nltk\nltk\text.py
">>> import nltk.corpus
>>> from nltk.text import TextCollection
>>> print('hack'); from nltk.book import text1, text2, text3
hack...
>>> gutenberg = TextCollection(nltk.corpus.gutenberg)
>>> mytexts = TextCollection([text1, text2, text3])
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,TextCollection,__init__,nltk\nltk\text.py
">>> from nltk.text import TokenSearcher
>>> print('hack'); from nltk.book import text1, text5, text9
hack...
>>> text5.findall(""<.*><.*>"")
you rule bro; telling you bro; u twizted bro
>>> text1.findall(""(<.*>)"")
monied; nervous; dangerous; white; white; white; pious; queer; good;
mature; white; Cape; great; wise; wise; butterless; white; fiendish;
pale; furious; better; certain; complete; dismasted; younger; brave;
brave; brave; brave
>>> text9.findall(""{3,}"")
thread through those; the thought that; that the thing; the thing
that; that that thing; through these than through; them that the;
through the thick; them that they; thought that the",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,TokenSearcher,findall,nltk\nltk\text.py
"for parent_index in ptree.parent_indices(parent):
    parent[parent_index] is ptree
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,MultiParentedTree,parent_indices,nltk\nltk\parented.py
"for treepos in ptree.treepositions(root):
    root[treepos] is ptree
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,MultiParentedTree,treepositions,nltk\nltk\parented.py
">>> from nltk.tree import Tree
>>> print(Tree(1, [2, Tree(3, [4]), 5]))
(1 2 (3 4) 5)
>>> vp = Tree('VP', [Tree('V', ['saw']),
...                  Tree('NP', ['him'])])
>>> s = Tree('S', [Tree('NP', ['I']), vp])
>>> print(s)
(S (NP I) (VP (V saw) (NP him)))
>>> print(s[1])
(VP (V saw) (NP him))
>>> print(s[1,1])
(NP him)
>>> t = Tree.fromstring(""(S (NP I) (VP (V saw) (NP him)))"")
>>> s == t
True
>>> t[1][1].set_label('X')
>>> t[1][1].label()
'X'
>>> print(t)
(S (NP I) (VP (V saw) (X him)))
>>> t[0], t[1,1] = t[1,1], t[0]
>>> print(t)
(S (X him) (VP (V saw) (NP I)))
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Tree,__init__,nltk\nltk\tree\tree.py
">>> from nltk.tree import Tree
>>> print(Tree(1, [2, Tree(3, [4]), 5]))
(1 2 (3 4) 5)
>>> vp = Tree('VP', [Tree('V', ['saw']),
...                  Tree('NP', ['him'])])
>>> s = Tree('S', [Tree('NP', ['I']), vp])
>>> print(s)
(S (NP I) (VP (V saw) (NP him)))
>>> print(s[1])
(VP (V saw) (NP him))
>>> print(s[1,1])
(NP him)
>>> t = Tree.fromstring(""(S (NP I) (VP (V saw) (NP him)))"")
>>> s == t
True
>>> t[1][1].set_label('X')
>>> t[1][1].label()
'X'
>>> print(t)
(S (NP I) (VP (V saw) (X him)))
>>> t[0], t[1,1] = t[1,1], t[0]
>>> print(t)
(S (X him) (VP (V saw) (NP I)))
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Tree,fromstring,nltk\nltk\tree\tree.py
">>> len(t)
2
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
">>> t = Tree.fromstring(""(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))"")
>>> print(t.flatten())
(S the dog chased the cat)
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Tree,fromstring,nltk\nltk\tree\tree.py
">>> t = Tree.fromstring(""(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))"")
>>> print(t.flatten())
(S the dog chased the cat)
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Tree,flatten,nltk\nltk\tree\tree.py
"(S (NP (NNP John)) (VP (V runs)))
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
">>> t = Tree.fromstring(""(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))"")
>>> t.height()
5
>>> print(t[0,0])
(D the)
>>> t[0,0].height()
2
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Tree,fromstring,nltk\nltk\tree\tree.py
">>> t = Tree.fromstring(""(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))"")
>>> t.height()
5
>>> print(t[0,0])
(D the)
>>> t[0,0].height()
2
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Tree,height,nltk\nltk\tree\tree.py
">>> t = Tree.fromstring('(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))')
>>> t.label()
'S'
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,Tree,fromstring,nltk\nltk\tree\tree.py
