Example,Page,Class,Function,Source File
"new jBinary(data, typeSet)",https://github.com/jDataView/jBinary/wiki/jBinary-Constructor,jBinary,jBinary,jBinary/src/core.js
"var b1 = new jBinary([0x05, 0x03, 0x7F, 0x1E]); // with default typeset
var b2 = new jBinary(new jDataView(data, 5, 10, true), {
  MetaName: ['string', 30]
}); // with custom jDataView instance on data and typeset with custom type MetaName.
var b3 = new jBinary(1024, typeSet); // jBinary on empty pre-allocated 1KB buffer with typeSet defined in variable",https://github.com/jDataView/jBinary/wiki/jBinary-Constructor,jBinary,jBinary,jBinary/src/core.js
"read(type, offset = binary.tell())",https://github.com/jDataView/jBinary/wiki/jBinary-Methods,props,read,jBinary/src/proto/props.js
readAll(),https://github.com/jDataView/jBinary/wiki/jBinary-Methods,props,readAll,jBinary/src/proto/props.js
"write(type, data, offset = binary.tell())",https://github.com/jDataView/jBinary/wiki/jBinary-Methods,props,write,jBinary/src/proto/props.js
writeAll(data),https://github.com/jDataView/jBinary/wiki/jBinary-Methods,props,writeAll,jBinary/src/proto/props.js
tell(),https://github.com/jDataView/jBinary/wiki/jBinary-Methods,position,tell,jBinary/src/proto/position.js
"seek(position[, callback])",https://github.com/jDataView/jBinary/wiki/jBinary-Methods,position,seek,jBinary/src/proto/position.js
"skip(count[, callback])",https://github.com/jDataView/jBinary/wiki/jBinary-Methods,position,skip,jBinary/src/proto/position.js
"slice(start, end, forceCopy = false)",https://github.com/jDataView/jBinary/wiki/jBinary-Methods,position,slice,jBinary/src/proto/position.js
"as(typeSet, modifyOriginal = false)",https://github.com/jDataView/jBinary/wiki/jBinary-Methods,as,as,jBinary\src\proto\as.js
"var firstInt = binary.read('uint32'); // uint32 value at offset 0
var secondInt = binary.read('uint32'); // following uint32 value at offset 4
var byteAtOffset100 = binary.read('uint8', 100); // uint8 value at custom position
var thirdInt = binary.read('uint32'); // third uint32 value at offset 8 (since read operation with custom position didn't move internal pointer)",https://github.com/jDataView/jBinary/wiki/jBinary-Methods,props,read,jBinary/src/proto/props.js
"binary.write('uint32', 1); // writing uint32 value of 1 at offset 0
binary.write('uint32', 2); // writing uint32 value of 2 at offset 4
binary.write('uint8', 0xff, 100); // writing uint8 value of 255 at offset 100
binary.write('uint32', 3); // writing uint32 value of 3 at offset 8",https://github.com/jDataView/jBinary/wiki/jBinary-Methods,props,write,jBinary/src/proto/props.js
var currentPos = binary.tell();,https://github.com/jDataView/jBinary/wiki/jBinary-Methods,position,tell,jBinary/src/proto/position.js
"binary.seek(100); // just went to offset 100
var intAt200 = binary.seek(200, function () { return this.binary.read('int32') }); // go to offset 200, get int32 value there and return back to offset 100",https://github.com/jDataView/jBinary/wiki/jBinary-Methods,position,seek,jBinary/src/proto/position.js
"binary.skip(1); // just skip one byte we are not interested in
var intAfter8 = binary.skip(8, function () { return this.binary.read('int32') }); // go 8 bytes forward, get int32 value there and return back",https://github.com/jDataView/jBinary/wiki/jBinary-Methods,position,skip,jBinary/src/proto/position.js
"var pointerSlice = binary.slice(10, 20); // now you can manipulate on this jBinary instance and all the changes will be mirrored to original binary's data, but with new bound check rules
var copySlice = binary.slice(10, 20, true); // now you can manipulate on this jBinary instance as on absolutely new one and any data changes will stay isolated from original binary",https://github.com/jDataView/jBinary/wiki/jBinary-Methods,position,slice,jBinary/src/proto/position.js
