Code,Signature,Linked,Source File,Page
nltk.__init__.demo(),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.collocations.BigramCollocationFinder(word_fd, bigram_fd, window_size=2)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"classmethod from_words(words, window_size=2)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"score_ngram(score_fn, w1, w2)","score_ngram(score_fn, w1, w2)","BigramCollocationFinder.score_ngram(score_fn, w1, w2)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.collocations.QuadgramCollocationFinder(word_fd, quadgram_fd, ii, iii, ixi, ixxi, iixi, ixii)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"classmethod from_words(words, window_size=4)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"score_ngram(score_fn, w1, w2, w3, w4)","score_ngram(score_fn, w1, w2, w3, w4)","QuadgramCollocationFinder.score_ngram(score_fn, w1, w2, w3, w4)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.collocations.TrigramCollocationFinder(word_fd, bigram_fd, wildcard_fd, trigram_fd)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
bigram_finder(),bigram_finder(),TrigramCollocationFinder.bigram_finder(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"classmethod from_words(words, window_size=3)",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"score_ngram(score_fn, w1, w2, w3)","score_ngram(score_fn, w1, w2, w3)","TrigramCollocationFinder.score_ngram(score_fn, w1, w2, w3)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"nltk.data.BufferedGzipFile(*args, **kwargs)","nltk.data.BufferedGzipFile(*args, **kwargs)","BufferedGzipFile(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"nltk.data.FORMATS = {'cfg': 'A context free grammar.', 'fcfg': 'A feature CFG.', 'fol': 'A list of first order logic expressions, parsed with nltk.sem.logic.Expression.fromstring.', 'json': 'A serialized python object, stored using the json module.', 'logic': 'A list of first order logic expressions, parsed with nltk.sem.logic.LogicParser.  Requires an additional logic_parser parameter', 'pcfg': 'A probabilistic CFG.', 'pickle': 'A serialized python object, stored using the pickle module.', 'raw': 'The raw (byte string) contents of a file.', 'text': 'The raw (unicode string) contents of a file. ', 'val': 'A semantic valuation, parsed by nltk.sem.Valuation.fromstring.', 'yaml': 'A serialized python object, stored using the yaml module.'}",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.data.FileSystemPathPointer(_path),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
file_size(),file_size(),FileSystemPathPointer.file_size(),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
join(fileid),join(fileid),FileSystemPathPointer.join(fileid),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
open(encoding=None),open(encoding=None),FileSystemPathPointer.open(encoding=None),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.data.GzipFileSystemPathPointer(_path),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
open(encoding=None),open(encoding=None),GzipFileSystemPathPointer.open(encoding=None),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.data.LazyLoader(_path),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
class nltk.data.OpenOnDemandZipFile(filename),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
read(name),read(name),OpenOnDemandZipFile.read(name),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"write(*args, **kwargs)","write(*args, **kwargs)","OpenOnDemandZipFile.write(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"writestr(*args, **kwargs)","writestr(*args, **kwargs)","OpenOnDemandZipFile.writestr(*args, **kwargs)",,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
abstract file_size(),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
abstract join(fileid),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
abstract open(encoding=None),,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
"class nltk.data.SeekableUnicodeStreamReader(stream, encoding, errors='strict')",,,,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
char_seek_forward(offset),char_seek_forward(offset),SeekableUnicodeStreamReader.char_seek_forward(offset),,https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html
