All Responses,Theme,Code,Initial themes,Codes,Definitions,Abstract Themes
Jr. R N D software engineer,Demographics,Demographics,Demographics,Code example,Responses that explicitly mention code examples,Demographics
some kind of system maintenance and dev ops things,Demographics,Demographics,Positive features in documentation,Demographics,Demographic responses,Mockup Feedback
"manage or lead some projects that we do, but more like a technical or from software development point of view",Demographics,Demographics,Negative problems in documentation,Documentation content,Related to the content (what) of documentation,Other
graduated in 2017,Demographics,Demographics,Getting started with documentation,Documentation overview,Related to an overview/abstract/description of the library in the documentation,Positive Documentation Features
usually you have a specific task that you want to solve,Positive features in documentation,Starting,API update frequency,Documentation presentation,Related to how the documentation presents its information,Negative Documentation Features
"you want to look first, can this library solver like the problem I have at hand",Positive features in documentation,Starting,API handling of issues,Ease of use,"How easy the documentation is used, including navigating it",
"you're usually looking for, uh, like an overview to understand the, you know, the features of the, um, the library",Positive features in documentation,Documentation overview,Positive mockup feedback,Library related,"Responses that are not about the documentation, but about the library itself (whether it is its API, or processes like testing, or bug/issue addressing)",
"If it's a big library, you want to have some kind of, uh, you know, uh, like some kind of abstract or overview",Positive features in documentation,Documentation overview,Negative mockup feedback,Mockup content,Related to the content (what) of the mockup. The information we are giving,
looks very complicated to get going,Negative problems in documentation,Starting,Code example importance,Mockup incomprehension,"Relates to responses that convey non-understanding of what was presented. It is not an issue with the presentation, or the content, it is a general non-understanding",
"If it's not clear how to get started, then you have to think twice",Negative problems in documentation,Starting,Additions or improvements,Mockup presentation,Related to the presentation (how) of the mockup. How the mockup presents information. (Does not suggest improvements),
if they're not able to explain easily what the library does or give you hints,Negative problems in documentation,Documentation overview,Proper API naming,Mockup suggestion,Suggestions or improvements to the mockup,
"lacks documentation. Uh, Yeah, like an introduction at all then",Negative problems in documentation,Documentation overview,Ease of finding information,Operation,Related to how developers use the documentation after learning the API,
"the examples and they, they are, or if they are very detailed and they expect that you have a lot of background information",Negative problems in documentation,Code example,How to use documentation after familiarity,Starting,Related to how developers get started learning/using the API,
"the best thing is if you can, like, if they have a few lines that this is how you get started",Getting started with documentation,Starting,How others used the library,Third Party,"Relates to a ""third-party"" aside from the API itself (and its maintainers), and the developer trying to learn it. E.g., Stack Overflow",
"usually what we look more at is the, you know, when was it last updated",API update frequency,Up-to-dateness,Documentation consistency,Up-to-dateness,"Relates to how aligned the documentation and the source code are. Is the documentation ""up-to-date"" with the source code?",
"if they didn't update for half a year or a year, you know, the dependencies are also not up to date",API update frequency,Up-to-dateness,,,,
"It didn't have any dependency and it hasn't been updated for a few years, but that didn't, that doesn't really matter so much because, uh, you know, You know, if it's simple library and it does, something simple, you don't need. I mean, it doesn't need to be updated",API update frequency,Up-to-dateness,,,,
"combination of, uh, you know, popularity and updates",API update frequency,Up-to-dateness,,,,
"then you also look at issues. Do they close issues or how many open issues do they have so many. So you can't just compare like, um, uh, how many open issues you have to look at how many they are able to close",API handling of issues,Library related,,,,
kind of burn down charts and you can see that that helps,API handling of issues,Library related,,,,
summary of a documentation quality,Positive mockup feedback,Mockup presentation,,,,
regarding the colour I had to look regarding the color about appearing code example does not appear,Negative mockup feedback,Mockup presentation,,,,
code examples. That's what you're looking for because you don't have to read a lot to just see,Code example importance,Code example,,,,
"put this general rating, uh, because it's on the right side",Negative mockup feedback,Mockup presentation,,,,
"average readability to documentation, maybe like to shorten it",Negative mockup feedback,Mockup suggestion,,,,
"I think what you capture in the, in the charts is very, that's very important. Like we discussed having the code code examples",Code example importance,Code example,,,,
"ideally you want to have like top five, uh, tasks",Negative mockup feedback,Mockup presentation,,,,
the APIs that are used most frequently,Additions or improvements,Mockup suggestion,,,,
"you can also like, uh, whatever you do, Java doc or something like that, you know, document the methods and things. But we, I mean, to be honest, we never do that. Because, I mean, you, if the, if the name you use in the code are good enough, you don't need it really
",Proper API naming,Library related,,,,
what you want is you don't want to read too much,Positive features in documentation,Documentation content,,,,
"I mean also just the bar chart or, or even, I dunno, even if you need a chart since it's just like two numbers",Additions or improvements,Mockup presentation,,,,
you should be able to copy and paste it and then refine it,Code example importance,Code example,,,,
"there should be an easy way, uh, that you can still access the one that you need. Right. Um, but yeah, so you should be able to select the, okay. I'm on version four",API update frequency,Up-to-dateness,,,,
"You know, you, you know, you start to write something and then you, uh, you know, write the dot and then it has this autocomplete. And then usually you have, or you see all the methods and then you, you, maybe you have a little, um, Yeah, some kind of a documentation there",Additions or improvements,Mockup suggestion,,,,
"Search can uh, search for sure. I think it's very important that you can search on, you know, on the API method name or search on what the task like here, what you need to do",Ease of finding information,Ease of use,,,,
"documentation inside the IDE and not just like on the, the formal, let's say on the website",Additions or improvements,Mockup suggestion,,,,
naming of the API,Proper API naming,Library related,,,,
"Naming like that. That it's clear, uh, what it does. Yeah. You don't, you don't need to read a bunch of stuff to understand what the method does",Proper API naming,Library related,,,,
I'm a junior developer,Demographics,Demographics,,,,
I contribute to research and development,Demographics,Demographics,,,,
"we developed the software and they mainly, um, I contributed to web projects, and my focus is on front end development",Demographics,Demographics,,,,
graduated in 2019,Demographics,Demographics,,,,
