Paragraph,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Agree?,Conflict,Resolved mechanical tasks,Resolved library tasks,Resolved library tasks (updated),Program (Original verb list),Program (Domain specific list),Program (domain specific + filter),Mechanical count,Library count,Mechanical correct,Program count,Library correct,Dom spec count,Dom spec correct,Dom spec + filter count,Dom spec + filter correct,Code example,Program paragraph linked
image credit: Ismael Pérez Ortiz,,,,,,,,1,,,,,,,,0,0,0,0,0,0,0,0,0,,
Click here if you just want the latest release jar file.,,,,,,,,1,,,,,,,,0,0,0,0,0,0,0,0,,,
JSON is a light-weight language-independent data interchange format.,,,,,,,,1,,,,,,,,0,0,0,0,0,0,0,0,0,,
The JSON-Java package is a reference implementation that demonstrates how to parse JSON documents into Java objects and how to generate new JSON documents from the Java classes.,,"Parse JSON documents into Java objects
Generate new JSON documents from Java classes","Parse JSON documents into Java objects
Generate new JSON documents from Java classes","Parse JSON documents into Java objects
Generate new JSON documents from Java classes","Parse JSON documents into Java objects
Generate new JSON documents from Java classes","Parse JSON documents into Java objects
Generate new JSON documents from Java classes","Parse JSON documents into Java objects
Generate new JSON documents from Java classes",1,,"Parse JSON documents into Java objects
Generate new JSON documents from Java classes",,"Parse JSON documents into Java objects
Generate new JSON documents from Java classes",generate new JSON documents from Java classes,"parse JSON documents into Java objects
generate new JSON documents from Java classes","parse JSON documents into Java objects
generate new JSON documents from Java classes",2,2,0,1,0,2,2,2,2,,
Project goals include:,,,,,,,,1,,,,,,,,0,0,0,1,0,0,0,0,0,,
"The files in this package implement JSON encoders and decoders. The package can also convert between JSON and XML, HTTP headers, Cookies, and CDL.",,,,,Convert between JSON and XML,,"Convert between JSON and XML
Convert between JSON and HTTP Headers
Convert between JSON and Cookies
Convert between JSON and CDL",0,1,"Convert between JSON and XML
Convert between JSON and HTTP Headers
Convert between JSON and Cookies
Convert between JSON and CDL","Convert between JSON and XML
Convert between JSON and HTTP Headers
Convert between JSON and Cookies
Convert between JSON and CDL","Convert between JSON and XML
Convert between JSON and HTTP Headers
Convert between JSON and Cookies
Convert between JSON and CDL","implement JSON encoders
implement decoders
convert  between CDL
convert  between JSON
convert  between XML
convert  between HTTP headers
convert  between cookies","convert  between CDL
convert  between JSON
convert  between XML
convert  between HTTP headers
convert  between cookies","convert  between CDL
convert  between JSON
convert  between XML
convert  between HTTP headers
convert  between cookies",4,4,4,7,4,5,5,5,5,,
"The license includes this restriction: The software shall be used for good, not evil. If your conscience cannot live with that, then choose a different package.",,,,,,,,1,,,,,,,,0,0,0,0,0,0,0,0,0,,
If you would like to contribute to this project,,,,,Contribute to this project,,Contribute to this project,0,1,Contribute to this project,,,,,,1,0,0,0,0,0,0,0,0,,
"Bug fixes, code improvements, and unit test coverage changes are welcome! Because this project is currently in the maintenance phase, the kinds of changes that can be accepted are limited. For more information, please read the FAQ.",,,,,,,,1,,,,,read FAQ for more information,read FAQ for more information,read FAQ for more information,0,0,0,1,0,1,0,1,0,,
"The org.json package can be built from the command line, Maven, and Gradle. The unit tests can be executed from Maven, Gradle, or individually in an IDE e.g. Eclipse.",,,,,"Build from command line
Build from Maven
Build from Gradle
Execute unit tests from Maven
Execute unit tests from Gradle
Execute unit tests from IDE",,"Build from command line
Build from Maven
Build from Gradle
Execute unit tests from Maven
Execute unit tests from Gradle
Execute unit tests from IDE",0,1,"Build from command line
Build from Maven
Build from Gradle
Execute unit tests from Maven
Execute unit tests from Gradle
Execute unit tests from IDE",,"Build from command line
Build from Maven
Build from Gradle
Execute unit tests from Maven
Execute unit tests from Gradle
Execute unit tests from IDE","execute unit tests from e.g. eclipse
execute unit tests from maven
execute unit tests from gradle","execute unit tests from e.g. eclipse
execute unit tests from maven
execute unit tests from gradle","execute unit tests from e.g. eclipse
execute unit tests from maven
execute unit tests from gradle",6,6,3,3,2,3,3,3,3,,
Building from the command line,Building from command line,Build from command line,,Build from command line,Build from the command line,,Build from the command line,1,0,Build from the command line,,Build from the command line,,,,1,1,0,0,0,0,0,0,0,,
Build the class files from the package root directory src/main/java,Building from root directory,Build class files    ,,Build class files,Build the class files,,Build the class files,1,0,Build the class files,,Build the class files,,,,1,1,,0,0,0,0,0,0,javac org/json/*.java,"The org.json package can be built from the command line, Maven, and Gradle. The unit tests can be executed from Maven, Gradle, or individually in an IDE e.g. Eclipse."
Create the jar file in the current directory,Create jar file,Create jar file,,Create jar file,Create the jar file in the current directory,,Create the jar file in the current directory,1,0,Create the jar file in the current directory,,Create the jar file in the current directory,create jar file in current directory,,,1,1,0,1,1,0,0,0,0,jar cf json-java.jar org/json/*.class,
Compile a program that uses the jar (see example code below),,,,,Compile program,,Compile program,0,1,Compile program,,,"compile program
use jar
use program","compile program
use jar
use program",compile program,1,0,1,3,0,3,0,1,0,javac -cp .;json-java.jar Test.java ,
Test file contents,,,,,Test file contents,,Test file contents,0,1,Test file contents,,,test file contents,,,1,0,1,1,0,0,0,0,0,"import org.json.JSONObject;
public class Test {
    public static void main(String args[]){
       JSONObject jo = new JSONObject(""{ \""abc\"" : \""def\"" }"");
       System.out.println(jo.toString());
    }
}",Compile a program that uses the jar (see example code below)
Execute the Test file,Execute tests,Execute test,,,Execute the Test file,,Execute Test file,0,1,Execute Test file,,,execute Test file,execute Test file,execute Test file,1,0,1,1,0,1,0,1,0,java -cp .;json-java.jar Test,
Expected output,,,,,,,,1,,,,,,,,0,0,0,0,0,0,0,0,0,"{""abc"":""def""}",Execute the Test file
Tools to build the package and execute the unit tests,,,,,"Build package
Execute unit tests",,"Build the package
Execute unit tests",0,1,"Build the package
Execute unit tests",,"Build the package
Execute unit tests",execute unit,execute unit,execute unit,2,2,1,1,0,1,1,1,1,,
Execute the test suite with Maven:,Execute with Maven,Test Maven,,,Exectute test suite with Maven,,Exectute test suite with Maven,0,1,Execute test suite with Maven,,,execute test suite with maven,execute test suite with maven,execute test suite with maven,1,0,1,1,0,1,0,1,0,mvn clean test,
Execute the test suite with Gradlew:,Execute with Gradlew,Test Gradlew,,,Execute test suite with Gradlew,,Execute test suite with Gradlew,0,1,Execute test suite with Gradlew,,,execute test suite with gradlew,execute test suite with gradlew,execute test suite with gradlew,1,0,1,1,0,1,0,1,0,gradlew clean build test,
Recent directory structure change,,,,,,,,1,,,,,,,,0,0,0,0,0,0,0,0,0,,
