Paragraph,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Conflict,Resolved mechanical tasks,Resolved library tasks,Program,
Bases: object,,,,,,,,,,,,
"A processing class for deriving trees that represent possible structures for a sequence of tokens. These tree structures are known as “parses”. Typically, parsers are used to derive syntax trees for sentences. But parsers can also be used to derive other kinds of tree structure, such as morphological trees and discourse structures.",,"Derive trees that represent sequence of tokens
Derive syntax trees for sentences",,,"Derive trees that represent possible structures for a sequence of tokens
Derive syntax trees for sentences
Derive other kinds of tree structure",,Derive syntax trees for sentences,1,,,,
"at least one of: parse(), parse_sents().",,,,,,,,,,,,
grammar(),,,,,,,,,,,,
The grammar used by this parser.,,,,,,,,,,,use  by parser,
An iterator that generates parse trees for the sentence.,Generate parse tree from sentence,Generate parse trees,Generate parse trees,Generate parse trees,Generate parse tree for the sentence,Generate parse tree for the sentence,Generate parse tree for the sentence,0,Generate parse tree for the sentence,Generate parse tree for the sentence,generate iterator,"parse trees for sentence
generate iterator"
When possible this list is sorted from most likely to least likely.,,,,,,,,,,,sort list,sort list
sent (list(str)) – The sentence to be parsed,,,,,,,,,,,,parse sentence
iter(Tree),,,,,,,,,,,,
list(Tree),,,,,,,,,,,,
Tree or None,,,,,,,,,,,,
Apply self.parse() to each element of sents. :rtype: iter(iter(Tree)),,,,,Apply self.parse() to each element of sents,,,1,,,,
Bases: nltk.parse.api.ParserI,,,,,,,,,,,,
Interface for parsing with BLLIP Parser. BllipParser objects can be constructed with the BllipParser.from_unified_model_dir class method or manually using the BllipParser constructor.,Use BLLIP Parser,,,,,,,,,,"use BllipParser constructor
use BllipParser objects",parse  with BLLIP parser
Create a BllipParser object from a unified parsing model directory. Unified parsing model directories are a standardized way of storing BLLIP parser and reranker models together on disk. See bllipparser.RerankingParser.get_unified_model_parameters() for more information about unified model directories.,Create BllipParser object,Create BllipParser,Create BllipParser,Create BllipParser,Create a BllipParser object from a unified parsing model directory,,,1,,,"create BllipParser object from unified parsing model directory
store BLLIP parser on disk
store reranker models on disk","create BllipParser object from unified parsing model directory
store BLLIP parser on disk
store reranker models on disk"
A BllipParser object using the parser and reranker,,,,,,,,,,,"use parser
use reranker",
models in the model directory.,,,,,,,,,,,,
model_dir (str) – Path to the unified model directory.,Get path to unified model directory,,,,,,,,,,,
"parser_options – optional dictionary of parser options, see",,,,,,,,,,,,
"bllipparser.RerankingParser.RerankingParser.load_parser_options() for more information. :type parser_options: dict(str) :param reranker_options: optional dictionary of reranker options, see bllipparser.RerankingParser.RerankingParser.load_reranker_model() for more information. :type reranker_options: dict(str) :rtype: BllipParser",,,,,,,,,,,,
Use BLLIP Parser to parse a sentence. Takes a sentence as a list of words; it will be automatically tagged with this BLLIP Parser instance’s tagger.,Use Bllip parser to parse a sentence,Use BLLIP,Use BLLIP,Use BLLIP,Use BLLIP Parser to parse a sentence,Use BLLIP Parser to parse a sentence,Use BLLIP Parser to parse a sentence,0,Use BLLIP Parser to parse a sentence,Use BLLIP Parser to parse a sentence,,parse sentence
An iterator that generates parse trees for the sentence,Generate parse trees,Generate parse trees,Generate parse trees,Generate parse trees,Generate parse trees for the sentence,Generate parse trees for the sentence,Generate parse trees for the sentence,0,Generate parse trees for the sentence,Generate parse trees for the sentence,generate iterator,"parse trees for sentence
generate iterator"
from most likely to least likely.,,,,,,,,,,,,
sentence (list(str)) – The sentence to be parsed,,,,,,,,,,,,
iter(Tree),,,,,,,,,,,,
"Use BLLIP to parse a sentence. Takes a sentence as a list of (word, tag) tuples; the sentence must have already been tokenized and tagged. BLLIP will attempt to use the tags provided but may use others if it can’t come up with a complete parse subject to those constraints. You may also specify a tag as None to leave a token’s tag unconstrained.",Use Bllip to parse a sentence,"Use BLLIP
Specify tag as None","Use BLLIP
Specify tag as None","Use BLLIP
Specify tag as None",Use BLLIP Parser to parse a sentence,Use BLLIP Parser to parse a sentence,Use BLLIP Parser to parse a sentence,1,,,"use BLLIP
use others
specify tag as none","parse sentence
specify tag as none"
An iterator that generates parse trees for the sentence,,,,,Generate parse trees for the sentence,Generate parse trees for the sentence,Generate parse trees for the sentence,1,,,generate iterator,"parse trees for sentence
generate iterator"
from most likely to least likely.,,,,,,,,,,,,
"sentence (list(tuple(str, str))) – Input sentence to parse as (word, tag) pairs",,,,,,,,,,,,parse  as pairs
iter(Tree),,,,,,,,,,,,
"Data classes and parser implementations for “chart parsers”, which use dynamic programming to efficiently parse a text. A chart parser derives parse trees for a text by iteratively adding “edges” to a “chart.” Each edge represents a hypothesis about the tree structure for a subsequence of the text. The chart is a “blackboard” for composing and combining these hypotheses.",,Use dynamic programming to parse text,,,"Efficiently parse a text
Derive parse trees for a text",Efficiently parse a text,"Efficiently parse a text
Derive parse trees for a text",1,,,,
"When a chart parser begins parsing a text, it creates a new (empty) chart, spanning the text. It then incrementally adds new edges to the chart. A set of “chart rules” specifies the conditions under which new edges should be added to the chart. Once the chart reaches a stage where none of the chart rules adds any new edges, parsing is complete.",,"Create new chart
Add edges to chart","Create new chart
Add edges to chart","Create new chart
Add edges to chart","Create a new chart
Add new edges to the chart",,,1,,,,
