Paragraph,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Conflict,Resolved mechanical tasks,Resolved library tasks,Program,Updated program,,,,,
"Interface for tagging each token in a sentence with supplementary information, such as its part of speech.",Tag each token in a sentence ,Tag token,,,Tag each token in a sentence with parts of speech,Tag each token in a sentence with parts of speech,Tag each token in a sentence with parts of speech,1,,,,,0,1,0,1,0
Bases: nltk.tag.api.TaggerI,,,,,,,,,,,,,,,,,
A tagger that requires tokens to be featuresets. A featureset is a dictionary that maps from feature names to feature values. See nltk.classify for more information about features and featuresets.,,,,,Require tokens to be featuresets,,,1,,,,,,,,,
Bases: object,,,,,,,,,,,,,,,,,
"A processing interface for assigning a tag to each token in a list. Tags are case sensitive strings that identify some property of each token, such as its part of speech or its sense.",Assign a tag for each token in a list,"Assign tag
Identify property such as part of speech",,,Assign a tag to each token in a list,Assign a tag to each token in a list,Assign a tag to each token in a list,1,,,"assign tag
identify property such_as part
identify case sensitive strings such_as part","assign tag
identify property such_as part
identify case sensitive strings such_as part",,,,,
"Some taggers require specific types for their tokens. This is generally indicated by the use of a sub-interface to TaggerI. For example, featureset taggers, which are subclassed from FeaturesetTagger, require that each token be a featureset.",,,,,,,,1,,,,,,,,,
either tag() or tag_sents() (or both),,,,,,,,,,,,,,,,,
"Score the accuracy of the tagger against the gold standard. Strip the tags from the gold standard text, retag it using the tagger, then compute the accuracy score.",Score the accuracy of the tagger against the gold standard,Compute accuracy score,Compute accuracy score,Compute accuracy score,"Score the accuracy of the tagger against the gold standard
Strip tags from gold standard text ","Score the accuracy of the tagger against the gold standard
Strip tags from gold standard text ","Score the accuracy of the tagger against the gold standard
Strip tags from gold standard text ",1,,,"use tagger
compute accuracy score",compute accuracy score,,,,,
"gold (list(list(tuple(str, str)))) – The list of tagged sentences to score the tagger on.",,,,,,,,,,,,,,,,,
float,,,,,,,,,,,,,,,,,
"Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).",Determine most appropriate tagging sequence for token sequence,"Determine appropriate tag sequence for given token sequence
Return corresponding list of tagged tokens
Encode tagged token as tuple",,,"Determine most appropriate tag sequence for given token sequence
Return corresponding list of tagged tokens",Determine most appropriate tag sequence for given token sequence,"Determine most appropriate tag sequence for given token sequence
Return corresponding list of tagged tokens",1,,,,,,,,,
"list(tuple(str, str))",,,,,,,,,,,,,,,,,
Apply self.tag() to each element of sentences. I.e.:,Apply tag to each element of sentences,Apply self.tag to each element of sentences,,,Apply self.tag() to each element of sentences,,,0,,,,,,,,,
return [self.tag(sent) for sent in sentences],,,,,,,,,,,"return [ self.tag(sent)
send  in sentences ]","return [ self.tag(sent)
send  in sentences ]",,,,,
Bases: nltk.tag.api.TaggerI,,,,,,,,,,,,,,,,,
Brill’s transformational rule-based tagger. Brill taggers use an initial tagger (such as tag.DefaultTagger) to assign an initial tag sequence to a text; and then apply an ordered list of transformational rules to correct the tags of individual tokens. These transformation rules are specified by the TagRule interface.,,"Assign initial sequence
Apply ordered list of rules",,,"Assign an initial tag sequest to text
Apply an ordered list of transformational rules to correct the tags of individual tokens",Apply an ordered list of transformational rules to correct the tags of individual tokens,Apply an ordered list of transformational rules to correct the tags of individual tokens,1,,,,,,,,,
"Brill taggers can be created directly, from an initial tagger and a list of transformational rules; but more often, Brill taggers are created by learning rules from a training corpus, using one of the TaggerTrainers available.",How to use Brill Tagger,Create Brill tagger,Create Brill tagger,Create Brill tagger,Learn rules from a training corpus,,Learn rules from a training corpus,1,,,"learn rules from training corpus
create brill taggers from initial tagger
create brill taggers from list
create brill taggers","learn rules from training corpus
create brill taggers from initial tagger
create brill taggers from list
create brill taggers",,,,,
Tags by applying each rule to the entire corpus (rather than all rules to a single sequence). The point is to collect statistics on the test set for individual rules.,,,,,Collect statistics on the test set for individual rules,,Collect statistics on the test set for individual rules,1,,,"apply rule to entire corpus
set  for individual rules","apply rule to entire corpus
set  for individual rules",,,,,
"NOTE: This is inefficient (does not build any index, so will traverse the entire corpus N times for N rules) – usually you would not care about statistics for individual rules and thus use batch_tag() instead",,,,,,,,,,,use batch_tag(),,,,,,
"sequences (list of list of strings) – lists of token sequences (sentences, in some applications) to be tagged",Get list of token sequences,Tag list of token sequences,Tag list of token sequences,Tag list of token sequences,,,,1,,,,,,,,,
