Paragraphs,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Agree?,Library task conflict?,Resolved mechanical tasks,Resolved library tasks,Resolved library tasks (updated),Program (Original verb list),Program (Domain specific list),Program (domain specific + filter),Mechanical count,Library count,Mechanical correct,Program count,Library correct,Dom spec program count,Dom spec library correct,dom spec filter count,dom spec filter correct,Code example,Program paragraph linked,Updated links
"orjson is a fast, correct JSON library for Python. It benchmarks as the fastest Python library for JSON and is more correct than the standard json library or other third-party libraries. It serializes dataclass, datetime, numpy, and UUID instances natively.","Serializes dataclass, datetime, numpy, and UUID instances natively","Serialize dataclass
serialize datetime
serialize numpy
serialize UUID instances","Serialize dataclass
serialize datetime
serialize numpy
serialize UUID instances","Serialize dataclass
serialize datetime
serialize numpy
serialize UUID instances","Serialize dateclass
Serialize datetime
Serialize numpy
Serialize UUID","Serialize dateclass, datetime, numpy, and UUID instances natively","Serialize dateclass
Serialize datetime
Serialize numpy
Serialize UUID",1,0,"Serialize dataclass
serialize datetime
serialize numpy
serialize UUID instances","Serialize dataclass
serialize datetime
serialize numpy
serialize UUID instances","Serialize dataclass
serialize datetime
serialize numpy
serialize UUID instances",,"serialize dataclass
serialize datetime
serialize numpy
serialize UUID instances","serialize dataclass
serialize datetime
serialize numpy
serialize UUID instances",4,4,0,0,0,4,4,4,4,,,
Its features and drawbacks compared to other Python JSON libraries:,,,,,,,,1,,,,,,,,0,0,0,0,,0,0,0,0,,,
"orjson supports CPython 3.7, 3.8, 3.9, and 3.10. It distributes x86_64/amd64 and aarch64/armv8 wheels for Linux and macOS. It distributes x86_64/amd64 wheels for Windows. orjson does not support PyPy. Releases follow semantic versioning and serializing a new object type without an opt-in flag is considered a breaking change.",Serializing a new object,Serialize a new object,Serialize a new object,Serialize a new object,"Distribute x86_64/amd64 
Distribute aarch64/armv8
Distribute x86_64/amd64",,,0,1,"Distribute x86_64/amd64 
Distribute aarch64/armv8
Distribute x86_64/amd64
Serialize a new object",,Serialize a new object,support cpython,support cpython,,4,1,0,1,0,1,0,0,0,,,
"orjson is licensed under both the Apache 2.0 and MIT licenses. The repository and issue tracker is github.com/ijl/orjson, and patches may be submitted there. There is a CHANGELOG available in the repository.",,,,,,,,1,,,,,submit patches,,,0,0,0,1,0,0,0,0,0,,,
To install a wheel from PyPI:,Install a wheel from PyPI,Install wheel from PyPI,Install wheel from PyPI,Install wheel from PyPI,Install wheel from PyPi,,Install wheel from PyPi,1,0,Install wheel from PyPi,,Install wheel from PyPi,install wheel from pypi,install wheel from pypi,install wheel from pypi,1,1,0,1,1,1,1,1,1,"pip install --upgrade ""pip>=20.3"" # manylinux_x_y, universal2 wheel support
pip install --upgrade orjson",,
"To build a wheel, see packaging.",Build a wheel,Build wheel,Build wheel,Build wheel,Build wheel,,Build wheel,1,0,Build wheel,,Build wheel,,,,1,1,,0,,0,0,0,0,,,
"This is an example of serializing, with options specified, and deserializing:",Serializing and Deserializing,,,,"Serialize with specified options
Deserialize with specified options","Serialize with specified options
Deserialize with specified options","Serialize with specified options
Deserialize with specified options",0,1,"Serialize with specified options
Deserialize with specified options",,"Serialize with specified options
Deserialize with specified options",,"serialize  with options
deserialize  with options","serialize  with options
deserialize  with options",2,2,,0,,2,2,2,2,">>> import orjson, datetime, numpy
>>> data = {
    ""type"": ""job"",
    ""created_at"": datetime.datetime(1970, 1, 1),
    ""status"": ""🆗"",
    ""payload"": numpy.array([[1, 2], [3, 4]]),
}
>>> orjson.dumps(data, option=orjson.OPT_NAIVE_UTC | orjson.OPT_SERIALIZE_NUMPY)
b'{""type"":""job"",""created_at"":""1970-01-01T00:00:00+00:00"",""status"":""\xf0\x9f\x86\x97"",""payload"":[[1,2],[3,4]]}'
>>> orjson.loads(_)
{'type': 'job', 'created_at': '1970-01-01T00:00:00+00:00', 'status': '🆗', 'payload': [[1, 2], [3, 4]]}",No paragraph linked,
"orjson version 3 serializes more types than version 2. Subclasses of str, int, dict, and list are now serialized. This is faster and more similar to the standard library. It can be disabled with orjson.OPT_PASSTHROUGH_SUBCLASS.dataclasses.dataclass instances are now serialized by default and cannot be customized in a default function unless option=orjson.OPT_PASSTHROUGH_DATACLASS is specified. uuid.UUID instances are serialized by default. For any type that is now serialized, implementations in a default function and options enabling them can be removed but do not need to be. There was no change in deserialization.","- Subclasses str, int, dict, and list are now serializable.
- Disable additional serialization.
- Customize serialization with option=orjson.OPT_PASSTHROUGH_DATACLASS","Specify option=orjson.OPT_PASSTHROUGH_DATACLASS
Remove implementations in default function
Remove options enabling default functions
Remove implementations for type",,,Serialize more types than version 2,,,1,,"Specify option=orjson.OPT_PASSTHROUGH_DATACLASS
Remove implementations in default function
Remove options enabling default functions
Remove implementations for type",,,"disable  with orjson.OPT_PASSTHROUGH_SUBCLASS
specify option = orjson.OPT_PASSTHROUGH_DATACLASS
remove implementations in default function
remove implementations in options
remove implementations for type","serialize more types than version
serialize subclasses of str
serialize dataclasses.dataclass instances
specify option = orjson.OPT_PASSTHROUGH_DATACLASS
serialize uuid.UUID instances
remove implementations in default function
remove implementations in options
remove implementations for type","serialize more types than version
serialize subclasses of str
serialize dataclasses.dataclass instances
specify option = orjson.OPT_PASSTHROUGH_DATACLASS
serialize uuid.UUID instances",4,0,4,5,0,8,0,5,0,,,
"To migrate from the standard library, the largest difference is that orjson.dumps returns bytes and json.dumps returns a str. Users with dict objects using non-str keys should specify option=orjson.OPT_NON_STR_KEYS. sort_keys is replaced by option=orjson.OPT_SORT_KEYS. indent is replaced by option=orjson.OPT_INDENT_2 and other levels of indentation are not supported.","- Migrate from standard library
- Users with dict objects and non-str keys should use option=orgjson.OPT_NON_STR_KEYS","Migrate from standard library
Replace sort_keys with option=orjson.OPT_SORT_KEYS",Migrate from standard library,Migrate from standard library,"Migrate from standard library
Specify option=orjson.OPT_NON_STR_KEYSa",,"Migrate from standard library
Specify option=orjson.OPT_NON_STR_KEYSa",0,1,"Migrate from standard library
Replace sort_keys with option=orjson.OPT_SORT_KEYS
Specify option=orjson.OPT_NON_STR_KEYSa",,Migrate from standard library,"use non
replace sort_keys
replace indent","use non
replace sort_keys
replace indent","replace sort_keys
replace indent",3,1,0,3,1,3,0,2,0,,,
dumps() serializes Python objects to JSON.,Serialize Python objects to JSON,Serialize Python objects to JSON,Serialize Python objects to JSON,Serialize Python objects to JSON,Serialize Python objects to JSON,Serialize Python objects to JSON,Serialize Python objects to JSON,1,,Serialize Python objects to JSON,,Serialize Python objects to JSON,,serialize Python objects to JSON,serialize Python objects to JSON,1,1,,0,,1,1,1,1,"def dumps(
    __obj: Any,
    default: Optional[Callable[[Any], Any]] = ...,
    option: Optional[int] = ...,
) -> bytes: ...",No paragraph linked,
