Examples,Henry's paragraphs,Sarah's paragraphs,Conflict?,Resolved paragraphs,Notes,Program,Has paragraphs,Updated program,Paragraph count,Program count,Program correct,Updated program count,Updated program correct
"# tags: LOCATION, ORGANIZATION, PERSON
edu/stanford/nlp/models/ner/english.all.3class.distsim.crf.ser.gz
# tags: DATE, LOCATION, MONEY, ORGANIZATION, PERCENT, PERSON, TIME
edu/stanford/nlp/models/ner/english.muc.7class.distsim.crf.ser.gz
# LOCATION, MISC, ORGANIZATION, PERSON
edu/stanford/nlp/models/ner/english.conll.4class.distsim.crf.ser.gz",These are the default models that are run:,These are the default models that are run:,0,These are the default models that are run:,,These are the default models that are run:,TRUE,During this phase a series of trained CRFâ€™s will be run on each sentence. These CRFâ€™s are trained on large tagged data sets. They evaluate the entire sequence and pick the optimal tag sequence.,1,1,1,1,0
"CAUSE_OF_DEATH, CITY, COUNTRY, CRIMINAL_CHARGE, EMAIL, HANDLE,
IDEOLOGY, NATIONALITY, RELIGION, STATE_OR_PROVINCE, TITLE, URL",The tags set by this phase include:,The tags set by this phase include:,0,The tags set by this phase include:,Wasn't sure about this one. It needs like the whole 4 paragraphs to make sense but instrcutsions said one paragraph only marked by a <p> tag,NOTE: applying these rules will significantly slow down the tagging process.,FALSE,"At this point, a series of rules used for the KBP 2017 competition will be run to create more fine-grained NER tags. These rules are applied using a TokensRegexNERAnnotator sub-annotator. That is the main NERCombinerAnnotator builds a TokensRegexNERAnnotator as a sub-annotator and runs it on all sentences as part of itâ€™s entire tagging process. The purpose of these rules is give tokens more specific tags. So for instance California would be tagged as a STATE_OR_PROVINCE rather than just a LOCATION.",1,1,0,1,0
"Los Angeles	CITY	LOCATION,MISC	1.0","means to match the token “Los” followed by the token “Angeles”, and label them both as CITY, provided they have a current NER tag of O, LOCATION, or MISC.","means to match the token “Los” followed by the token “Angeles”, and label them both as CITY, provided they have a current NER tag of O, LOCATION, or MISC.",0,"means to match the token “Los” followed by the token “Angeles”, and label them both as CITY, provided they have a current NER tag of O, LOCATION, or MISC.",,"The first column is the tokens pattern, the second column is the NER tag to apply, the third is the types of NER tags that can be overwritten, and the fourth is a priority used for tie-breaking if two rules match a sequence.",TRUE,,1,1,0,0,0
Bachelor of (Arts|Science)	DEGREE	MISC	1.0,"means to match the token “Bachelor”, then the token “of”, and finally either the token “Arts” or “Science”.","means to match the token “Bachelor”, then the token “of”, and finally either the token “Arts” or “Science”.",0,"means to match the token “Bachelor”, then the token “of”, and finally either the token “Arts” or “Science”.",,"means to match the token “Los” followed by the token “Angeles”, and label them both as CITY, provided they have a current NER tag of O, LOCATION, or MISC.",FALSE,,1,1,0,0,0
"ignorecase=true,validpospattern=^(NN|JJ).*,edu/stanford/nlp/models/kbp/english/gazetteers/regexner_caseless.tab;edu/stanford/nlp/models/kbp/english/gazetteers/regexner_cased.tab","As an example, this is the default ner.fine.regexner.mapping setting:","As an example, this is the default ner.fine.regexner.mapping setting:",0,"As an example, this is the default ner.fine.regexner.mapping setting:",,The ner.fine.regexner.mapping property allows one to specify a set of rules files and additional properties for each rules file.,FALSE,The ner.fine.regexner.mapping property allows one to specify a set of rules files and additional properties for each rules file.,1,1,0,1,0
"edu/stanford/nlp/models/kbp/english/gazetteers/regexner_caseless.tab
edu/stanford/nlp/models/kbp/english/gazetteers/regexner_cased.tab",The two rules files are:,The two rules files are:,0,The two rules files are:,Again a bit tricky,The ner.fine.regexner.mapping property allows one to specify a set of rules files and additional properties for each rules file.,FALSE,The ner.fine.regexner.mapping property allows one to specify a set of rules files and additional properties for each rules file.,1,1,0,1,0
"Boston Red Sox       SPORTS_TEAM     ORGANIZATION,MISC       1
Denver Broncos       SPORTS_TEAM     ORGANIZATION,MISC       1
Detroit Red Wings    SPORTS_TEAM     ORGANIZATION,MISC       1
Los Angeles Lakers   SPORTS_TEAM     ORGANIZATION,MISC       1
",Your rules file might look like this /path/to/sports_teams.rules,"For instance, suppose you want to match sports teams after the previous NER steps have been run.",1,"For instance, suppose you want to match sports teams after the previous NER steps have been run.",Multiple paragraphs too but I took the more meaningful one,,TRUE,This second TokensRegexNERAnnotator sub-annotator has the name ner.additional.regexner and is customized in the same manner. This is for the case when users want to run their own rules after the standard rules we provide.,1,0,0,1,0
"java -Xmx5g edu.stanford.nlp.pipeline.StanfordCoreNLP -annotators tokenize,ssplit,pos,lemma,ner -ner.additional.tokensregex.rules example.rules -file example.txt -outputFormat text","If you want to run a series of TokensRegex rules before entity building, you can also specify a set of TokensRegex rules. A TokensRegexAnnotator sub-annotator will be called. It has the name ner.additional.tokensregex.","If you want to run a series of TokensRegex rules before entity building, you can also specify a set of TokensRegex rules. A TokensRegexAnnotator sub-annotator will be called. It has the name ner.additional.tokensregex.",0,"If you want to run a series of TokensRegex rules before entity building, you can also specify a set of TokensRegex rules. A TokensRegexAnnotator sub-annotator will be called. It has the name ner.additional.tokensregex.",,"If you want to run a series of TokensRegex rules before entity building, you can also specify a set of TokensRegex rules. A TokensRegexAnnotator sub-annotator will be called. It has the name ner.additional.tokensregex.",TRUE,"If you want to run a series of TokensRegex rules before entity building, you can also specify a set of TokensRegex rules. A TokensRegexAnnotator sub-annotator will be called. It has the name ner.additional.tokensregex.",1,1,1,1,1
"# run default NER
java -Xmx4g -cp ""*"" edu.stanford.nlp.pipeline.StanfordCoreNLP -annotators tokenize,ssplit,pos,lemma,ner -file example.txt -outputFormat text",There a variety of ways to customize an NER pipeline. Below are some example commands.,There a variety of ways to customize an NER pipeline. Below are some example commands.,0,There a variety of ways to customize an NER pipeline. Below are some example commands.,,There a variety of ways to customize an NER pipeline. Below are some example commands.,FALSE,,1,1,1,0,0
"# only run rules based NER (numeric classifiers, SUTime, TokensRegexNER, TokensRegex)
java -Xmx4g -cp ""*"" edu.stanford.nlp.pipeline.StanfordCoreNLP -annotators tokenize,ssplit,pos,lemma,ner -ner.rulesOnly -file example.txt ",There a variety of ways to customize an NER pipeline. Below are some example commands.,There a variety of ways to customize an NER pipeline. Below are some example commands.,0,There a variety of ways to customize an NER pipeline. Below are some example commands.,,,FALSE,,1,0,0,0,0
