Example,Truth functions,Test functions,Linked functions,Source
load(),['load'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
retrieve(),['retrieve'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
write(),['write'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
writestr(),['writestr'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
seek(),['seek'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
tell(),['tell'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
readline(),['readline'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
read(),['read'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
find(),['find'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
download(),['download'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
Downloader.default_download_dir(),['default_download_dir'],"['Downloader.default_download_dir', 'Downloader.default_download_dir', 'Downloader.default_download_dir', 'Downloader.default_download_dir']",[]
default_download_dir(),['default_download_dir'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
_package_to_columns(),['_package_to_columns'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
unify(),['unify'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
walk(),['walk'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
cyclic(),['cyclic'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
freeze(),['freeze'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
equal_values(),['equal_values'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
copy(),['copy'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
nltk.featstruct.rename_variables(),['rename_variables'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
nltk.featstruct.retract_bindings(),['retract_bindings'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
nltk.featstruct.substitute_bindings(),['substitute_bindings'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
nltk.featstruct.find_variables(),['find_variables'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
FreqDist.N(),['N'],"['FreqDist.N', 'FreqDist.N', 'FreqDist.N', 'FreqDist.N']",[]
FreqDist.B(),['B'],"['FreqDist.B', 'FreqDist.B', 'FreqDist.B', 'FreqDist.B']",[]
bins-self.B(),['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']",['N/A']
self.B(),['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']",['N/A']
Counter.setdefault(),['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']",['N/A']
Counter.update(),['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']",['N/A']
self.prob(samp),['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']",['N/A']
log(p),['N/A'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",['N/A']
log(2**(logx)+2**(logy)),['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']",['N/A']
findall(),['findall'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
fields(),['fields'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
decode(),['decode'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
StandardFormat.fields(),['fields'],"['StandardFormat.fields', 'StandardFormat.fields', 'StandardFormat.fields', 'StandardFormat.fields']",[]
encode(),['encode'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
parents(),['parents'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
parent_indices(),['parent_indices'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
left_siblings(),['left_siblings'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
right_siblings(),['right_siblings'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
ptree.parent()[ptree.parent_index()] is ptree,"['parent', 'parent_index']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
ptree.parent_index(),['parent_index'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
ptree.parent.index(ptree),['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']",['N/A']
index(),['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']",['N/A']
ptree.parent(),['ptree.parent'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
"Tree(label, children)",['Tree'],"['__init__', '__init__', '__init__', '__init__']",[]
Tree.fromstring(s),['fromstring'],"['Tree.fromstring', 'Tree.fromstring', 'Tree.fromstring', 'Tree.fromstring']",[]
tp=self.leaf_treeposition(i),['leaf_treeposition'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
self[tp]==self.leaves()[i],['leaves'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
self.leaves()[start:end],['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']",['N/A']
">>> download('treebank') 
[nltk_data] Downloading package 'treebank'...
[nltk_data]   Unzipping corpora/treebank.zip.
",['download'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
">>> download('all-corpora') 
[nltk_data] Downloading package 'abc'...
[nltk_data]   Unzipping corpora/abc.zip.
[nltk_data] Downloading package 'alpino'...
[nltk_data]   Unzipping corpora/alpino.zip.
  ...
[nltk_data] Downloading package 'words'...
[nltk_data]   Unzipping corpora/words.zip.
",['download'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
">>> from nltk.featstruct import unify
>>> unify(dict(x=1, y=dict()), dict(a='a', y=dict(b='b')))  
{'y': {'b': 'b'}, 'x': 1, 'a': 'a'}
",['unify'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
"def handler(s, position, reentrances, match): ...
",['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']",['N/A']
">>> from nltk.featstruct import FeatStruct
>>> FeatStruct('[a=?x]').unify(FeatStruct('[b=?x]'))
[a=?x, b=?x2]
",['unify'],"['__init__', 'N/A', '__init__', 'N/A', '__init__', 'N/A', '__init__', 'N/A']",[]
">>> from nltk.probability import ConditionalFreqDist
>>> from nltk.tokenize import word_tokenize
>>> sent = ""the the the dog dog some other words that we do not care about""
>>> cfdist = ConditionalFreqDist()
>>> for word in word_tokenize(sent):
...     condition = len(word)
...     cfdist[condition][word] += 1
","['word_tokenize', 'word_tokenize']","['__init__', 'N/A', 'N/A', '__init__', 'N/A', 'N/A', '__init__', 'N/A', 'N/A', '__init__', 'N/A', 'N/A']",[]
">>> cfdist = ConditionalFreqDist((len(word), word) for word in word_tokenize(sent))
","['__init__', 'word_tokenize']","['__init__', 'N/A', 'N/A', '__init__', 'N/A', 'N/A', '__init__', 'N/A', 'N/A', '__init__', 'N/A', 'N/A']",['__init__']
">>> cfdist[3]
FreqDist({'the': 3, 'dog': 2, 'not': 1})
>>> cfdist[3].freq('the')
0.5
>>> cfdist[3]['dog']
2
","['__init__', 'freq']","['__init__', 'N/A', '__init__', 'N/A', '__init__', 'N/A', '__init__', 'N/A']",['__init__']
">>> from nltk.corpus import brown
>>> from nltk.probability import ConditionalFreqDist
>>> from nltk.probability import ConditionalProbDist, ELEProbDist
>>> cfdist = ConditionalFreqDist(brown.tagged_words()[:5000])
>>> cpdist = ConditionalProbDist(cfdist, ELEProbDist, 10)
>>> cpdist['passed'].max()
'VBD'
>>> cpdist['passed'].prob('VBD')
0.423...
","['ConditionalFreqDist', 'ConditionalProbDist', 'max', 'prob']","['__init__', 'N/A', '__init__', 'N/A', 'N/A', '__init__', 'N/A', '__init__', 'N/A', 'N/A', '__init__', 'N/A', '__init__', 'N/A', 'N/A', '__init__', 'N/A', '__init__', 'N/A', 'N/A']",[]
">>> from nltk.tokenize import word_tokenize
>>> from nltk.probability import FreqDist
>>> sent = 'This is an example sentence'
>>> fdist = FreqDist()
>>> for word in word_tokenize(sent):
...    fdist[word.lower()] += 1
","['FreqDist', 'word_tokenize']","['__init__', 'N/A', 'N/A', '__init__', 'N/A', 'N/A', '__init__', 'N/A', 'N/A', '__init__', 'N/A', 'N/A']",[]
">>> fdist = FreqDist(word.lower() for word in word_tokenize(sent))
","['', 'word_tokenize']","['__init__', 'N/A', 'N/A', '__init__', 'N/A', 'N/A', '__init__', 'N/A', 'N/A', '__init__', 'N/A', 'N/A']",[]
">>> from nltk.probability import ProbabilisticMixIn
>>> class A:
...     def __init__(self, x, y): self.data = (x,y)
...
>>> class ProbabilisticA(A, ProbabilisticMixIn):
...     def __init__(self, x, y, **prob_kwarg):
...         A.__init__(self, x, y)
...         ProbabilisticMixIn.__init__(self, **prob_kwarg)
",['ProbabilisticMixIn'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
">>> import nltk.corpus
>>> from nltk.text import Text
>>> moby = Text(nltk.corpus.gutenberg.words('melville-moby_dick.txt'))
",['Text'],"['__init__', 'N/A', '__init__', 'N/A', '__init__', 'N/A', '__init__', 'N/A']",[]
">>> from nltk.book import text4
>>> text4.collocation_list()[:2]
[('United', 'States'), ('fellow', 'citizens')]
",['collocation'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
">>> from nltk.book import text4
>>> text4.collocations() 
United States; fellow citizens; four years; ...
",['collocation'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
">>> print('hack'); from nltk.book import text1, text5, text9
hack...
>>> text5.findall(""<.*><.*>"")
you rule bro; telling you bro; u twizted bro
>>> text1.findall(""(<.*>)"")
monied; nervous; dangerous; white; white; white; pious; queer; good;
mature; white; Cape; great; wise; wise; butterless; white; fiendish;
pale; furious; better; certain; complete; dismasted; younger; brave;
brave; brave; brave
>>> text9.findall(""{3,}"")
thread through those; the thought that; that the thing; the thing
that; that that thing; through these than through; them that the;
through the thick; them that they; thought that the
",['findall'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
">>> import nltk.corpus
>>> from nltk.text import TextCollection
>>> print('hack'); from nltk.book import text1, text2, text3
hack...
>>> gutenberg = TextCollection(nltk.corpus.gutenberg)
>>> mytexts = TextCollection([text1, text2, text3])
",['__init__'],"['N/A', '__init__', 'N/A', '__init__', 'N/A', '__init__', 'N/A', '__init__']",['__init__']
"for parent_index in ptree.parent_indices(parent):
    parent[parent_index] is ptree
",['parent_indices'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
"for treepos in ptree.treepositions(root):
    root[treepos] is ptree
",['treepositions'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
">>> from nltk.tree import Tree
>>> print(Tree(1, [2, Tree(3, [4]), 5]))
(1 2 (3 4) 5)
>>> vp = Tree('VP', [Tree('V', ['saw']),
...                  Tree('NP', ['him'])])
>>> s = Tree('S', [Tree('NP', ['I']), vp])
>>> print(s)
(S (NP I) (VP (V saw) (NP him)))
>>> print(s[1])
(VP (V saw) (NP him))
>>> print(s[1,1])
(NP him)
>>> t = Tree.fromstring(""(S (NP I) (VP (V saw) (NP him)))"")
>>> s == t
True
>>> t[1][1].set_label('X')
>>> t[1][1].label()
'X'
>>> print(t)
(S (NP I) (VP (V saw) (X him)))
>>> t[0], t[1,1] = t[1,1], t[0]
>>> print(t)
(S (X him) (VP (V saw) (NP I)))
","['__init__', 'fromstring']","['N/A', '__init__', 'Tree.fromstring', 'N/A', 'N/A', 'N/A', '__init__', 'Tree.fromstring', 'N/A', 'N/A', 'N/A', '__init__', 'Tree.fromstring', 'N/A', 'N/A', 'N/A', '__init__', 'Tree.fromstring', 'N/A', 'N/A']",['__init__']
">>> len(t)
2
",['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']",['N/A']
">>> t = Tree.fromstring(""(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))"")
>>> print(t.flatten())
(S the dog chased the cat)
","['fromstring', 'flatten']","['Tree.fromstring', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A']",[]
">>> t = Tree.fromstring(""(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))"")
>>> t.height()
5
>>> print(t[0,0])
(D the)
>>> t[0,0].height()
2
","['fromstring', 'height']","['Tree.fromstring', 'N/A', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'N/A']",[]
">>> t = Tree.fromstring('(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))')
>>> t.label()
'S'
","['fromstring', 'label']","['Tree.fromstring', 'N/A', 'Tree.fromstring', 'N/A', 'Tree.fromstring', 'N/A', 'Tree.fromstring', 'N/A']",[]
">>> t = Tree.fromstring(""(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))"")
>>> t.leaves()
['the', 'dog', 'chased', 'the', 'cat']
","['fromstring', 'leaves']","['Tree.fromstring', 'N/A', 'Tree.fromstring', 'N/A', 'Tree.fromstring', 'N/A', 'Tree.fromstring', 'N/A']",[]
">>> t = Tree.fromstring(""(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))"")
>>> t.pos()
[('the', 'D'), ('dog', 'N'), ('chased', 'V'), ('the', 'D'), ('cat', 'N')]
","['fromstring', 'pos']","['Tree.fromstring', 'N/A', 'Tree.fromstring', 'N/A', 'Tree.fromstring', 'N/A', 'Tree.fromstring', 'N/A']",[]
">>> t = Tree.fromstring(""(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))"")
>>> t.productions()
[S -> NP VP, NP -> D N, D -> 'the', N -> 'dog', VP -> V NP, V -> 'chased',
NP -> D N, D -> 'the', N -> 'cat']
","['fromstring', 'productions']","['Tree.fromstring', 'N/A', 'Tree.fromstring', 'N/A', 'Tree.fromstring', 'N/A', 'Tree.fromstring', 'N/A']",[]
">>> t = Tree.fromstring(""(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))"")
>>> t.set_label(""T"")
>>> print(t)
(T (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))
","['fromstring', 'set_label']","['Tree.fromstring', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A']",[]
">>> t = Tree.fromstring(""(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))"")
>>> for s in t.subtrees(lambda t: t.height() == 2):
...     print(s)
(D the)
(N dog)
(V chased)
(D the)
(N cat)
","['fromstring', 'subtrees']","['Tree.fromstring', 'N/A', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'N/A']",[]
">>> t = Tree.fromstring(""(S (NP (D the) (N dog)) (VP (V chased) (NP (D the) (N cat))))"")
>>> t.treepositions() 
[(), (0,), (0, 0), (0, 0, 0), (0, 1), (0, 1, 0), (1,), (1, 0), (1, 0, 0), ...]
>>> for pos in t.treepositions('leaves'):
...     t[pos] = t[pos][::-1].upper()
>>> print(t)
(S (NP (D EHT) (N GOD)) (VP (V DESAHC) (NP (D EHT) (N TAC))))
","['fromstring', 'treepositions']","['Tree.fromstring', 'N/A', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'N/A', 'Tree.fromstring', 'N/A', 'N/A', 'N/A']",[]
">>> import nltk
>>> from nltk.util import acyclic_depth_first as acyclic_tree
>>> wn=nltk.corpus.wordnet
>>> from pprint import pprint
>>> pprint(acyclic_tree(wn.synset('dog.n.01'), lambda s:s.hypernyms(),cut_mark='...'))
[Synset('dog.n.01'),
 [Synset('canine.n.02'),
  [Synset('carnivore.n.01'),
   [Synset('placental.n.01'),
    [Synset('mammal.n.01'),
     [Synset('vertebrate.n.01'),
      [Synset('chordate.n.01'),
       [Synset('animal.n.01'),
        [Synset('organism.n.01'),
         [Synset('living_thing.n.01'),
          [Synset('whole.n.02'),
           [Synset('object.n.01'),
            [Synset('physical_entity.n.01'),
             [Synset('entity.n.01')]]]]]]]]]]]]],
 [Synset('domestic_animal.n.01'), ""Cycle(Synset('animal.n.01'),-3,...)""]]
",['acyclic_branches_depth_first'],"['N/A', 'N/A', 'N/A', 'N/A', '__init__', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '__init__', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '__init__', 'N/A']",[]
">>> from nltk.util import bigrams
>>> list(bigrams([1,2,3,4,5]))
[(1, 2), (2, 3), (3, 4), (4, 5)]
",['bigrams'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
">>> choose(4, 2)
6
>>> choose(6, 2)
15
",['choose'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
">>> sent = 'a b c'.split()
",['N/A'],"['N/A', 'N/A']",['N/A']
">>> list(everygrams(sent))
[('a',), ('a', 'b'), ('a', 'b', 'c'), ('b',), ('b', 'c'), ('c',)]
",['everygrams'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
">>> sorted(everygrams(sent), key=len)
[('a',), ('b',), ('c',), ('a', 'b'), ('b', 'c'), ('a', 'b', 'c')]
",['everygrams'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
">>> list(everygrams(sent, max_len=2))
[('a',), ('a', 'b'), ('b',), ('b', 'c'), ('c',)]
",['everygrams'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
">>> from nltk.util import flatten
>>> flatten(1, 2, ['b', 'a' , ['c', 'd']], 3)
[1, 2, 'b', 'a', 'c', 'd', 3]
",['flatten'],"['N/A', 'N/A', 'N/A', 'N/A']",[]
"locale.setlocale(locale.LC_ALL, '')
",['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']",['N/A']
">>> from nltk.util import ngrams
>>> list(ngrams([1,2,3,4,5], 3))
[(1, 2, 3), (2, 3, 4), (3, 4, 5)]
",['ngrams'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
">>> list(pad_sequence([1,2,3,4,5], 2, pad_left=True, pad_right=True, left_pad_symbol='', right_pad_symbol=''))
['', 1, 2, 3, 4, 5, '']
>>> list(pad_sequence([1,2,3,4,5], 2, pad_left=True, left_pad_symbol=''))
['', 1, 2, 3, 4, 5]
>>> list(pad_sequence([1,2,3,4,5], 2, pad_right=True, right_pad_symbol=''))
[1, 2, 3, 4, 5, '']
",['pad_sequence'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
">>> sent = ""Insurgents killed in ongoing fighting"".split()
>>> list(skipgrams(sent, 2, 2))
[('Insurgents', 'killed'), ('Insurgents', 'in'), ('Insurgents', 'ongoing'), ('killed', 'in'), ('killed', 'ongoing'), ('killed', 'fighting'), ('in', 'ongoing'), ('in', 'fighting'), ('ongoing', 'fighting')]
>>> list(skipgrams(sent, 3, 2))
[('Insurgents', 'killed', 'in'), ('Insurgents', 'killed', 'ongoing'), ('Insurgents', 'killed', 'fighting'), ('Insurgents', 'in', 'ongoing'), ('Insurgents', 'in', 'fighting'), ('Insurgents', 'ongoing', 'fighting'), ('killed', 'in', 'ongoing'), ('killed', 'in', 'fighting'), ('killed', 'ongoing', 'fighting'), ('in', 'ongoing', 'fighting')]
",['skip_grams'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
">>> from nltk.util import trigrams
>>> list(trigrams([1,2,3,4,5]))
[(1, 2, 3), (2, 3, 4), (3, 4, 5)]
",['trigrams'],"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
">>> import nltk
>>> from nltk.util import unweighted_minimum_spanning_tree as mst
>>> wn=nltk.corpus.wordnet
>>> from pprint import pprint
>>> pprint(mst(wn.synset('bound.a.01'), lambda s:s.also_sees()))
[Synset('bound.a.01'),
 [Synset('unfree.a.02'),
  [Synset('confined.a.02')],
  [Synset('dependent.a.01')],
  [Synset('restricted.a.01'), [Synset('classified.a.02')]]]]
",['unweighted_minimum_spanning_tree'],"['N/A', 'N/A', 'N/A', 'N/A', '__init__', 'N/A', 'N/A', 'N/A', 'N/A', '__init__', 'N/A', 'N/A', 'N/A', 'N/A', '__init__']",[]
">>> lesk(['I', 'went', 'to', 'the', 'bank', 'to', 'deposit', 'money', '.'], 'bank', 'n')
Synset('savings_bank.n.02')
",['lesk'],"['N/A', '__init__', 'N/A', '__init__', 'N/A', '__init__', 'N/A', '__init__']",[]
lexicon.fromstring( string>),['fromstring'],['N/A'],[]
"parser = chart.CCGChartParser(, )",['__init__'],['__init__'],['__init__']
parser.parse(.split()),['parse'],"['N/A', 'N/A']",[]
chart.printCCGDerivation( tree extracted from list>),['printCCGDerivation'],['N/A'],[]
apply(),"['apply', 'apply']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",[]
tokens[self.start():self.end()],"['N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A']"
