Example,Signature,Extracted,Linked
nltk.__init__.demo(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"class nltk.collocations.BigramCollocationFinder(word_fd, bigram_fd, window_size=2)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('BigramCollocationFinder.__init__', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['bigram_fd', 'word_fd'], 'opt_args': ['window_size']})"", ""('BigramCollocationFinder.__init__', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['bigram_fd', 'word_fd'], 'opt_args': ['window_size']})"", ""('BigramCollocationFinder.__init__', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['bigram_fd', 'word_fd'], 'opt_args': ['window_size']})"", ""('BigramCollocationFinder.__init__', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['bigram_fd', 'word_fd'], 'opt_args': ['window_size']})""]",[]
"classmethod from_words(words, window_size=2)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]"", ""[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]"", ""[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]"", ""[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]""]",[]
"score_ngram(score_fn, w1, w2)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""[('BigramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w2', 'w1', 'score_fn'], 'opt_args': []}), ('TrigramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w3', 'w2', 'w1', 'score_fn'], 'opt_args': []}), ('QuadgramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w4', 'w3', 'w2', 'w1', 'score_fn'], 'opt_args': []})]"", ""[('BigramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w2', 'w1', 'score_fn'], 'opt_args': []}), ('TrigramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w3', 'w2', 'w1', 'score_fn'], 'opt_args': []}), ('QuadgramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w4', 'w3', 'w2', 'w1', 'score_fn'], 'opt_args': []})]"", ""[('BigramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w2', 'w1', 'score_fn'], 'opt_args': []}), ('TrigramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w3', 'w2', 'w1', 'score_fn'], 'opt_args': []}), ('QuadgramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w4', 'w3', 'w2', 'w1', 'score_fn'], 'opt_args': []})]"", ""[('BigramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w2', 'w1', 'score_fn'], 'opt_args': []}), ('TrigramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w3', 'w2', 'w1', 'score_fn'], 'opt_args': []}), ('QuadgramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w4', 'w3', 'w2', 'w1', 'score_fn'], 'opt_args': []})]""]",[]
"class nltk.collocations.QuadgramCollocationFinder(word_fd, quadgram_fd, ii, iii, ixi, ixxi, iixi, ixii)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('QuadgramCollocationFinder.__init__', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['ixii', 'iixi', 'ixxi', 'ixi', 'iii', 'ii', 'quadgram_fd', 'word_fd'], 'opt_args': []})"", ""('QuadgramCollocationFinder.__init__', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['ixii', 'iixi', 'ixxi', 'ixi', 'iii', 'ii', 'quadgram_fd', 'word_fd'], 'opt_args': []})"", ""('QuadgramCollocationFinder.__init__', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['ixii', 'iixi', 'ixxi', 'ixi', 'iii', 'ii', 'quadgram_fd', 'word_fd'], 'opt_args': []})"", ""('QuadgramCollocationFinder.__init__', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['ixii', 'iixi', 'ixxi', 'ixi', 'iii', 'ii', 'quadgram_fd', 'word_fd'], 'opt_args': []})""]",[]
"classmethod from_words(words, window_size=4)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]"", ""[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]"", ""[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]"", ""[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]""]",[]
"score_ngram(score_fn, w1, w2, w3, w4)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('QuadgramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w4', 'w3', 'w2', 'w1', 'score_fn'], 'opt_args': []})"", ""('QuadgramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w4', 'w3', 'w2', 'w1', 'score_fn'], 'opt_args': []})"", ""('QuadgramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w4', 'w3', 'w2', 'w1', 'score_fn'], 'opt_args': []})"", ""('QuadgramCollocationFinder.score_ngram', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['w4', 'w3', 'w2', 'w1', 'score_fn'], 'opt_args': []})""]",[]
"class nltk.collocations.TrigramCollocationFinder(word_fd, bigram_fd, wildcard_fd, trigram_fd)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('TrigramCollocationFinder.__init__', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['trigram_fd', 'wildcard_fd', 'bigram_fd', 'word_fd'], 'opt_args': []})"", ""('TrigramCollocationFinder.__init__', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['trigram_fd', 'wildcard_fd', 'bigram_fd', 'word_fd'], 'opt_args': []})"", ""('TrigramCollocationFinder.__init__', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['trigram_fd', 'wildcard_fd', 'bigram_fd', 'word_fd'], 'opt_args': []})"", ""('TrigramCollocationFinder.__init__', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['trigram_fd', 'wildcard_fd', 'bigram_fd', 'word_fd'], 'opt_args': []})""]",[]
bigram_finder(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"classmethod from_words(words, window_size=3)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]"", ""[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]"", ""[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]"", ""[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\\\nltk\\\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]""]",[]
