Example,Extracted Function,Linked Function,Source File,Matched
">>> r = requests.get('https://api.github.com/user', auth=('user', 'pass'))
>>> r.status_code
200
>>> r.headers['content-type']
'application/json; charset=utf8'
>>> r.encoding
'utf-8'
>>> r.text
'{""type"":""User""...'
>>> r.json()
{'private_gists': 419, 'total_private_repos': 77, ...}
",requests.get,get,requests\requests\api.py,False
">>> r = requests.get('https://api.github.com/user', auth=('user', 'pass'))
>>> r.status_code
200
>>> r.headers['content-type']
'application/json; charset=utf8'
>>> r.encoding
'utf-8'
>>> r.text
'{""type"":""User""...'
>>> r.json()
{'private_gists': 419, 'total_private_repos': 77, ...}
",r.json,N/A,N/A,N/A
">>> r = requests.get('https://api.github.com/events')
",requests.get,get,requests\requests\api.py,True
">>> r = requests.post('https://httpbin.org/post', data={'key': 'value'})
",requests.post,post,requests\requests\api.py,True
">>> r = requests.put('https://httpbin.org/put', data={'key': 'value'})
>>> r = requests.delete('https://httpbin.org/delete')
>>> r = requests.head('https://httpbin.org/get')
>>> r = requests.options('https://httpbin.org/get')
",requests.put,put,requests\requests\api.py,True
">>> r = requests.put('https://httpbin.org/put', data={'key': 'value'})
>>> r = requests.delete('https://httpbin.org/delete')
>>> r = requests.head('https://httpbin.org/get')
>>> r = requests.options('https://httpbin.org/get')
",requests.delete,delete,requests\requests\api.py,True
">>> r = requests.put('https://httpbin.org/put', data={'key': 'value'})
>>> r = requests.delete('https://httpbin.org/delete')
>>> r = requests.head('https://httpbin.org/get')
>>> r = requests.options('https://httpbin.org/get')
",requests.head,head,requests\requests\api.py,True
">>> r = requests.put('https://httpbin.org/put', data={'key': 'value'})
>>> r = requests.delete('https://httpbin.org/delete')
>>> r = requests.head('https://httpbin.org/get')
>>> r = requests.options('https://httpbin.org/get')
",requests.options,options,requests\requests\api.py,True
">>> payload = {'key1': 'value1', 'key2': 'value2'}
>>> r = requests.get('https://httpbin.org/get', params=payload)
",requests.get,get,requests\requests\api.py,True
">>> print(r.url)
https://httpbin.org/get?key2=value2&key1=value1
",print,N/A,N/A,N/A
">>> payload = {'key1': 'value1', 'key2': ['value2', 'value3']}

>>> r = requests.get('https://httpbin.org/get', params=payload)
>>> print(r.url)
https://httpbin.org/get?key1=value1&key2=value2&key2=value3
",requests.get,get,requests\requests\api.py,True
">>> payload = {'key1': 'value1', 'key2': ['value2', 'value3']}

>>> r = requests.get('https://httpbin.org/get', params=payload)
>>> print(r.url)
https://httpbin.org/get?key1=value1&key2=value2&key2=value3
",print,N/A,N/A,N/A
">>> import requests

>>> r = requests.get('https://api.github.com/events')
>>> r.text
'[{""repository"":{""open_issues"":0,""url"":""https://github.com/...
",requests.get,get,requests\requests\api.py,True
">>> from PIL import Image
>>> from io import BytesIO

>>> i = Image.open(BytesIO(r.content))
",Image.open,N/A,N/A,N/A
">>> from PIL import Image
>>> from io import BytesIO

>>> i = Image.open(BytesIO(r.content))
",BytesIO,N/A,N/A,N/A
">>> import requests

>>> r = requests.get('https://api.github.com/events')
>>> r.json()
[{'repository': {'open_issues': 0, 'url': 'https://github.com/...
",requests.get,get,requests\requests\api.py,True
">>> import requests

>>> r = requests.get('https://api.github.com/events')
>>> r.json()
[{'repository': {'open_issues': 0, 'url': 'https://github.com/...
",r.json,N/A,N/A,N/A
">>> r = requests.get('https://api.github.com/events', stream=True)

>>> r.raw


>>> r.raw.read(10)
'\x1f\x8b\x08\x00\x00\x00\x00\x00\x00\x03'
",requests.get,get,requests\requests\api.py,True
">>> r = requests.get('https://api.github.com/events', stream=True)

>>> r.raw


>>> r.raw.read(10)
'\x1f\x8b\x08\x00\x00\x00\x00\x00\x00\x03'
",raw.read,N/A,N/A,N/A
"with open(filename, 'wb') as fd:
    for chunk in r.iter_content(chunk_size=128):
        fd.write(chunk)
",open,N/A,N/A,N/A
"with open(filename, 'wb') as fd:
    for chunk in r.iter_content(chunk_size=128):
        fd.write(chunk)
",r.iter_content,N/A,N/A,N/A
"with open(filename, 'wb') as fd:
    for chunk in r.iter_content(chunk_size=128):
        fd.write(chunk)
",fd.write,N/A,N/A,N/A
">>> url = 'https://api.github.com/some/endpoint'
>>> headers = {'user-agent': 'my-app/0.0.1'}

>>> r = requests.get(url, headers=headers)
",requests.get,get,requests\requests\api.py,True
">>> payload = {'key1': 'value1', 'key2': 'value2'}

>>> r = requests.post(""https://httpbin.org/post"", data=payload)
>>> print(r.text)
{
  ...
  ""form"": {
    ""key2"": ""value2"",
    ""key1"": ""value1""
  },
  ...
}
",requests.post,post,requests\requests\api.py,True
">>> payload = {'key1': 'value1', 'key2': 'value2'}

>>> r = requests.post(""https://httpbin.org/post"", data=payload)
>>> print(r.text)
{
  ...
  ""form"": {
    ""key2"": ""value2"",
    ""key1"": ""value1""
  },
  ...
}
",print,N/A,N/A,N/A
">>> payload_tuples = [('key1', 'value1'), ('key1', 'value2')]
>>> r1 = requests.post('https://httpbin.org/post', data=payload_tuples)
>>> payload_dict = {'key1': ['value1', 'value2']}
>>> r2 = requests.post('https://httpbin.org/post', data=payload_dict)
>>> print(r1.text)
{
  ...
  ""form"": {
    ""key1"": [
      ""value1"",
      ""value2""
    ]
  },
  ...
}
>>> r1.text == r2.text
True
",requests.post,post,requests\requests\api.py,True
">>> payload_tuples = [('key1', 'value1'), ('key1', 'value2')]
>>> r1 = requests.post('https://httpbin.org/post', data=payload_tuples)
>>> payload_dict = {'key1': ['value1', 'value2']}
>>> r2 = requests.post('https://httpbin.org/post', data=payload_dict)
>>> print(r1.text)
{
  ...
  ""form"": {
    ""key1"": [
      ""value1"",
      ""value2""
    ]
  },
  ...
}
>>> r1.text == r2.text
True
",print,N/A,N/A,N/A
">>> import json

>>> url = 'https://api.github.com/some/endpoint'
>>> payload = {'some': 'data'}

>>> r = requests.post(url, data=json.dumps(payload))
",requests.post,post,requests\requests\api.py,False
">>> import json

>>> url = 'https://api.github.com/some/endpoint'
>>> payload = {'some': 'data'}

>>> r = requests.post(url, data=json.dumps(payload))
",json.dumps,N/A,N/A,N/A
">>> r = requests.post(url, json=payload)
",requests.post,post,requests\requests\api.py,True
">>> url = 'https://httpbin.org/post'
>>> files = {'file': open('report.xls', 'rb')}

>>> r = requests.post(url, files=files)
>>> r.text
{
  ...
  ""files"": {
    ""file"": """"
  },
  ...
}
",open,N/A,N/A,N/A
">>> url = 'https://httpbin.org/post'
>>> files = {'file': open('report.xls', 'rb')}

>>> r = requests.post(url, files=files)
>>> r.text
{
  ...
  ""files"": {
    ""file"": """"
  },
  ...
}
",requests.post,post,requests\requests\api.py,True
">>> url = 'https://httpbin.org/post'
>>> files = {'file': ('report.xls', open('report.xls', 'rb'), 'application/vnd.ms-excel', {'Expires': '0'})}

>>> r = requests.post(url, files=files)
>>> r.text
{
  ...
  ""files"": {
    ""file"": """"
  },
  ...
}
",open,N/A,N/A,N/A
