Example,Extracted Function,Linked Function,Source File,Matched
nltk.__init__.demo(),"(None, [])",N/A,N/A,False
"class nltk.collocations.BigramCollocationFinder(word_fd, bigram_fd, window_size=2)","('nltk.collocations.BigramCollocationFinder', ['word_fd', 'bigram_fd', 'window_size'])","('BigramCollocationFinder.__init__', ['bigram_fd', 'word_fd', 'window_size'])",nltk\nltk\collocations.py,True
"classmethod from_words(words, window_size=2)","('from_words', ['words', 'window_size'])","[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]",N/A,False
"score_ngram(score_fn, w1, w2)","('score_ngram', ['score_fn', 'w1', 'w2'])","[('BigramCollocationFinder.score_ngram', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['w2', 'w1', 'score_fn'], 'opt_args': []}), ('TrigramCollocationFinder.score_ngram', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['w3', 'w2', 'w1', 'score_fn'], 'opt_args': []}), ('QuadgramCollocationFinder.score_ngram', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['w4', 'w3', 'w2', 'w1', 'score_fn'], 'opt_args': []})]",N/A,False
"class nltk.collocations.QuadgramCollocationFinder(word_fd, quadgram_fd, ii, iii, ixi, ixxi, iixi, ixii)","('nltk.collocations.QuadgramCollocationFinder', ['word_fd', 'quadgram_fd', 'ii', 'iii', 'ixi', 'ixxi', 'iixi', 'ixii'])","('QuadgramCollocationFinder.__init__', ['ixii', 'iixi', 'ixxi', 'ixi', 'iii', 'ii', 'quadgram_fd', 'word_fd'])",nltk\nltk\collocations.py,True
"classmethod from_words(words, window_size=4)","('from_words', ['words', 'window_size'])","[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]",N/A,False
"score_ngram(score_fn, w1, w2, w3, w4)","('score_ngram', ['score_fn', 'w1', 'w2', 'w3', 'w4'])","('QuadgramCollocationFinder.score_ngram', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['w4', 'w3', 'w2', 'w1', 'score_fn'], 'opt_args': []})",nltk\nltk\collocations.py,True
"class nltk.collocations.TrigramCollocationFinder(word_fd, bigram_fd, wildcard_fd, trigram_fd)","('nltk.collocations.TrigramCollocationFinder', ['word_fd', 'bigram_fd', 'wildcard_fd', 'trigram_fd'])","('TrigramCollocationFinder.__init__', ['trigram_fd', 'wildcard_fd', 'bigram_fd', 'word_fd'])",nltk\nltk\collocations.py,True
bigram_finder(),"(None, [])",N/A,N/A,False
"classmethod from_words(words, window_size=3)","('from_words', ['words', 'window_size'])","[('BigramCollocationFinder.from_words', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('TrigramCollocationFinder.from_words', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']}), ('QuadgramCollocationFinder.from_words', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['words', 'cls'], 'opt_args': ['window_size']})]",N/A,False
"score_ngram(score_fn, w1, w2, w3)","('score_ngram', ['score_fn', 'w1', 'w2', 'w3'])","[('TrigramCollocationFinder.score_ngram', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['w3', 'w2', 'w1', 'score_fn'], 'opt_args': []}), ('QuadgramCollocationFinder.score_ngram', {'source_file': 'nltk\\nltk\\collocations.py', 'req_args': ['w4', 'w3', 'w2', 'w1', 'score_fn'], 'opt_args': []})]",N/A,False
"nltk.data.BufferedGzipFile(*args, **kwargs)","('nltk.data.BufferedGzipFile', ['args', 'kwargs'])","('BufferedGzipFile.__init__', ['fileobj', 'compresslevel', 'mode', 'filename', 'kwargs'])",nltk\nltk\data.py,True
"nltk.data.FORMATS = {'cfg': 'A context free grammar.', 'fcfg': 'A feature CFG.', 'fol': 'A list of first order logic expressions, parsed with nltk.sem.logic.Expression.fromstring.', 'json': 'A serialized python object, stored using the json module.', 'logic': 'A list of first order logic expressions, parsed with nltk.sem.logic.LogicParser.  Requires an additional logic_parser parameter', 'pcfg': 'A probabilistic CFG.', 'pickle': 'A serialized python object, stored using the pickle module.', 'raw': 'The raw (byte string) contents of a file.', 'text': 'The raw (unicode string) contents of a file. ', 'val': 'A semantic valuation, parsed by nltk.sem.Valuation.fromstring.', 'yaml': 'A serialized python object, stored using the yaml module.'}","(None, [])",N/A,N/A,False
class nltk.data.FileSystemPathPointer(_path),"('nltk.data.FileSystemPathPointer', ['_path'])","('FileSystemPathPointer.__init__', ['_path'])",nltk\nltk\data.py,True
file_size(),"(None, [])",N/A,N/A,False
join(fileid),"('join', ['fileid'])","[('PathPointer.join', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['fileid'], 'opt_args': []}), ('FileSystemPathPointer.join', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['fileid'], 'opt_args': []}), ('ZipFilePathPointer.join', {'source_file': 'nltk\\nltk\\data.py', 'req_args': ['fileid'], 'opt_args': []})]",N/A,False
open(encoding=None),"('open', ['encoding'])","[('PathPointer.open', {'source_file': 'nltk\\nltk\\data.py', 'req_args': [], 'opt_args': ['encoding']}), ('FileSystemPathPointer.open', {'source_file': 'nltk\\nltk\\data.py', 'req_args': [], 'opt_args': ['encoding']}), ('GzipFileSystemPathPointer.open', {'source_file': 'nltk\\nltk\\data.py', 'req_args': [], 'opt_args': ['encoding']}), ('ZipFilePathPointer.open', {'source_file': 'nltk\\nltk\\data.py', 'req_args': [], 'opt_args': ['encoding']})]",N/A,False
