Example,Page,Class,Function,Source File
QUnit.module( name ),https://api.qunitjs.com//QUnit/module/,module,createModule,qunit/src/module.js
"QUnit.module( name, nested )",https://api.qunitjs.com//QUnit/module/,module,createModule,qunit/src/module.js
"QUnit.module( name, options )",https://api.qunitjs.com//QUnit/module/,module,createModule,qunit/src/module.js
"QUnit.module( name, options, nested )",https://api.qunitjs.com//QUnit/module/,module,createModule,qunit/src/module.js
QUnit.module.only(),https://api.qunitjs.com//QUnit/module/,module,only,qunit/src/module.js
QUnit.module.skip(),https://api.qunitjs.com//QUnit/module/,module,skip,qunit/src/module.js
QUnit.module.todo(),https://api.qunitjs.com//QUnit/module/,module,todo,qunit/src/module.js
QUnit.module(),https://api.qunitjs.com//QUnit/module/,module,createModule,qunit/src/module.js
QUnit.test.only(),https://api.qunitjs.com//QUnit/module/,test,only,qunit/src/test.js
QUnit.test.skip(),https://api.qunitjs.com//QUnit/module/,test,skip,qunit/src/test.js
QUnit.test.todo(),https://api.qunitjs.com//QUnit/module/,test,todo,qunit/src/test.js
QUnit.begin(),https://api.qunitjs.com//QUnit/module/,core,begin,qunit/src/core.js
"QUnit.module('Group A');

QUnit.test('basic test example 1', function (assert) {
  assert.true(true, 'this is fine');
});
QUnit.test('basic test example 2', function (assert) {
  assert.true(true, 'this is also fine');
});

QUnit.module('Group B');

QUnit.test('basic test example 3', function (assert) {
  assert.true(true, 'this is fine');
});
QUnit.test('basic test example 4', function (assert) {
  assert.true(true, 'this is also fine');
});",https://api.qunitjs.com//QUnit/module/,module,module,qunit/src/module.js
"QUnit.module('Group A');

QUnit.test('basic test example 1', function (assert) {
  assert.true(true, 'this is fine');
});
QUnit.test('basic test example 2', function (assert) {
  assert.true(true, 'this is also fine');
});

QUnit.module('Group B');

QUnit.test('basic test example 3', function (assert) {
  assert.true(true, 'this is fine');
});
QUnit.test('basic test example 4', function (assert) {
  assert.true(true, 'this is also fine');
});
",https://api.qunitjs.com//QUnit/module/,test,test,qunit/src/test.js
"const { test } = QUnit;

QUnit.module('Group A');

test('basic test example', assert => {
  assert.true(true, 'this is fine');
});
test('basic test example 2', assert => {
  assert.true(true, 'this is also fine');
});

QUnit.module('Group B');

test('basic test example 3', assert => {
  assert.true(true, 'this is fine');
});
test('basic test example 4', assert => {
  assert.true(true, 'this is also fine');
});",https://api.qunitjs.com//QUnit/module/,module,module,qunit/src/module.js
"const { test } = QUnit;

QUnit.module('Group A');

test('basic test example', assert => {
  assert.true(true, 'this is fine');
});
test('basic test example 2', assert => {
  assert.true(true, 'this is also fine');
});

QUnit.module('Group B');

test('basic test example 3', assert => {
  assert.true(true, 'this is fine');
});
test('basic test example 4', assert => {
  assert.true(true, 'this is also fine');
});",https://api.qunitjs.com//QUnit/module/,test,test,qunit/src/test.js
