Example,Signature,Extracted,Linked
load(),"['load()', 'load()', 'load()', 'load()', 'load()']","[((None, []), ['N/A'])]",[]
dump(),"['dump()', 'dump()', 'dump()', 'dump()', 'dump()']","[((None, []), ['N/A'])]",[]
dumps(),"['dumps()', 'dumps()', 'dumps()', 'dumps()', 'dumps()', 'dumps()', 'dumps()', 'dumps()', 'dumps()', 'dumps()', 'dumps()', 'dumps()', 'dumps()', 'dumps()', 'dumps()']","[((None, []), ['N/A'])]",[]
"dumps(...) + ""\n""","['', '', '', '', '']","[((None, []), ['N/A'])]",[]
loads(),"['loads()', 'loads()', 'loads()', 'loads()', 'loads()', 'loads()', 'loads()', 'loads()', 'loads()', 'loads()']","[((None, []), ['N/A'])]",[]
dataclasses.asdict(),"['dataclasses.asdict()', 'dataclasses.asdict()', 'dataclasses.asdict()', 'dataclasses.asdict()', 'dataclasses.asdict()']","[((None, []), ['N/A'])]",[]
"field(metadata={""json_serialize"": False})","['field(metadata={""json_serialize"": False})', 'field(metadata={""json_serialize"": False})', 'field(metadata={""json_serialize"": False})', 'field(metadata={""json_serialize"": False})', 'field(metadata={""json_serialize"": False})']","[(('field', ['metadata']), ['N/A'])]",[]
isoformat(),"['isoformat()', 'isoformat()', 'isoformat()', 'isoformat()', 'isoformat()']","[((None, []), ['N/A'])]",[]
orjson.dumps(),"['orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()', 'orjson.dumps()']","[((None, []), ['N/A'])]",[]
obj.tolist(),"['obj.tolist()', 'obj.tolist()', 'obj.tolist()', 'obj.tolist()', 'obj.tolist()']","[((None, []), ['N/A'])]",[]
"(50000, 100)","['', '', '', '', '']","[((None, []), ['N/A'])]",[]
"(100000, 100)","['', '', '', '', '']","[((None, []), ['N/A'])]",[]
"(100000, 200)","['', '', '', '', '']","[((None, []), ['N/A'])]",[]
ndarray.tolist(),"['ndarray.tolist()', 'ndarray.tolist()', 'ndarray.tolist()', 'ndarray.tolist()', 'ndarray.tolist()']","[((None, []), ['N/A'])]",[]
numpy.float64(1),['numpy.float64(1)'],"[((None, []), ['N/A'])]",[]
orjson.loads(),"['orjson.loads()', 'orjson.loads()', 'orjson.loads()', 'orjson.loads()', 'orjson.loads()', 'orjson.loads()']","[((None, []), ['N/A'])]",[]
numpy.empty(),['numpy.empty()'],"[((None, []), ['N/A'])]",[]
help(),"['help()', 'help()']","[((None, []), ['N/A'])]",[]
numpy.float64(1.0),['numpy.float64(1.0)'],"[((None, []), ['N/A'])]",[]
"orjson.dumps(..., **{})","['orjson.dumps(..., **{})']","[((None, []), ['N/A'])]",[]
orjson.dumps({}),['orjson.dumps({})'],"[((None, []), ['N/A'])]",[]
orjson.dumps(obj={}),['orjson.dumps(obj={})'],"[('orjson.dumps', ['__obj', 'option', 'default'])]",[]
"orjson.dumps(..., option=orjson.OPT_NAIVE_UTC)",[''],"[((None, []), ['N/A'])]",[]
"orjson.dumps(..., option=orjson.OPT_STRICT_INTEGER)",[''],"[((None, []), ['N/A'])]",[]
