Paragraph,Example,Page
"Stanford CoreNLP ships with a built-in server, which requires only the CoreNLP dependencies. To run this server, simply run:","# Run the server using all jars in the current directory (e.g., the CoreNLP home directory)
java -mx4g -cp ""*"" edu.stanford.nlp.pipeline.StanfordCoreNLPServer -port 9000 -timeout 15000",https://stanfordnlp.github.io/CoreNLP/corenlp-server.html
"If you want to process non-English languages, use this command with the appropriate language properties:","# Run a server using Chinese properties
java -Xmx4g -cp ""*"" edu.stanford.nlp.pipeline.StanfordCoreNLPServer -serverProperties StanfordCoreNLP-chinese.properties -port 9000 -timeout 15000",https://stanfordnlp.github.io/CoreNLP/corenlp-server.html
"If no value for port is provided, port 9000 will be used by default. You can then test your server by visiting",http://localhost:9000/,https://stanfordnlp.github.io/CoreNLP/corenlp-server.html
"You should see a website similar to corenlp.run, with an input box for text and a list of annotators you can run. From this interface, you can test out each of the annotators by adding/removing them from this list. (Note: The first use will be slow to respond while models are loaded – it might take 30 seconds or so, but after that the server should run quite quickly.) You can test out the API by sending a POST request to the server with the appropriate properties. An easy way to do this is with wget. The following will annotate the sentence “the quick brown fox jumped over the lazy dog” with part of speech tags:","wget --post-data 'The quick brown fox jumped over the lazy dog.' 'localhost:9000/?properties={""annotators"":""tokenize,ssplit,pos"",""outputFormat"":""json""}' -O -",https://stanfordnlp.github.io/CoreNLP/corenlp-server.html
"You should see a website similar to corenlp.run, with an input box for text and a list of annotators you can run. From this interface, you can test out each of the annotators by adding/removing them from this list. (Note: The first use will be slow to respond while models are loaded – it might take 30 seconds or so, but after that the server should run quite quickly.) You can test out the API by sending a POST request to the server with the appropriate properties. An easy way to do this is with wget. The following will annotate the sentence “the quick brown fox jumped over the lazy dog” with part of speech tags:","wget --post-data 'The quick brown fox jumped over the lazy dog.' 'http://[::]:9000/?properties={""annotators"":""tokenize,ssplit,pos"",""outputFormat"":""json""}' -O -",https://stanfordnlp.github.io/CoreNLP/corenlp-server.html
"You should see a website similar to corenlp.run, with an input box for text and a list of annotators you can run. From this interface, you can test out each of the annotators by adding/removing them from this list. (Note: The first use will be slow to respond while models are loaded – it might take 30 seconds or so, but after that the server should run quite quickly.) You can test out the API by sending a POST request to the server with the appropriate properties. An easy way to do this is with wget. The following will annotate the sentence “the quick brown fox jumped over the lazy dog” with part of speech tags:",curl --data 'The quick brown fox jumped over the lazy dog.' 'http://localhost:9000/?properties={%22annotators%22%3A%22tokenize%2Cssplit%2Cpos%22%2C%22outputFormat%22%3A%22json%22}' -o -,https://stanfordnlp.github.io/CoreNLP/corenlp-server.html
"Or finally, here’s a minimal Python program that interfaces with this endpoint using the requests library:","import requests
print(requests.post('http://[::]:9000/?properties={""annotators"":""tokenize,ssplit,pos"",""outputFormat"":""json""}', data = {'data':'The quick brown fox jumped over the lazy dog.'}).text)",https://stanfordnlp.github.io/CoreNLP/corenlp-server.html
"For example, the following command will tokenize the input text, run part of speech tagging, and output the result as JSON to standard out:","wget --post-data 'the quick brown fox jumped over the lazy dog' 'localhost:9000/?properties={""annotators"": ""tokenize,ssplit,pos"", ""outputFormat"": ""json""}' -O -",https://stanfordnlp.github.io/CoreNLP/corenlp-server.html
"The server also accepts input in a variety of formats. By default, it takes input as raw text sent as POST data to the server. However, it can also be configured to read the POST data using one of the CoreNLP serializers. This can be set up by setting the properties inputFormat and inputSerializer. For example, to read the data as a protocol buffer (useful if, e.g., it is already partially annotated), simply include the following in your url parameter properties={...}:","{""inputFormat"": ""serialized"",
 ""inputSerializer"": ""edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer""}",https://stanfordnlp.github.io/CoreNLP/corenlp-server.html
"A complete call to the server, taking as input a protobuf serialized document at path /path/to/file.proto and returning as a response a protobuf for the document annotated for part of speech and named entity tags (to the file /path/to/annotated_file.proto could be:","wget --post-file /path/to/file.proto 'localhost:9000/?properties={""inputFormat"": ""serialized"", ""inputSerializer"", ""edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer"", ""annotators"": ""tokenize,ssplit,pos,lemma,ner"", ""outputFormat"": ""serialized"", ""serializer"", ""edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer""}' -O /path/to/annotated_file.proto",https://stanfordnlp.github.io/CoreNLP/corenlp-server.html
"Similar to the CoreNLP target, /tokensregex takes a block of data (e.g., text) as POST data, and a series of url parameters. Currently, only plain-text POST data is supported. The two relevant url parameters are:","{""sentences"": {
	""0"": {
	  ""text"": ""the matched text"",
	  ""begin"": 2,
	  ""end"": 5,
	  ""$captureGroupKey"": {
		  ""text"": ""the matched text"",
		  ""begin"": 2,
		  ""end"": 5,
            }
        }
    }
}",https://stanfordnlp.github.io/CoreNLP/corenlp-server.html
"The response is always in JSON, formatted identically to the tokensregex output, with the exception that all spans are single words (only the root of the match is returned):","{""sentences"": {
	""0"": {
	  ""text"": ""text"",
	  ""begin"": 4,
	  ""end"": 5,
	  ""$captureGroupKey"": {
		  ""text"": ""text"",
		  ""begin"": 4,
		  ""end"": 5,
            }
        }
    }
}",https://stanfordnlp.github.io/CoreNLP/corenlp-server.html
