"Paragraph","Tasks"
"StanfordCoreNLP includes TokensRegex, a framework for defining regular expressions over text and tokens, and mapping matched text to semantic objects.","include TokensRegex
define regular expressions over text
define regular expressions over tokens"
"TokensRegex is a complex and powerful library for identifying and acting on patterns in text. To fully utilize TokensRegex, you should review the high level overview and then work through the specific examples below.","identify  on patterns"
"With TokensRegex, you can build a rule based system for searching for patterns and performing actions when the patterns are found.","build rule with TokensRegex
perform actions
search  for patterns"
"In a typical TokensRegex pipeline, you will need some basic Java code to load in your text, split it into sentences, and set up the CoreMapExpressionExtractor. Below is an example class TokensRegexDemo which contains the necessary code for running a TokensRegex pipeline.","split  into sentences
set up CoreMapExpressionExtractor
load  in text
run TokensRegex pipeline"
"In this code, some util classes and a StanfordCoreNLP pipeline are used to load the text and split it into sentences.","load text
split  into sentences
use util classes in code
use StanfordCoreNLP pipeline in code"
"Then the TokensRegex pipeline is built (not be confused with a general StanfordCoreNLP pipeline). The TokensRegex pipeline is specified by a list of rules files, and an Env object. The next section will contain a thorough example of a rules file which specifies a TokensRegex pipeline. In the example code you can see how the environment is built, and an example of specifying that you want all patterns to be case-insensitive. The list of rules files and the Env are used to construct a CoreMapExpressionExtractor, the main class which runs a TokensRegex pipeline.","build TokensRegex pipeline
specify TokensRegex pipeline
specify TokensRegex pipeline of rules file
specify thorough example of rules file
build environment
run TokensRegex pipeline
run main class
use list of rules files
use list of env"
"When a CoreMapExpressionExtractor is run on a sentence, it will run a TokensRegex pipeline on the sentence, alter the token CoreLabel’s annotations in the sentence, and potentially generate a list of MatchedExpression objects which can be used in your overall logic.","run TokensRegex pipeline on sentence
run CoreMapExpressionExtractor on sentence
use list in overall logic
use list of MatchedExpression objects"
"Another way to run TokensRegex rules is to use the TokensRegexAnnotator. For instance you might want to run a full StanfordCoreNLP pipeline, but run named entity recogntion with TokensRegex rules. This can be achieved with the tokensregex annotator.","run TokensRegex rules
use TokensRegexAnnotator
run full StanfordCoreNLP pipeline"
"If you run this command, it will run the TokensRegex rules of basic_ner.rules as part of the pipeline when the tokensregex annotator runs.","run command
run TokensRegex rules as part
run TokensRegex rules of basic_ner.rules"
"As you work through the examples, it is helpful to understand the high level design of a TokensRegex pipeline. The pipeline is specified in a set of rules files, that are evaluated with respect to an environment. The environment can be initialized in Java code, and altered in the rules files.","specify pipeline in set
evaluate rules files with respect
evaluate rules files to environment
initialize environment in Java code"
"Generally assignments are made at the top, which set up variables to be used in the TokensRegex pipeline.","set up variables
set up top
use  in TokensRegex pipeline"
