Paragraph,Tasks
"A processing class for deriving trees that represent possible structures for a sequence of tokens. These tree structures are known as “parses”. Typically, parsers are used to derive syntax trees for sentences. But parsers can also be used to derive other kinds of tree structure, such as morphological trees and discourse structures.",Use parser
The grammar used by this parser.,
An iterator that generates parse trees for the sentence.,Generate parse trees
When possible this list is sorted from most likely to least likely.,Sort list
Interface for parsing with BLLIP Parser. BllipParser objects can be constructed with the BllipParser.from_unified_model_dir class method or manually using the BllipParser constructor.,"Use BllipParser constructor
Use BllipParser objects"
Create a BllipParser object from a unified parsing model directory. Unified parsing model directories are a standardized way of storing BLLIP parser and reranker models together on disk. See bllipparser.RerankingParser.get_unified_model_parameters() for more information about unified model directories.,"Create BllipParser object from unified parsing model directory
Store BLLIP parser on disk
Store reranker models on disk"
A BllipParser object using the parser and reranker,"Use parser
Use reranker"
An iterator that generates parse trees for the sentence,Generate parse trees
"Use BLLIP to parse a sentence. Takes a sentence as a list of (word, tag) tuples; the sentence must have already been tokenized and tagged. BLLIP will attempt to use the tags provided but may use others if it can’t come up with a complete parse subject to those constraints. You may also specify a tag as None to leave a token’s tag unconstrained.","Use BLLIP
Specify tag as None"
An iterator that generates parse trees for the sentence,Generate parse trees
"Data classes and parser implementations for “chart parsers”, which use dynamic programming to efficiently parse a text. A chart parser derives parse trees for a text by iteratively adding “edges” to a “chart.” Each edge represents a hypothesis about the tree structure for a subsequence of the text. The chart is a “blackboard” for composing and combining these hypotheses.","Add edges to chart
compose hypotheses
combine hypotheses
Use chart parsers"
"When a chart parser begins parsing a text, it creates a new (empty) chart, spanning the text. It then incrementally adds new edges to the chart. A set of “chart rules” specifies the conditions under which new edges should be added to the chart. Once the chart reaches a stage where none of the chart rules adds any new edges, parsing is complete.","Create new chart
add new edges to chart
specify conditions
add new edges to chart
add conditions to chart
add new edges"
"Charts are encoded with the Chart class, and edges are encoded with the TreeEdge and LeafEdge classes. The chart parser module defines three chart parsers:","Encode charts with Chart class
Encode edges with TreeEdge LeafEdge classes
Define chart parsers"
"ChartParser is a simple and flexible chart parser. Given a set of chart rules, it will apply those rules to the chart until no more edges are added.",Apply rules to chart
SteppingChartParser is a subclass of ChartParser that can be used to step through the parsing process.,Use subclass of ChartParser
"A default implementation for __str__, which returns a name based on the rule’s class name.",Return name
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges at time
add edges to chart
add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"Return a generator that will add all edges licensed by this rule, given the edges that are currently in the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Return generator
add edges
add new edge"
A ChartParser using a bottom-up parsing strategy. See ChartParser for more information.,Use bottom-up parsing strategy
A ChartParser using a bottom-up left-corner parsing strategy. This strategy is often more efficient than standard bottom-up. See ChartParser for more information.,Use bottom-up left-corner parsing strategy
"This is like BottomUpPredictRule, but it also applies the FundamentalRule to the resulting edge.",Apply FundamentalRule to resulting edge
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges at time
add edges to chart
add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
