id,session_key,library_name,years_experience,familiar,general_rating,task_list,code_examples_methods,code_examples_classes,text_readability,code_readability,consistency,navigability,usefulness,where_see,matching,general_feedback
1,bqhhtq06a7rgijwdrdylt3ls0aaytwcy,GitPython,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,ppdvs47kv6n4gszdnrn5eaoqeilfr494,orjson,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,b3lyejd5a90q52unjdldmgzthkcavi57,GitPython,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,e89uyeo1tp99qdo26ro3u8h7sxtl0hx0,Requests,15,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,km8qrcu63rsml0b717rnvhal6z25q5vi,NLTK,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,g0lg1oav4ush6p56c4rk3kizm9y1oxf8,Requests,12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,ufp5ludc7w9fd94sie1wse5761lt2ux5,Bpmn-visualization,12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,fp6qrhsy2m3g9npaw56tx7y5quo5iuyx,orjson,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,fp6qrhsy2m3g9npaw56tx7y5quo5iuyx,CoreNLP,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,fp6qrhsy2m3g9npaw56tx7y5quo5iuyx,netty,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,fp6qrhsy2m3g9npaw56tx7y5quo5iuyx,memfs,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,3imxyv49vuf5xywhzqai65qtshbwlhov,GitPython,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,wo8z7r4b542idku3gorlvq2z40dijebw,orjson,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,2sl7zhl1cpiuzpaqxsti1xwcjz5hbq6c,orjson,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,hevprqwjqt683fns27nezrctscjwxxrq,orjson,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,aool7k0a6zknt79vd9juu7aywyz0csl1,Ivy,40,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,6tdipjz7ael3a8aa2ok3kf3fo7jq3e2m,NLTK,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,w7katoxghlvqavj42f4u9e5kofec749f,Bpmn-visualization,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,xpbd7vsx61j2kuii8i34hmskomqugw90,Numba,15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,f7hxlx3b3xm3n8wlwizo6qbhrh8erpib,Requests,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,4tyxkls58920lty14iv82758estafgd0,Ivy,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,79m7qolpxes6gx99ousjucx40u8b6182,Ivy,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,c0j6fae5m3fidvte9np5s1hlqqs6jtdx,Ivy,20,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,c7oalpwsv3kizwda7xsdwjjiefd2ckv7,scanpy,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,xsgwawvmsl0i94sxidbfrebz8qc7moy8,jQuery,30,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,5bj5kdjzjlkuc80p5cl875ukwfx4ecy0,Ivy,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,g2rqyqdw7sh5y9gp9kbui9nti7020ro3,Ivy,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,j9heqeafrnebnqn00dyt2r7n4b2m8zha,jQuery,20,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,lurz1f1t96eept36m9tbjsqzpxnazi2x,orjson,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,35itjweymf3u7uwsmyvwjm2xwz9o1lvb,numpy,23,1,2,1,1,3,4,3,3,4,1,None,1,numpy's documentation is large. It's possible that your crawling just didn't find relevant portions. There is no way for me to tell from the summary what your crawler actually saw.\nThere does not seem to be any relationship between the overall star summary (4/5) and the individual quality metrics (mostly 0/5).
31,9cc2xb4larwcbv7jint7uwyimj7aug3t,scanpy,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,dflrtlqmdcw8i61y4uvd8tny4drj3z7f,scanpy,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,3vcia1pfmnc7svoynz4oza4xih44fuus,PyOpenGL,40,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,vwk1qtxh9ohuablkefrzcmlc8c6s6atc,pyAFQ,11,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,zrd7w1f9dc3epua2ullphx94662iya38,Requests,15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,j0sku2yxa17dxxeijvbl3e4jp758wuc6,ibis-project,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,xsuu6vu67aeqk3mvsy8t0we8qgq95xgz,scanpy,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,ethay63h9oe7muwcm0nsbkqvku9x7adv,scanpy,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,5z9yvhf8ciwjxxaka9pttnyudkq2zu2v,orjson,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,zuafd92w6ujg3dvrc7cdz93r84up9jwm,Ivy,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,c8tcx4wjzxc25cs7tid07hpd1hynssir,numpy,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,t064vi9gicadcync3h422dfr1238gmef,numpy,25,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,t064vi9gicadcync3h422dfr1238gmef,rcdesign,25,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,g3r2g54tb7lid96mqo059vwuxqks65w6,numpy,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,ripj7ub7c68jsd7u5qmf23dppgia8uya,Ivy,22,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,zo3hew7xqyvw1d61chzdlkr12qusul94,orjson,18,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,5rjmiitmq5q7vapws15g2srjie4mjvcy,Ivy,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,ripj7ub7c68jsd7u5qmf23dppgia8uya,jQuery,22,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,7rvbdanqp1om5p7g1lzy5dasbhbl7xyu,GitPython,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,viv74m16eyyakhonebz6044rfvemx14h,ibis-project,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,chpgy8idu7jurwyzpjsnmszhjq6b7xix,orjson,18,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,0ocbdl0w7df6tfsc4ygkus1q9rjepts1,orjson,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,5tfu21izmytxukoqy9auw68ly5q22axv,numpy,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,e28x2ev6r8ndnd7ct1q3701hiknastq9,React,20,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,nltjf523al86z4tmmajzg2xxq8b7xn4j,Ivy,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,g3dvly15jflbtzjvvyz1eduwj44bpu9d,Ivy,30,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,xjgbq8ocu6ooc8orl7qfttochavajkpf,numpy,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,rasbv5okxr34t6gvkav8aupjgxv7bs78,numpy,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,rasbv5okxr34t6gvkav8aupjgxv7bs78,Ivy,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,rasbv5okxr34t6gvkav8aupjgxv7bs78,orjson,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,4ga84340ch77qq0zte3ft6g5wyrlwsz0,JSON-java,16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,8l23li55mjx2kxeuihm35sbi4c8wmh1b,scanpy,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,2nr01w9ob1zs6tr5cisa27rqz0qrv99y,numpy,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,2nr01w9ob1zs6tr5cisa27rqz0qrv99y,NLTK,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,2nr01w9ob1zs6tr5cisa27rqz0qrv99y,React,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,2nr01w9ob1zs6tr5cisa27rqz0qrv99y,orjson,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,2nr01w9ob1zs6tr5cisa27rqz0qrv99y,scanpy,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,2nr01w9ob1zs6tr5cisa27rqz0qrv99y,jQuery,2,0,4,5,4,4,4,2,2,5,4,package_manager,NULL,Since jQuery is a popular package documenting some security practices/well-known issues might be helpful too. I am not sure how feasible this is though.
69,zhfswu6l8lil7sszofkpo22pbl54emx0,twilio,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,0mkmtlwmdxman0uvyyzp9lul6ns77nrf,PyOpenGL,40,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
