Paragraph,Ground Truth link,Program link,Partial ratio
The simplest way to define a component is to write a JavaScript function:,"function welcome(props) {
  return <h1>hello, {props.name}</h1>;
}","function welcome(props) { return <h1>hello, {props.name}h1>; }",95
The simplest way to define a component is to write a JavaScript function:,"function welcome(props) {
  return <h1>hello, {props.name}</h1>;
}","class welcome extends react.component { render() { return <h1>hello, {this.props.name}h1>; } }",N/A
The simplest way to define a component is to write a JavaScript function:,"function welcome(props) {
  return <h1>hello, {props.name}</h1>;
}","function welcome(props) { return <h1>hello, {props.name}h1>; } const element = <welcome name=""sara"" />;reactdom.render( element, document.getelementbyid('root') );",N/A
The simplest way to define a component is to write a JavaScript function:,"function welcome(props) {
  return <h1>hello, {props.name}</h1>;
}","function welcome(props) { return <h1>hello, {props.name}h1>; } function app() { return ( <div> <welcome name=""sara"" /> <welcome name=""cahal"" /> <welcome name=""edite"" /> div> ); } reactdom.render( <app />, document.getelementbyid('root') );",N/A
The simplest way to define a component is to write a JavaScript function:,"function welcome(props) {
  return <h1>hello, {props.name}</h1>;
}","function comment(props) { return ( <div classname=""comment""> <div classname=""userinfo""> <img classname=""avatar"" src={props.author.avatarurl} alt={props.author.name} /> <div classname=""userinfo-name""> {props.author.name} div> div> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
The simplest way to define a component is to write a JavaScript function:,"function welcome(props) {
  return <h1>hello, {props.name}</h1>;
}","function avatar(props) { return ( <img classname=""avatar"" src={props.user.avatarurl} alt={props.user.name} /> ); }",N/A
The simplest way to define a component is to write a JavaScript function:,"function welcome(props) {
  return <h1>hello, {props.name}</h1>;
}","function comment(props) { return ( <div classname=""comment""> <div classname=""userinfo""> <avatar user={props.author} /> <div classname=""userinfo-name""> {props.author.name} div> div> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
The simplest way to define a component is to write a JavaScript function:,"function welcome(props) {
  return <h1>hello, {props.name}</h1>;
}","function userinfo(props) { return ( <div classname=""userinfo""> <avatar user={props.user} /> <div classname=""userinfo-name""> {props.user.name} div> div> ); }",N/A
The simplest way to define a component is to write a JavaScript function:,"function welcome(props) {
  return <h1>hello, {props.name}</h1>;
}","function comment(props) { return ( <div classname=""comment""> <userinfo user={props.author} /> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
The simplest way to define a component is to write a JavaScript function:,"function welcome(props) {
  return <h1>hello, {props.name}</h1>;
}","function withdraw(account, amount) { account.total -= amount; }",N/A
You can also use an ES6 class to define a component:,"class welcome extends react.component {
  render() {
    return <h1>hello, {this.props.name}</h1>;
  }
}","function welcome(props) { return <h1>hello, {props.name}h1>; }",N/A
You can also use an ES6 class to define a component:,"class welcome extends react.component {
  render() {
    return <h1>hello, {this.props.name}</h1>;
  }
}","class welcome extends react.component { render() { return <h1>hello, {this.props.name}h1>; } }",96
You can also use an ES6 class to define a component:,"class welcome extends react.component {
  render() {
    return <h1>hello, {this.props.name}</h1>;
  }
}","function welcome(props) { return <h1>hello, {props.name}h1>; } const element = <welcome name=""sara"" />;reactdom.render( element, document.getelementbyid('root') );",N/A
