Paragraph,Ground truth tasks,Program tasks,Partial Ratio
"The success callback function is passed the returned data, which will be an XML root element, text string, JavaScript file, or JSON object, depending on the MIME type of the response. It is also passed the text status of the response.","pass success callback function",pass returned data,50
"The success callback function is passed the returned data, which will be an XML root element, text string, JavaScript file, or JSON object, depending on the MIME type of the response. It is also passed the text status of the response.","pass success callback function",pass success callback function,100
"The success callback function is passed the returned data, which will be an XML root element, text string, JavaScript file, or JSON object, depending on the MIME type of the response. It is also passed the text status of the response.","pass text status of response",pass returned data,56
"The success callback function is passed the returned data, which will be an XML root element, text string, JavaScript file, or JSON object, depending on the MIME type of the response. It is also passed the text status of the response.","pass text status of response",pass success callback function,38
"The success callback function is passed the returned data, which will be an XML root element, text string, JavaScript file, or JSON object, depending on the MIME type of the response. It is also passed the text status of the response.","pass text status of response",pass text status of response,100
"The success callback function is passed the returned data, which will be an XML root element, text string, JavaScript file, or JSON object, depending on the MIME type of the response. It is also passed the text status of the response.",pass returned data,pass returned data,100
Most implementations will specify a success handler:,specify success handler,specify success handler,100
This example fetches the requested HTML snippet and inserts it on the page.,fetch requested html snippet,fetch requested html snippet,100
"The Promise interface also allows jQuery's Ajax methods, including $.get(), to chain multiple .done(), .fail(), and .always() callbacks on a single request, and even to assign these callbacks after the request may have completed. If the request is already complete, the callback is fired immediately.",assign callbacks after request,assign callbacks after request,100
"Request the test.php page, but ignore the return results.","request test.php page",ignore return results,33
"Request the test.php page, but ignore the return results.",ignore return results,ignore return results,100
Request the test.php page and send some additional data along (while still ignoring the return results).,"request test.php page",request test.php page,100
Request the test.php page and send some additional data along (while still ignoring the return results).,"send additional data",request test.php page,24
Request the test.php page and send some additional data along (while still ignoring the return results).,ignore results,request test.php page,36
"Alert the results from requesting test.cgi with an additional payload of data (HTML or XML, depending on what was returned).",request test.cgi with additional data,request test.cgi with additional payload,92
Get another page on the same domain. Outputs to console both the data returned and the type of data returned.,get page on same domain,get page on same domain,100
"Get the test.php page contents, which has been returned in json format (""""John"""",""""time""""=>""""2pm"""" ) ); ?>), and add it to the page.",get page contents,get page contents,100
"Get the test.php page contents, which has been returned in json format (""John"",""time""=>""2pm"" ) ); ?>), and add it to the page.","get page contents",get page contents,100
"Get the test.php page contents, which has been returned in json format (""John"",""time""=>""2pm"" ) ); ?>), and add it to the page.","return page contents in json format",get page contents,82
"Get the test.php page contents, which has been returned in json format (""John"",""time""=>""2pm"" ) ); ?>), and add it to the page.","return page contents in json format",return page contents in json format ),97
"Get the test.php page contents, which has been returned in json format (""John"",""time""=>""2pm"" ) ); ?>), and add it to the page.",add to page,get page contents,36
"Get the test.php page contents, which has been returned in json format (""John"",""time""=>""2pm"" ) ); ?>), and add it to the page.",add to page,return page contents in json format ),36
"Get the test.php page contents, which has been returned in json format (""John"",""time""=>""2pm"" ) ); ?>), and add it to the page.",add to page,add  to page,91
Pass arrays of data to the server (while still ignoring the return results).,"pass data"
Pass arrays of data to the server (while still ignoring the return results).,ignore results
