Paragraph,Ground Truth link,Program link,Has Tasks,Partial ratio
Tag a list of tokens.,">>> parser = corenlpparser(url='http://localhost:9000', tagtype='ner')
>>> tokens = 'rami eid is studying at stony brook university in ny'.split()
>>> parser.tag(tokens)
[('rami', 'person'), ('eid', 'person'), ('is', 'o'), ('studying', 'o'), ('at', 'o'), ('stony', 'organization'),
('brook', 'organization'), ('university', 'organization'), ('in', 'o'), ('ny', 'o')]",">>> parser = corenlpparser(url='http://localhost:9000', tagtype='ner')
>>> tokens = 'rami eid is studying at stony brook university in ny'.split()
>>> parser.tag(tokens)
[('rami', 'person'), ('eid', 'person'), ('is', 'o'), ('studying', 'o'), ('at', 'o'), ('stony', 'organization'),
('brook', 'organization'), ('university', 'organization'), ('in', 'o'), ('ny', 'o')]",FALSE,99
Tag a list of tokens.,">>> parser = corenlpparser(url='http://localhost:9000', tagtype='ner')
>>> tokens = 'rami eid is studying at stony brook university in ny'.split()
>>> parser.tag(tokens)
[('rami', 'person'), ('eid', 'person'), ('is', 'o'), ('studying', 'o'), ('at', 'o'), ('stony', 'organization'),
('brook', 'organization'), ('university', 'organization'), ('in', 'o'), ('ny', 'o')]",">>> parser = corenlpparser(url='http://localhost:9000', tagtype='pos')
>>> tokens = ""what is the airspeed of an unladen swallow ?"".split()
>>> parser.tag(tokens)
[('what', 'wp'), ('is', 'vbz'), ('the', 'dt'),
('airspeed', 'nn'), ('of', 'in'), ('an', 'dt'),
('unladen', 'jj'), ('swallow', 'vb'), ('?', '.')]",FALSE,68
Tag a list of tokens.,">>> parser = corenlpparser(url='http://localhost:9000', tagtype='pos')
>>> tokens = ""what is the airspeed of an unladen swallow ?"".split()
>>> parser.tag(tokens)
[('what', 'wp'), ('is', 'vbz'), ('the', 'dt'),
('airspeed', 'nn'), ('of', 'in'), ('an', 'dt'),
('unladen', 'jj'), ('swallow', 'vb'), ('?', '.')]",">>> parser = corenlpparser(url='http://localhost:9000', tagtype='ner')
>>> tokens = 'rami eid is studying at stony brook university in ny'.split()
>>> parser.tag(tokens)
[('rami', 'person'), ('eid', 'person'), ('is', 'o'), ('studying', 'o'), ('at', 'o'), ('stony', 'organization'),
('brook', 'organization'), ('university', 'organization'), ('in', 'o'), ('ny', 'o')]",FALSE,68
Tag a list of tokens.,">>> parser = corenlpparser(url='http://localhost:9000', tagtype='pos')
>>> tokens = ""what is the airspeed of an unladen swallow ?"".split()
>>> parser.tag(tokens)
[('what', 'wp'), ('is', 'vbz'), ('the', 'dt'),
('airspeed', 'nn'), ('of', 'in'), ('an', 'dt'),
('unladen', 'jj'), ('swallow', 'vb'), ('?', '.')]",">>> parser = corenlpparser(url='http://localhost:9000', tagtype='pos')
>>> tokens = ""what is the airspeed of an unladen swallow ?"".split()
>>> parser.tag(tokens)
[('what', 'wp'), ('is', 'vbz'), ('the', 'dt'),
('airspeed', 'nn'), ('of', 'in'), ('an', 'dt'),
('unladen', 'jj'), ('swallow', 'vb'), ('?', '.')]",FALSE,99
Tokenize a string of text.,>>> parser = corenlpparser(url='http://localhost:9000'),>>> parser = corenlpparser(url='http://localhost:9000'),FALSE,100
Tokenize a string of text.,>>> parser = corenlpparser(url='http://localhost:9000'),">>> text = 'good muffins cost $3.88\nin new york.  please buy me\ntwo of them.\nthanks.'
>>> list(parser.tokenize(text))
['good', 'muffins', 'cost', '$', '3.88', 'in', 'new', 'york', '.', 'please', 'buy', 'me', 'two', 'of', 'them', '.', 'thanks', '.']",FALSE,20
Tokenize a string of text.,>>> parser = corenlpparser(url='http://localhost:9000'),">>> s = ""the colour of the wall is blue.""
>>> list(
...     parser.tokenize(
...         'the colour of the wall is blue.',
...             properties={'tokenize.options': 'americanize=true'},
...     )
... )
['the', 'color', 'of', 'the', 'wall', 'is', 'blue', '.']",FALSE,23
Tokenize a string of text.,">>> text = 'good muffins cost $3.88\nin new york.  please buy me\ntwo of them.\nthanks.'
>>> list(parser.tokenize(text))
['good', 'muffins', 'cost', '$', '3.88', 'in', 'new', 'york', '.', 'please', 'buy', 'me', 'two', 'of', 'them', '.', 'thanks', '.']",>>> parser = corenlpparser(url='http://localhost:9000'),FALSE,20
Tokenize a string of text.,">>> text = 'good muffins cost $3.88\nin new york.  please buy me\ntwo of them.\nthanks.'
>>> list(parser.tokenize(text))
['good', 'muffins', 'cost', '$', '3.88', 'in', 'new', 'york', '.', 'please', 'buy', 'me', 'two', 'of', 'them', '.', 'thanks', '.']",">>> text = 'good muffins cost $3.88\nin new york.  please buy me\ntwo of them.\nthanks.'
>>> list(parser.tokenize(text))
['good', 'muffins', 'cost', '$', '3.88', 'in', 'new', 'york', '.', 'please', 'buy', 'me', 'two', 'of', 'them', '.', 'thanks', '.']",FALSE,100
Tokenize a string of text.,">>> text = 'good muffins cost $3.88\nin new york.  please buy me\ntwo of them.\nthanks.'
>>> list(parser.tokenize(text))
['good', 'muffins', 'cost', '$', '3.88', 'in', 'new', 'york', '.', 'please', 'buy', 'me', 'two', 'of', 'them', '.', 'thanks', '.']",">>> s = ""the colour of the wall is blue.""
>>> list(
...     parser.tokenize(
...         'the colour of the wall is blue.',
...             properties={'tokenize.options': 'americanize=true'},
...     )
... )
['the', 'color', 'of', 'the', 'wall', 'is', 'blue', '.']",FALSE,47
Tokenize a string of text.,">>> s = ""the colour of the wall is blue.""
>>> list(
...     parser.tokenize(
...         'the colour of the wall is blue.',
...             properties={'tokenize.options': 'americanize=true'},
...     )
... )
['the', 'color', 'of', 'the', 'wall', 'is', 'blue', '.']",>>> parser = corenlpparser(url='http://localhost:9000'),FALSE,23
Tokenize a string of text.,">>> s = ""the colour of the wall is blue.""
>>> list(
...     parser.tokenize(
...         'the colour of the wall is blue.',
...             properties={'tokenize.options': 'americanize=true'},
...     )
... )
['the', 'color', 'of', 'the', 'wall', 'is', 'blue', '.']",">>> text = 'good muffins cost $3.88\nin new york.  please buy me\ntwo of them.\nthanks.'
>>> list(parser.tokenize(text))
['good', 'muffins', 'cost', '$', '3.88', 'in', 'new', 'york', '.', 'please', 'buy', 'me', 'two', 'of', 'them', '.', 'thanks', '.']",FALSE,47
Tokenize a string of text.,">>> s = ""the colour of the wall is blue.""
>>> list(
...     parser.tokenize(
...         'the colour of the wall is blue.',
...             properties={'tokenize.options': 'americanize=true'},
...     )
... )
['the', 'color', 'of', 'the', 'wall', 'is', 'blue', '.']",">>> s = ""the colour of the wall is blue.""
>>> list(
...     parser.tokenize(
...         'the colour of the wall is blue.',
...             properties={'tokenize.options': 'americanize=true'},
...     )
... )
['the', 'color', 'of', 'the', 'wall', 'is', 'blue', '.']",FALSE,99
Return a dot representation suitable for using with Graphviz.,">>> dg = dependencygraph(
...     'john n 2\n'
...     'loves v 0\n'
...     'mary n 2'
... )
>>> print(dg.to_dot())
digraph g{
edge [dir=forward]
node [shape=plaintext]

0 [label=""0 (none)""]
0 -> 2 [label=""root""]
1 [label=""1 (john)""]
2 [label=""2 (loves)""]
2 -> 1 [label=""""]
2 -> 3 [label=""""]
3 [label=""3 (mary)""]
}",">>> dg = dependencygraph(
...     'john n 2\n'
...     'loves v 0\n'
...     'mary n 2'
... )
>>> print(dg.to_dot())
digraph g{
edge [dir=forward]
node [shape=plaintext]

0 [label=""0 (none)""]
0 -> 2 [label=""root""]
1 [label=""1 (john)""]
2 [label=""2 (loves)""]
2 -> 1 [label=""""]
2 -> 3 [label=""""]
3 [label=""3 (mary)""]
}",FALSE,97
Class for measuring labelled and unlabelled attachment score for dependency parsing. Note that the evaluation ignores punctuation.,">>> from nltk.parse import dependencygraph, dependencyevaluator",">>> from nltk.parse import dependencygraph, dependencyevaluator",FALSE,100
Class for measuring labelled and unlabelled attachment score for dependency parsing. Note that the evaluation ignores punctuation.,">>> from nltk.parse import dependencygraph, dependencyevaluator",">>> gold_sent = dependencygraph(""""""
... pierre  nnp     2       nmod
... vinken  nnp     8       sub
... ,       ,       2       p
... 61      cd      5       nmod
... years   nns     6       amod
... old     jj      2       nmod
... ,       ,       2       p
... will    md      0       root
... join    vb      8       vc
... the     dt      11      nmod
... board   nn      9       obj
... as      in      9       vmod
... a       dt      15      nmod
... nonexecutive    jj      15      nmod
... director        nn      12      pmod
... nov.    nnp     9       vmod
... 29      cd      16      nmod
... .       .       9       vmod
... """""")",FALSE,19
