Paragraph,Ground truth tasks,Program tasks,Partial Ratio
An iterator that generates parse trees for the sentence.,generate parse trees,generate iterator,71
When possible this list is sorted from most likely to least likely.,sort list,sort list,100
A BllipParser object using the parser and reranker,use parser,use parser,100
A BllipParser object using the parser and reranker,use reranker,use parser,70
A BllipParser object using the parser and reranker,use reranker,use reranker,100
An iterator that generates parse trees for the sentence,generate parse trees,generate iterator,71
An iterator that generates parse trees for the sentence,generate parse trees,generate iterator,71
"If chart or grammar are changed, then the cache is flushed.",flush cache,change chart,36
"If chart or grammar are changed, then the cache is flushed.",flush cache,change grammar,27
"If chart or grammar are changed, then the cache is flushed.",flush cache,flush cache,100
"Add a new edge to the chart, using a pointer to the previous edge.",add new edge to chart,add new edge to chart,100
"Add a new edge to the chart, using a pointer to the previous edge.",use pointer to previous edge,add new edge to chart,38
"Add a new edge to the chart, using a pointer to the previous edge.",use pointer to previous edge,use pointer to previous edge,100
Return the leaf value of the word at the given index.,return leaf value of word,return leaf value of word,100
Return the number of edges contained in this chart.,return number of edges,return number of edges,100
An iterator that generates parse trees for the sentence.,generate parse trees,generate iterator,71
When possible this list is sorted from most likely to least likely.,sort list,sort list,100
Return the chart rule used to generate the most recent edge.,generate recent edge,generate recent edge,100
An iterator that generates parse trees for the sentence.,generate parse trees,generate iterator,71
When possible this list is sorted from most likely to least likely.,sort list,sort list,100
Load a given chart into the chart parser.,loag given chart into chart parser,load given chart into chart parser,97
Change the grammar used by the parser.,change grammar,use  by parser,29
"stderr (stdout,) – Specifies where CoreNLP output is redirected. Valid values are ‘devnull’, ‘stdout’, ‘pipe’",redirect corenlp output,redirect corenlp output,100
The text might contain several sentences which will be split by CoreNLP.,split several sentences,split several sentences,100
Return the node with the given address.,return node with given address,return node with given address,100
Convert the data in a nodelist into a networkx labeled directed graph.,convert data into networkx,convert data in nodelist graph,73
Convert the data in a nodelist into a networkx labeled directed graph.,convert data in nodelist,convert data in nodelist graph,100
Return a dot representation suitable for using with Graphviz.,use with graphviz,use  with graphviz,94
grammar – The Grammar used to generate sentences.,generate sentences,generate sentences,100
start – The Nonterminal from which to start generate sentences.,generate sentences,generate sentences,100
This function generates the maltparser command use at the terminal.,generate maltparser command use at terminal,generate maltparser command use at terminal,100
A module to find pre-trained MaltParser model.,find pre-trained maltparser model,find pre-trained maltparser model,100
A module to find MaltParser .jar file and its dependencies.,find maltparser,find maltparser,100
graph (DependencyGraph) – A dependency graph to assign scores to.,assign scores,assign scores,100
An iterator that generates parse trees for the sentence.,generate iterator,generate iterator,100
When possible this list is sorted from most likely to least likely.,sort list,sort list,100
When possible this list is sorted from most likely to least likely.,sort list,sort list,100
When possible this list is sorted from most likely to least likely.,sort list,sort list,100
An iterator that generates parse trees for the sentence.,generate parse trees,generate iterator,71
When possible this list is sorted from most likely to least likely.,sort list,sort list,100
An iterator that generates parse trees for the sentence.,generate parse trees,generate iterator,71
When possible this list is sorted from most likely to least likely.,sort list,sort list,100
Set of arcs: for storing partially built dependency tree,store build dependency tree,store built dependency tree,96
A module to convert a single POS tagged sentence into CONLL format.,convert single pos,convert single pos,100
An iterator that generates parse trees for the sentence.,generate parse trees,generate iterator,71
When possible this list is sorted from most likely to least likely.,sort list,sort list,100
"A processing class for deriving trees that represent possible structures for a sequence of tokens. These tree structures are known as “parses”. Typically, parsers are used to derive syntax trees for sentences. But parsers can also be used to derive other kinds of tree structure, such as morphological trees and discourse structures.",use parser
Interface for parsing with BLLIP Parser. BllipParser objects can be constructed with the BllipParser.from_unified_model_dir class method or manually using the BllipParser constructor.,use bllipparser constructor
Interface for parsing with BLLIP Parser. BllipParser objects can be constructed with the BllipParser.from_unified_model_dir class method or manually using the BllipParser constructor.,use bllipparser objects
Create a BllipParser object from a unified parsing model directory. Unified parsing model directories are a standardized way of storing BLLIP parser and reranker models together on disk. See bllipparser.RerankingParser.get_unified_model_parameters() for more information about unified model directories.,create bllipparser object from unified parsing model directory
Create a BllipParser object from a unified parsing model directory. Unified parsing model directories are a standardized way of storing BLLIP parser and reranker models together on disk. See bllipparser.RerankingParser.get_unified_model_parameters() for more information about unified model directories.,store bllip parser on disk
Create a BllipParser object from a unified parsing model directory. Unified parsing model directories are a standardized way of storing BLLIP parser and reranker models together on disk. See bllipparser.RerankingParser.get_unified_model_parameters() for more information about unified model directories.,store reranker models on disk
"Use BLLIP to parse a sentence. Takes a sentence as a list of (word, tag) tuples; the sentence must have already been tokenized and tagged. BLLIP will attempt to use the tags provided but may use others if it can’t come up with a complete parse subject to those constraints. You may also specify a tag as None to leave a token’s tag unconstrained.",use bllip
"Use BLLIP to parse a sentence. Takes a sentence as a list of (word, tag) tuples; the sentence must have already been tokenized and tagged. BLLIP will attempt to use the tags provided but may use others if it can’t come up with a complete parse subject to those constraints. You may also specify a tag as None to leave a token’s tag unconstrained.",specify tag as none
"Data classes and parser implementations for “chart parsers”, which use dynamic programming to efficiently parse a text. A chart parser derives parse trees for a text by iteratively adding “edges” to a “chart.” Each edge represents a hypothesis about the tree structure for a subsequence of the text. The chart is a “blackboard” for composing and combining these hypotheses.",add edges to chart
"Data classes and parser implementations for “chart parsers”, which use dynamic programming to efficiently parse a text. A chart parser derives parse trees for a text by iteratively adding “edges” to a “chart.” Each edge represents a hypothesis about the tree structure for a subsequence of the text. The chart is a “blackboard” for composing and combining these hypotheses.",compose hypotheses
"Data classes and parser implementations for “chart parsers”, which use dynamic programming to efficiently parse a text. A chart parser derives parse trees for a text by iteratively adding “edges” to a “chart.” Each edge represents a hypothesis about the tree structure for a subsequence of the text. The chart is a “blackboard” for composing and combining these hypotheses.",combine hypotheses
"Data classes and parser implementations for “chart parsers”, which use dynamic programming to efficiently parse a text. A chart parser derives parse trees for a text by iteratively adding “edges” to a “chart.” Each edge represents a hypothesis about the tree structure for a subsequence of the text. The chart is a “blackboard” for composing and combining these hypotheses.",use chart parsers
"When a chart parser begins parsing a text, it creates a new (empty) chart, spanning the text. It then incrementally adds new edges to the chart. A set of “chart rules” specifies the conditions under which new edges should be added to the chart. Once the chart reaches a stage where none of the chart rules adds any new edges, parsing is complete.",create new chart
"When a chart parser begins parsing a text, it creates a new (empty) chart, spanning the text. It then incrementally adds new edges to the chart. A set of “chart rules” specifies the conditions under which new edges should be added to the chart. Once the chart reaches a stage where none of the chart rules adds any new edges, parsing is complete.",add new edges to chart
