Paragraph,Ground truth tasks,Program tasks,Partial Ratio
"A processing interface for assigning a tag to each token in a list. Tags are case sensitive strings that identify some property of each token, such as its part of speech or its sense.","assign tag",assign tag,100
"A processing interface for assigning a tag to each token in a list. Tags are case sensitive strings that identify some property of each token, such as its part of speech or its sense.",identify property such as part of speech,assign tag,30
"A processing interface for assigning a tag to each token in a list. Tags are case sensitive strings that identify some property of each token, such as its part of speech or its sense.",identify property such as part of speech,identify property such_as part,97
"Score the accuracy of the tagger against the gold standard. Strip the tags from the gold standard text, retag it using the tagger, then compute the accuracy score.","compute accuracy score",use tagger,50
"Score the accuracy of the tagger against the gold standard. Strip the tags from the gold standard text, retag it using the tagger, then compute the accuracy score.","compute accuracy score",compute accuracy score,100
"Score the accuracy of the tagger against the gold standard. Strip the tags from the gold standard text, retag it using the tagger, then compute the accuracy score.",use tagger,use tagger,100
"Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).","determine appropriate tag sequence for given token sequence",determine appropriate tag sequence for given token sequence,100
"Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).","return corresponding list of tagged tokens",determine appropriate tag sequence for given token sequence,44
"Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).","return corresponding list of tagged tokens",return corresponding list of tagged tokens,100
"Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).","encode tagged token as tuple (token",determine appropriate tag sequence for given token sequence,50
"Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).","encode tagged token as tuple (token",return corresponding list of tagged tokens,47
"Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).","encode tagged token as tuple (token",encode tagged token as tuple,100
"Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).",tag),determine appropriate tag sequence for given token sequence,75
