File,Correct extracted tasks,Total extracted tasks,Precision,Correct truth tasks,Total truth tasks,Recall
cmdline_links.csv,11,12,0.92,11,12,0.92
cmdline_tasks.csv,15,127,0.12,15,15,1
components-and-props_links.csv,6,15,0.4,6,13,0.46
components-and-props_tasks.csv,2,48,0.04,2,7,0.29
jQuery_links.csv,4,5,0.8,4,10,0.4
jQuery_tasks.csv,2,28,0.07,2,9,0.22
JSON-java_links.csv,2,8,0.25,2,11,0.18
JSON-java_tasks.csv,2,29,0.07,2,13,0.15
ner_links.csv,16,25,0.64,16,26,0.62
ner_tasks.csv,12,168,0.07,12,33,0.36
orjson_links.csv,8,13,0.62,8,33,0.24
orjson_tasks.csv,20,139,0.14,20,75,0.27
parse_links.csv,12,232,0.05,12,86,0.14
parse_tasks.csv,209,966,0.22,209,265,0.79
tag_links.csv,25,162,0.15,25,51,0.49
tag_tasks.csv,82,415,0.2,82,108,0.76
