File,Correct extracted tasks,Total extracted tasks,Precision,Correct truth tasks,Total truth tasks,Recall
cmdline_links.csv,10,12,0.8333333333333334,10,12,0.8333333333333334
cmdline_tasks.csv,6,88,0.06818181818181818,5,8,0.625
components-and-props_links.csv,5,10,0.5,5,13,0.38461538461538464
components-and-props_tasks.csv,2,34,0.058823529411764705,2,5,0.4
jQuery_links.csv,N/A,N/A,N/A,N/A,N/A,N/A
jQuery_tasks.csv,2,18,0.1111111111111111,2,6,0.3333333333333333
JSON-java_links.csv,2,8,0.25,2,11,0.18181818181818182
JSON-java_tasks.csv,7,82,0.08536585365853659,7,10,0.7
ner_links.csv,16,24,0.6666666666666666,16,26,0.6153846153846154
ner_tasks.csv,25,130,0.19230769230769232,16,18,0.8888888888888888
orjson_links.csv,7,10,0.7,7,33,0.21212121212121213
orjson_tasks.csv,5,103,0.04854368932038835,4,19,0.21052631578947367
parse_links.csv,11,30,0.36666666666666664,11,86,0.12790697674418605
parse_tasks.csv,87,743,0.11709286675639301,80,132,0.6060606060606061
tag_links.csv,27,45,0.6,27,51,0.5294117647058824
tag_tasks.csv,39,315,0.12380952380952381,32,59,0.5423728813559322
