"Paragraph","Tasks"
"Recognizes named entities (person and company names, etc.) in text. Principally, this annotator uses one or more machine learning sequence models to label entities, but it may also call specialist rule-based components, such as for labeling and interpreting times and dates. Numerical entities that require normalization, e.g., dates, have their normalized value stored in NormalizedNamedEntityTagAnnotation. For more extensive support for rule-based NER, you may also want to look at the RegexNER annotator. The set of entities recognized is language-dependent, and the recognized set of entities is frequently more limited for other languages than what is described below for English. As the name “NERClassifierCombiner” implies, commonly this annotator will run several named entity recognizers and then combine their results but it can run just a single annotator or only rule-based quantity NER.","use machine
learn sequence models to label entities
call specialist rule-based components
run several named entity recognizers
run single annotator"
"For English, by default, this annotator recognizes named (PERSON, LOCATION, ORGANIZATION, MISC), numerical (MONEY, NUMBER, ORDINAL, PERCENT), and temporal (DATE, TIME, DURATION, SET) entities (12 classes). Adding the regexner annotator and using the supplied RegexNER pattern files adds support for the fine-grained and additional entity classes EMAIL, URL, CITY, STATE_OR_PROVINCE, COUNTRY, NATIONALITY, RELIGION, (job) TITLE, IDEOLOGY, CRIMINAL_CHARGE, CAUSE_OF_DEATH, (Twitter, etc.) HANDLE (12 classes) for a total of 24 classes. Named entities are recognized using a combination of three CRF sequence taggers trained on various corpora, including CoNLL, ACE, MUC, and ERE corpora. Numerical entities are recognized using a rule-based system.","recognize temporal entities by default
recognize temporal entities for english
add regexner annotator
use RegexNER pattern files
add support for additional entity classes
use combination of CRF sequence taggers
recognize named entities
use rule-based system
recognize numerical entities"
"The main class that runs this process is edu.stanford.nlp.pipeline.NERCombinerAnnotator","run process
run main class"
"During this phase a series of trained CRF’s will be run on each sentence. These CRF’s are trained on large tagged data sets. They evaluate the entire sequence and pick the optimal tag sequence.","run series of trained CRF s
run series during phase
run series on sentence
evaluate entire sequence"
"These are the default models that are run:","run default models"
"There are two options for how the models are combined. These are selected with the ner.combinationMode property.","select  with ner.combinationMode property"
"So for example, if the ner.combinationMode is set to NORMAL, only the 3-class model’s ORGANIZATION tags will be applied. If it is set to HIGH_RECALL, the 7-class and 4-class models’ ORGANIZATION tags will also be applied.","set ner.combinationMode to NORMAL
set  to HIGH_RECALL"
"If you do not want to run any statistical models, set ner.model to the empty string.","run statistical models
set ner.model to empty string"
"Next a series of rule based systems are run to recognize and tag numeric sequences and time related sequences.","recognize time related sequences
recognize numeric sequences
tag time related sequences
tag numeric sequences
run systems"
"This phase runs by default, but can be deactivated by setting ner.applyNumericClassifiers to false.","set ner.applyNumericClassifiers to false
run  by default
deactivate phase"
"This produces tags such as NUMBER, ORDINAL, MONEY, DATE, and TIME","produce tags such_as NUMBER"
"The class that runs this phase is edu.stanford.nlp.ie.regexp.NumberSequenceClassifier","run phase
run class"
"SUTime (described in more detail below) is also used by default. You can deactivate this by setting ner.useSUTime to false.","use SUTime
deactivate  by setting
set ner.useSUTime to false"
