These are the default models that are run:,"# tags: LOCATION, ORGANIZATION, PERSON edu/stanford/nlp/models/ner/english.all.3class.distsim.crf.ser.gz # tags: DATE, LOCATION, MONEY, ORGANIZATION, PERCENT, PERSON, TIME edu/stanford/nlp/models/ner/english.muc.7class.distsim.crf.ser.gz # LOCATION, MISC, ORGANIZATION, PERSON edu/stanford/nlp/models/ner/english.conll.4class.distsim.crf.ser.gz"
"At this point, a series of rules used for the KBP 2017 competition will be run to create more fine-grained NER tags. These rules are applied using a TokensRegexNERAnnotator sub-annotator. That is the main NERCombinerAnnotator builds a TokensRegexNERAnnotator as a sub-annotator and runs it on all sentences as part of it’s entire tagging process. The purpose of these rules is give tokens more specific tags. So for instance California would be tagged as a STATE_OR_PROVINCE rather than just a LOCATION.","CAUSE_OF_DEATH, CITY, COUNTRY, CRIMINAL_CHARGE, EMAIL, HANDLE, IDEOLOGY, NATIONALITY, RELIGION, STATE_OR_PROVINCE, TITLE, URL"
"The first column is the tokens pattern, the second column is the NER tag to apply, the third is the types of NER tags that can be overwritten, and the fourth is a priority used for tie-breaking if two rules match a sequence.","Los Angeles CITY LOCATION,MISC 1.0"
"means to match the token “Los” followed by the token “Angeles”, and label them both as CITY, provided they have a current NER tag of O, LOCATION, or MISC.",Bachelor of (Arts|Science) DEGREE MISC 1.0
Here is a breakdown of how to customize the fine-grained NER. The overall ner annotator creates a sub-annotator called ner.fine.regexner which is an instance of a TokensRegexNERAnnotator.,"ignorecase=true,validpospattern=^(NN|JJ).*,edu/stanford/nlp/models/kbp/english/gazetteers/regexner_caseless.tab;edu/stanford/nlp/models/kbp/english/gazetteers/regexner_cased.tab"
Here is a breakdown of how to customize the fine-grained NER. The overall ner annotator creates a sub-annotator called ner.fine.regexner which is an instance of a TokensRegexNERAnnotator.,edu/stanford/nlp/models/kbp/english/gazetteers/regexner_caseless.tab edu/stanford/nlp/models/kbp/english/gazetteers/regexner_cased.tab
"For instance, suppose you want to match sports teams after the previous NER steps have been run.","Boston Red Sox SPORTS_TEAM ORGANIZATION,MISC 1 Denver Broncos SPORTS_TEAM ORGANIZATION,MISC 1 Detroit Red Wings SPORTS_TEAM ORGANIZATION,MISC 1 Los Angeles Lakers SPORTS_TEAM ORGANIZATION,MISC 1"
"If you want to run a series of TokensRegex rules before entity building, you can also specify a set of TokensRegex rules. A TokensRegexAnnotator sub-annotator will be called. It has the name ner.additional.tokensregex.","java -Xmx5g edu.stanford.nlp.pipeline.StanfordCoreNLP -annotators tokenize,ssplit,pos,lemma,ner -ner.additional.tokensregex.rules example.rules -file example.txt -outputFormat text"
There a variety of ways to customize an NER pipeline. Below are some example commands.,"# run default NER java -Xmx4g -cp ""*"" edu.stanford.nlp.pipeline.StanfordCoreNLP -annotators tokenize,ssplit,pos,lemma,ner -file example.txt -outputFormat text"
There a variety of ways to customize an NER pipeline. Below are some example commands.,"# only run rules based NER (numeric classifiers, SUTime, TokensRegexNER, TokensRegex) java -Xmx4g -cp ""*"" edu.stanford.nlp.pipeline.StanfordCoreNLP -annotators tokenize,ssplit,pos,lemma,ner -ner.rulesOnly -file example.txt"
There a variety of ways to customize an NER pipeline. Below are some example commands.,"# only run statistical NER java -Xmx4g -cp ""*"" edu.stanford.nlp.pipeline.StanfordCoreNLP -annotators tokenize,ssplit,pos,lemma,ner -ner.statisticalOnly -file example.txt"
There a variety of ways to customize an NER pipeline. Below are some example commands.,"# shut off numeric classifiers # note that in this case ner no longer requires pos or lemma java -Xmx4g -cp ""*"" edu.stanford.nlp.pipeline.StanfordCoreNLP -annotators tokenize,ssplit,ner -ner.applyNumericClassifiers false -file example.txt -outputFormat text"
