"A processing class for deriving trees that represent possible
structures for a sequence of tokens.  These tree structures are
known as “parses”.  Typically, parsers are used to derive syntax
trees for sentences.  But parsers can also be used to derive other
kinds of tree structure, such as morphological trees and discourse
structures.","use parsers
use parsers"
"The grammar used by this parser.","use  by parser"
"An iterator that generates parse trees for the sentence.","generate iterator"
"When possible this list is sorted from most likely to least likely.","sort list"
"Interface for parsing with BLLIP Parser. BllipParser objects can be
constructed with the BllipParser.from_unified_model_dir class
method or manually using the BllipParser constructor.","use BllipParser constructor
use BllipParser objects"
"Create a BllipParser object from a unified parsing model
directory. Unified parsing model directories are a standardized
way of storing BLLIP parser and reranker models together on disk.
See bllipparser.RerankingParser.get_unified_model_parameters()
for more information about unified model directories.","create BllipParser object from unified parsing model directory
store BLLIP parser on disk
store reranker models on disk"
"A BllipParser object using the parser and reranker","use parser
use reranker"
"An iterator that generates parse trees for the sentence","generate iterator"
"Use BLLIP to parse a sentence. Takes a sentence as a list of
(word, tag) tuples; the sentence must have already been tokenized
and tagged. BLLIP will attempt to use the tags provided but may
use others if it can’t come up with a complete parse subject
to those constraints. You may also specify a tag as None
to leave a token’s tag unconstrained.","use BLLIP
use others
specify tag as none"
"An iterator that generates parse trees for the sentence","generate iterator"
"Data classes and parser implementations for “chart parsers”, which
use dynamic programming to efficiently parse a text.  A chart
parser derives parse trees for a text by iteratively adding “edges”
to a “chart.”  Each edge represents a hypothesis about the tree
structure for a subsequence of the text.  The chart is a
“blackboard” for composing and combining these hypotheses.","use dynamic programming
use chart parsers
add edges to chart
compose hypotheses
combine hypotheses"
"When a chart parser begins parsing a text, it creates a new (empty)
chart, spanning the text.  It then incrementally adds new edges to the
chart.  A set of “chart rules” specifies the conditions under which
new edges should be added to the chart.  Once the chart reaches a
stage where none of the chart rules adds any new edges, parsing is
complete.","create new chart
add new edges to chart
specify conditions
add new edges to chart
add conditions to chart
reach stage
add new edges
add stage"
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:","encode charts with chart class
encode edges with TreeEdge LeafEdge classes
define chart parsers"
"ChartParser is a simple and flexible chart parser.  Given a
set of chart rules, it will apply those rules to the chart until
no more edges are added.","apply rules to chart
add more edges"
"SteppingChartParser is a subclass of ChartParser that can
be used to step through the parsing process.","use subclass of ChartParser"
"A default implementation for __str__, which returns a
name based on the rule’s class name.","return name
return __str__"
"Return a generator that will add edges licensed by this rule
and the given edges to the chart, one at a time.  Each
time the generator is resumed, it will either add a new
edge and yield that edge; or return.","add edges at time
add edges to chart
add new edge"
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.","pass edges to apply()
specify number of edges"
"Return a generator that will add all edges licensed by
this rule, given the edges that are currently in the
chart, one at a time.  Each time the generator is resumed,
it will either add a new edge and yield that edge; or return.","return generator
add edges
add generator
add new edge"
"A ChartParser using a bottom-up parsing strategy.
See ChartParser for more information.","use bottom-up parsing strategy"
"A ChartParser using a bottom-up left-corner parsing strategy.
This strategy is often more efficient than standard bottom-up.
See ChartParser for more information.","use bottom-up left-corner parsing strategy"
"A rule licensing any edge corresponding to a production whose
right-hand side begins with a complete edge’s left-hand side.  In
particular, this rule specifies that [A -> alpha \*]
licenses the edge [B -> A \* beta] for each grammar
production B -> A beta.","specify [ a"
"This is like BottomUpPredictRule, but it also applies
the FundamentalRule to the resulting edge.","apply FundamentalRule to resulting edge"
"Return a generator that will add edges licensed by this rule
and the given edges to the chart, one at a time.  Each
time the generator is resumed, it will either add a new
edge and yield that edge; or return.","add edges at time
add edges to chart
add new edge"
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.","pass edges to apply()
specify number of edges"
"Return a generator that will add edges licensed by this rule
and the given edges to the chart, one at a time.  Each
time the generator is resumed, it will either add a new
edge and yield that edge; or return.","add edges at time
add edges to chart
add new edge"
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.","pass edges to apply()
specify number of edges"
"A cached version of TopDownPredictRule.  After the first time
this rule is applied to an edge with a given end and next,
it will not generate any more edges for edges with that end and
next.","apply rule after first time
apply rule to edge"
"If chart or grammar are changed, then the cache is flushed.","change chart
change grammar
flush cache"
"Return a generator that will add edges licensed by this rule
and the given edges to the chart, one at a time.  Each
time the generator is resumed, it will either add a new
edge and yield that edge; or return.","add edges at time
add edges to chart
add new edge"
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.","pass edges to apply()
specify number of edges"
"A blackboard for hypotheses about the syntactic constituents of a
sentence.  A chart contains a set of edges, and each edge encodes
a single hypothesis about the structure of some portion of the
sentence.","encode single hypothesis about structure"
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.","select specific collection of edges
use select method
complete edges
create index for set"
"Return the set of child pointer lists for the given edge.
Each child pointer list is a list of edges that have
been used to form this edge.","list  for given edge
use edges"
"Return a list of all edges in this chart.  New edges
that are added to the chart after the call to edges()
will not be contained in this list.","add new edges to chart
add new edges to edges()
add new edges after call"
"Add a new edge to the chart, and return True if this operation
modified the chart.  In particular, return true iff the chart
did not already contain edge, or if it did not already associate
child_pointer_lists with edge.","add new edge to chart
return True
modify chart"
"child_pointer_lists (sequence of tuple(EdgeI)) – A sequence of lists of the edges that
were used to form this edge.  This list is used to reconstruct
the trees (or partial trees) that are associated with edge.","use sequence of lists
use list"
"Add a new edge to the chart, using a pointer to the previous edge.","add new edge to chart
use pointer to previous edge"
"Return an iterator over the edges in this chart.  It is
not guaranteed that new edges which are added to the
chart before the iterator is exhausted will also be generated.","add new edges to chart
generate new edges"
"Return the leaf value of the word at the given index.","return leaf value of word"
"Return the number of edges contained in this chart.","return number of edges"
"Return a pretty-printed string representation of a given edge
in this chart.","return pretty-printed string representation of given edge"
"Return a pretty-printed string representation of this
chart’s leaves.  This string can be used as a header
for calls to pretty_format_edge.","use string as header
use string to pretty_format_edge"
"Return an iterator over the edges in this chart.  Any
new edges that are added to the chart before the iterator
is exahusted will also be generated.  restrictions
can be used to restrict the set of edges that will be
generated.","add new edges to chart
generate new edges
use restrictions
generate edges"
"Return an iterator of the tree structures that are associated
with edge.","return iterator of tree structures"
"If edge is incomplete, then the unexpanded children will be
encoded as childless subtrees, whose node value is the
corresponding terminal or nonterminal.","encode unexpanded children as childless subtrees"
"If two trees share a common subtree, then the same
Tree may be used to encode that subtree in
both trees.  If you need to eliminate this subtree
sharing, then create a deep copy of each tree.","share common subtree
encode subtree in trees
use same Tree
create deep copy of tree"
"A generic chart parser.  A “strategy”, or list of
ChartRuleI instances, is used to decide what edges to add to
the chart.  In particular, ChartParser uses the following
algorithm to parse texts:","add  to chart
use strategy of ChartRuleI instances
use list of ChartRuleI instances
use following algorithm"
"Return the final parse Chart from which all possible
parse trees can be extracted.","return final parse chart"
"The grammar used by this parser.","use  by parser"
"An iterator that generates parse trees for the sentence.","generate iterator"
"When possible this list is sorted from most likely to least likely.","sort list"
"A rule that specifies what new edges are licensed by any given set
of existing edges.  Each chart rule expects a fixed number of
edges, as indicated by the class variable NUM_EDGES.  In
particular:","specify rule of existing edges"
"A chart rule with NUM_EDGES=0 specifies what new edges are
licensed, regardless of existing edges.","specify  regardless_of existing edges"
"Return a generator that will add edges licensed by this rule
and the given edges to the chart, one at a time.  Each
time the generator is resumed, it will either add a new
edge and yield that edge; or return.","add edges at time
add edges to chart
add new edge"
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.","pass edges to apply()
specify number of edges"
"Return a generator that will add all edges licensed by
this rule, given the edges that are currently in the
chart, one at a time.  Each time the generator is resumed,
it will either add a new edge and yield that edge; or return.","return generator
add edges
add generator
add new edge"
"A left-hand side, specifying what kind of structure is
hypothesized.","specify kind of structure"
"A right-hand side, specifying the contents of the
hypothesized structure.","specify contents of hypothesized structure"
"An edge is incomplete if its structure is partially
consistent with the sentence.  For every incomplete edge, the
span specifies a possible prefix for the edge’s structure.","specify possible prefix for incomplete edge
specify possible prefix for structure"
"A TreeEdge records which trees have been found to
be (partially) consistent with the text.","find trees"
"The EdgeI interface provides a common interface to both types
of edge, allowing chart parsers to treat them in a uniform manner.","provide common interface to types"
"Return this edge’s dot position, which indicates how much of
the hypothesized structure is consistent with the
sentence.  In particular, self.rhs[:dot] is consistent
with tokens[self.start():self.end()].","return dot position"
"Return this edge’s left-hand side, which specifies what kind
of structure is hypothesized by this edge.","return left-hand side
specify kind of structure
specify left-hand side of structure"
"Return the element of this edge’s right-hand side that
immediately follows its dot.","return element of right-hand side"
"Return this edge’s right-hand side, which specifies
the content of the structure hypothesized by this edge.","return right-hand side
specify content of structure
specify right-hand side of structure"
"Return a tuple (s, e), where tokens[s:e] is the
portion of the sentence that is consistent with this
edge’s structure.","return tuple"
"Return a generator that will add edges licensed by this rule
and the given edges to the chart, one at a time.  Each
time the generator is resumed, it will either add a new
edge and yield that edge; or return.","add edges at time
add edges to chart
add new edge"
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.","pass edges to apply()
specify number of edges"
"Return a generator that will add edges licensed by this rule
and the given edges to the chart, one at a time.  Each
time the generator is resumed, it will either add a new
edge and yield that edge; or return.","add edges at time
add edges to chart
add new edge"
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.","pass edges to apply()
specify number of edges"
"Return a generator that will add edges licensed by this rule
and the given edges to the chart, one at a time.  Each
time the generator is resumed, it will either add a new
edge and yield that edge; or return.","add edges at time
add edges to chart
add new edge"
"edges (list(EdgeI)) – A set of existing edges.  The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.","pass edges to apply()
specify number of edges"
"A leaf, specifying the word’s content.","specify word"
