Paragraph,Tasks
"""Interface for tagging each token in a sentence with supplementary information, such as its part of speech.""",Tag each token in a sentence 
Bases: nltk.tag.api.TaggerI,
A tagger that requires tokens to be featuresets. A featureset is a dictionary that maps from feature names to feature values. See nltk.classify for more information about features and featuresets.,
Bases: object,
"""A processing interface for assigning a tag to each token in a list. Tags are case sensitive strings that identify some property of each token, such as its part of speech or its sense.""",Assign a tag for each token in a list
"""Some taggers require specific types for their tokens. This is generally indicated by the use of a sub-interface to TaggerI. For example, featureset taggers, which are subclassed from FeaturesetTagger, require that each token be a featureset.""",
either tag() or tag_sents() (or both),
"""Score the accuracy of the tagger against the gold standard. Strip the tags from the gold standard text, retag it using the tagger, then compute the accuracy score.""",Score the accuracy of the tagger against the gold standard
"""gold (list(list(tuple(str, str)))) – The list of tagged sentences to score the tagger on.""",
float,
"""Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).""",Determine most appropriate tagging sequence for token sequence
"""list(tuple(str, str))""",
Apply self.tag() to each element of sentences. I.e.:,Apply tag to each element of sentences
return [self.tag(sent) for sent in sentences],
Bases: nltk.tag.api.TaggerI,
Brill’s transformational rule-based tagger. Brill taggers use an initial tagger (such as tag.DefaultTagger) to assign an initial tag sequence to a text; and then apply an ordered list of transformational rules to correct the tags of individual tokens. These transformation rules are specified by the TagRule interface.,
"""Brill taggers can be created directly, from an initial tagger and a list of transformational rules; but more often, Brill taggers are created by learning rules from a training corpus, using one of the TaggerTrainers available.""",How to use Brill Tagger
Tags by applying each rule to the entire corpus (rather than all rules to a single sequence). The point is to collect statistics on the test set for individual rules.,
"""NOTE: This is inefficient (does not build any index, so will traverse the entire corpus N times for N rules) – usually you would not care about statistics for individual rules and thus use batch_tag() instead""",
"""sequences (list of list of strings) – lists of token sequences (sentences, in some applications) to be tagged""",Get list of token sequences
gold (list of list of strings) – the gold standard,get gold standard
"""tuple of (tagged_sequences, ordered list of rule scores (one for each rule))""",
"""Print a list of all templates, ranked according to efficiency.""",Print templates ranked by efficiency
"""If test_stats is available, the templates are ranked according to their relative contribution (summed for all rules created from a given template, weighted by score) to the performance on the test set. If no test_stats, then statistics collected during training are used instead. There is also an unweighted measure (just counting the rules). This is less informative, though, as many low-score rules will appear towards end of training.""",Rank templates
test_stats (dict of str -> any (but usually numbers)) – dictionary of statistics collected during testing,
"""printunused (bool) – if True, print a list of all unused templates""",Print unused templates
None,
None,
Return the ordered list of transformation rules that this tagger has learnt,Return ordered list of transformation rules
the ordered list of transformation rules that correct the initial tagging,
list of Rules,
"""Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).""",Determine most appropriate tag sequence
"""list(tuple(str, str))""",
"""Return a named statistic collected during training, or a dictionary of all available statistics if no name given""",Return a named statistic
statistic (str) – name of statistic,
some statistic collected during training of this tagger,
any (but usually a number),
Bases: nltk.tbl.feature.Feature,
Feature which examines the tags of nearby tokens.,
@return: The given token’s tag.,
Bases: nltk.tbl.feature.Feature,
Feature which examines the text (word) of nearby tokens.,
@return: The given token’s text.,
"""Return 24 templates of the seminal TBL paper, Brill (1995)""",Return the 24 templates from TBL paper
"""Print the available template sets in this demo, with a short description”""",Print available template sets
Return 37 templates taken from the postagging task of the fntbl distribution http://www.cs.jhu.edu/~rflorian/fntbl/ (37 is after excluding a handful which do not condition on Pos[0]; fntbl can do that but the current nltk implementation cannot.),Return the 37 templates from postagging of fntbl distribution
"""Return 18 templates, from the original nltk demo, in multi-feature syntax""",Return 18 templates from nltk demo
"""Return 18 templates, from the original nltk demo, and additionally a few multi-feature ones (the motivation is easy comparison with nltkdemo18)""",Return 18 templates from nltk demo
Bases: object,
A trainer for tbl taggers.,
"""Trains the Brill tagger on the corpus train_sents, producing at most max_rules transformations, each of which reduces the net number of errors in the corpus by at least min_score, and each of which has accuracy not lower than min_acc.""",Train Brill tagger
