requests.request, 48513576,27415934,28656068,25813019,32258413,13809650,48125006,30144381,48873368,36365621,51349340,39738525,37945057,49996188,62599036,24535920,71875262,51600489,73394472,34038673,64560665,8394267,24482023,29041657,18179345,23289602,72476514,37889171,60284901,62973647,21040352,27876738,20658572,23120974,22492484,15431044,46760228,76646420,38014426,38562888,53946885,19863139,59470305,33847243,56912082,57387427,29478225,50043785,71698390,29828734,45980396,29105989,9031275,15009332,30575112,29773528,39319070,21736970,39756807,37993624,42100488,21371809,48901352,62416567,67209872,49947016,50429243,51034490,68294548,68517882,65642966,63678610,59842518,65781588,56856593,64905098,63318763,67323312,52299667,66167915,54543136,66537823,54257123,35326206,71480308,43164804,40871855,39927760,21505716,22109730,20916338,12633290,31164702,74612450,75330993,26033103,28787086,44531962,46060199,46624710,48030675,69343342,45143935,34025964,20485772,52570933,43252542,60358216,54157946,36271697,63235326,68783157,68186451,75705842,75402627,64587906,68209917,64080606,76983944,77340644,62309581
requests.head, 27763431,56888613,13197854,28223414,21040352,21032337,71300839,55126926,56943114,60327249,73773783,46016004,62496190
requests.get, 35042216,70189517,23878004,58147689,48513576,32276469,49721695,27763431,14114729,23496750,47776311,30830901,40394209,45285227,54131794,44203397,34767484,45266200,34400120,56733397,67649948,43809723,44665767,13809650,48196172,63122672,38690586,24298095,31804799,30327627,47461641,52958973,30766419,48873368,47101653,52722362,43123336,40430799,25491872,44996807,41092222,66370290,38265888,37012486,59633284,45479393,17375624,36070821,10123929,32986228,48630109,40407946,31290445,47113376,58021412,39619676,43948639,71914299,42614870,65437506,45948028,65837008,50067315,74253820,56888613,46887162,68775783,52429410,54876452,29007100,76923540,24918267,24584956,17777845,16923898,45448994,65492863,56153142,41156339,52697135,41107837,47706382,40170935,59421237,65213665,44452143,59379734,41533444,56719749,33994095,22577182,49234416,54322329,54246954,35380977,75617816,54698153,45995955,36406318,46095622,64898213,49099313,42979289,20802108,51632003,18188966,48677978,51897756,18950119,19530793,21275072,21040352,47375153,48904495,46783078,22492484,22027418,44012811,21965484,6260457,44122802,76187515,38857883,41625316,69323728,62799145,40327263,70572704,71616036,71215761,38562888,60773653,63531321,71231615,44344077,61279249,41740361,18857938,70607987,71255965,61204954,44307957,66673389,70927568,40228587,66898119,53773904,23391850,68974641,47586741,34839584,58269903,28597849,28928437,62038350,47378635,10134690,65575601,55938825,56324178,26759577,12537805,48043907,28143395,33566152,33189971,57387427,33314169,36822031,46882276,36260647,30252991,49199780,30042429,50111041,29996001,9031275,49739827,49869769,30575112,16903528,23651947,54156628,8802945,41946166,21371809,48391750,42809451,62503861,61476845,48901352,67803290,62035806,68665350,47941954,68300673,68524478,62535109,68140641,61991164,49947016,49776261,62591405,50902196,51085665,48796344,67986466,50897837,62353165,49341670,68294548,50849848,59089616,59296347,56086103,56307617,59447950,63772510,65265321,66151625,55408047,63678610,66092108,55795582,55518940,57736150,56943114,58798729,58791812,58403850,58532112,63911671,58253867,64395171,64539699,57571131,64656549,56399462,56521995,64024983,56925175,57128900,58325338,57283600,52582830,60074256,62827603,63064651,67392152,60092257,54257123,55030074,54721534,54369616,52951841,53014509,63451681,66710047,66375123,66465601,60342192,72417022,36854623,73027963,73239027,36332173,37902363,72746237,38313875,38402714,73773783,34479656,34127566,73520529,34595218,73260078,71330270,70234302,41741290,42720830,72112850,38979817,38558171,40350364,40909788,71874144,24707625,25043051,25097093,23720379,23722486,14779798,76994728,16206062,16502544,11903231,13749073,18086291,19234592,17226822,17812173,30904815,30926752,30203724,32113298,74459073,31535604,31264796,25936216,75929920,74564792,75078073,30033516,75545111,75349496,44423094,47437400,44531962,45783655,68985077,70085590,46429088,70416378,48030675,46365053,46679261,47486952,45703006,47748567,47824080,31448854,30405867,51188661,47397919,34025964,9029287,35466918,47730671,47506092,51831726,52488117,35650520,17782142,17158529,54289735,23946895,60716016,49488119,23231869,25943923,30687683,32310951,71972703,45576930,51154114,25091976,51925384,38215148,55924761,62985961,69549542,63822279,63819773,68186451,64049806,69575785,74964777,64238727,64173263,74511685,74921417,64796432,64677809,74275924,74762709,74982780,75252708,69161174,68401321,75128796,64508630,74549610,64296935,64302529,69132955,64334424,62835719,62524329,77071185,69035819,62533154,77262501,76983592,76985241,76962976,76362600,68769235,76474692,76762628,62496190,69075122,62093509,77293329,62484743,62712579,62309581,68374804,62530786
requests.post, 31168819,38270151,47188244,16390243,47776311,58996572,54131794,54087303,41968502,33404833,40420578,19004847,48723711,30327627,43096253,12301630,31215421,35775615,36365621,44996807,24535920,54619868,52908088,48071949,51600489,45948028,34396060,49591740,41169993,63310567,24482023,23737719,63098307,23384230,46736070,59421237,56565081,44452143,33885094,70098351,25345513,37889171,24834894,25893517,35569447,50788971,20802108,35704392,28377421,26149181,34366405,67375006,46166950,71616036,51508087,50261869,70198240,52796113,46517269,75939470,23018521,19863139,52032661,63430614,47629594,28928437,47745133,34644111,32737728,47910547,27458204,54905720,57452400,55736855,25614089,25584908,15009332,21371809,13909900,33369306,67943197,62353797,61468212,50300028,61806732,68740486,50225264,48796344,48803223,68030828,59167978,59250711,56210909,55291707,63678610,59842518,64344771,63847858,63974944,63992667,59122969,64857388,52460064,52340535,52505260,53286484,53318354,53020839,60945075,51910391,51544389,61136888,66537823,53595681,66878173,66469231,66464530,36779870,73007279,35606540,72933954,37372887,37621545,33955036,33726271,35785396,42121169,42281387,70618437,43079563,39782699,39927760,39060249,21091802,20217348,76807630,25383800,24538843,12633290,18086291,17600827,31122080,29839499,32611703,27586892,27701029,25936216,25760488,75590746,30033516,75545111,44439586,45423503,48105203,70176892,46365053,47324118,45669595,45669881,48193316,45143935,69075751,46528522,45913688,51699817,18810777,59035409,48432029,17158529,37931716,57458203,43252542,67066619,24443280,21690718,43479408,22915295,33717690,24555949,43448042,62886283,75705842,69430036,64066387,63728316,64605461,68144772,64472428,64584092,74372129,69861285,75352647,75317498,69723693,64252251,68401321,64120678,75059019,75058684,64080985,64313857,77071185,68744900,62991929,62154900,62417667,77396569,77340644,62207256
requests.put, 47781633,11832639,61866140,58317668,53946885,23109493,65438638,11580874,55724157,56512136,31542318,55924761,75059019
requests.patch, 33632231,37993624,57599574,64056287,52710898
requests.delete, 66224900,32264559,24401407,69598150,66179806,24538843
requests.Session.close, 49253246,55354427
requests.Session.delete, 
requests.Session.get, 47461641,59633284,65492863,65575601
requests.Session.get_adapter, 
requests.Session.get_redirect_target, 
requests.Session.head, 
requests.Session.merge_environment_settings, 
requests.Session.mount, 
requests.Session.options, 
requests.Session.patch, 57599574
requests.Session.post, 
requests.Session.prepare_request, 
requests.Session.put, 
requests.Session.rebuild_auth, 
requests.Session.rebuild_method, 
requests.Session.rebuild_proxies, 
requests.Session.request, 52299667,41314953
requests.Session.resolve_redirects, 
requests.Session.send, 22109730
requests.Session.should_strip_auth, 
requests.Request.deregister_hook, 
requests.Request.prepare, 
requests.Request.register_hook, 
requests.Response.close, 
requests.Response.iter_content, 68039452
requests.Response.iter_lines, 
requests.Response.json, 68524478
requests.Response.raise_for_status, 
requests.PreparedRequest.deregister_hook, 
requests.PreparedRequest.prepare, 
requests.PreparedRequest.prepare_auth, 
requests.PreparedRequest.prepare_body, 
requests.PreparedRequest.prepare_content_length, 
requests.PreparedRequest.prepare_cookies, 
requests.PreparedRequest.prepare_headers, 
requests.PreparedRequest.prepare_hooks, 
requests.PreparedRequest.prepare_method, 
requests.PreparedRequest.prepare_url, 
requests.PreparedRequest.register_hook, 
requests.adapters.BaseAdapter.close, 
requests.adapters.BaseAdapter.send, 
requests.adapters.HTTPAdapter.add_headers, 
requests.adapters.HTTPAdapter.build_response, 
requests.adapters.HTTPAdapter.cert_verify, 
requests.adapters.HTTPAdapter.close, 
requests.adapters.HTTPAdapter.get_connection, 
requests.adapters.HTTPAdapter.init_poolmanager, 
requests.adapters.HTTPAdapter.proxy_headers, 
requests.adapters.HTTPAdapter.proxy_manager_for, 
requests.adapters.HTTPAdapter.request_url, 
requests.adapters.HTTPAdapter.send, 
requests.utils.get_encodings_from_content, 
requests.utils.get_encoding_from_headers, 
requests.utils.get_unicode_from_response, 
requests.utils.dict_from_cookiejar, 13971649
requests.utils.add_dict_to_cookiejar, 40692514
requests.cookies.cookiejar_from_dict, 
requests.cookies.RequestsCookieJar.add_cookie_header, 
requests.cookies.RequestsCookieJar.clear, 
requests.cookies.RequestsCookieJar.clear_expired_cookies, 
requests.cookies.RequestsCookieJar.clear_session_cookies, 
requests.cookies.RequestsCookieJar.copy, 
requests.cookies.RequestsCookieJar.extract_cookies, 
requests.cookies.RequestsCookieJar.get, 68140641,42720830,25091976,74964777
requests.cookies.RequestsCookieJar.get_dict, 
requests.cookies.RequestsCookieJar.get_policy, 
requests.cookies.RequestsCookieJar.items, 
requests.cookies.RequestsCookieJar.iteritems, 
requests.cookies.RequestsCookieJar.iterkeys, 
requests.cookies.RequestsCookieJar.itervalues, 
requests.cookies.RequestsCookieJar.keys, 
requests.cookies.RequestsCookieJar.list_domains, 
requests.cookies.RequestsCookieJar.list_paths, 
requests.cookies.RequestsCookieJar.make_cookies, 
requests.cookies.RequestsCookieJar.multiple_domains, 
requests.cookies.RequestsCookieJar.set, 75514573
requests.cookies.RequestsCookieJar.set_cookie, 
requests.cookies.RequestsCookieJar.set_cookie_if_ok, 
requests.cookies.RequestsCookieJar.update, 
requests.cookies.RequestsCookieJar.values, 
requests.cookies.CookieConflictError.with_traceback, 
requests.RequestException, 49099313
requests.ConnectionError, 67474679,40990472,74253820,21407147,64658898,21275072,18478013,14236426,68899331,66137200,53660287,34595218,24619150,13699159,32250340,28627162,47612189,63648752,64236686,77590979
requests.HTTPError, 19342111,56419307,66908549,66370259,16206062,69782728
requests.URLRequired, 
requests.TooManyRedirects, 43421026,23651947
requests.ConnectTimeout, 68294548
requests.ReadTimeout, 66673389
requests.Timeout, 61974206,21965484
requests.JSONDecodeError, 50143937,52488117
requests.Session, 37763510,49253246,23935201,13971649,47461641,27586779,18678066,36561372,59633284,32986228,40407946,45948028,34747080,46887162,42601812,65492863,48732506,60712771,47665944,36223814,29200357,21778885,32639014,71215761,38562888,60773653,28597849,65575601,48325908,55354427,36602672,25225700,50939418,65365783,58961480,55126926,58782170,57599574,58520305,64395171,58596790,52563238,51601129,52299667,66470932,73239027,35121625,70878647,42891754,71739684,39477838,41049507,22109730,20701331,29894135,28722619,47074993,51351443,41314953,69533312,75087550,64060914,76983944,76962976,76781760,69013831,62655907
requests.Request, 20252547,9389414,19609703,46166950,65329272,64703915,60477045,42726391,74612450,49787022
requests.Response, 47193745,42365096,37012486,19568950,43616566,61345601,42014301,54446296,52370401,63512275,67281120,56442782,9554947,68524478,68039452,57312396,54823236,70925585,71461952,17188348,40483149,56683240,41314953,64773690,62353642
requests.PreparedRequest, 72690927,29894135
requests.adapters.BaseAdapter, 
requests.adapters.HTTPAdapter, 45948028,34837026,41108551
requests.auth.AuthBase, 17427507,68374804
requests.auth.HTTPBasicAuth, 
requests.auth.HTTPProxyAuth, 
requests.auth.HTTPDigestAuth, 
requests.cookies.RequestsCookieJar, 20119258,75514573,25429754
requests.cookies.CookieConflictError, 
