,id,,result,HAS_API,DISCUSSES_API,,,LSA_summary
22,35414625,https://stackoverflow.com/questions/35414625,TRUE,TRUE,TRUE,,,"I would like to run a pivot on a pandas DataFrame, with the index being two columns, not one. I want the index to be year + month."
32,13261175,https://stackoverflow.com/questions/13261175,TRUE,TRUE,TRUE,,,
35,17978009,https://stackoverflow.com/questions/17978009,TRUE,TRUE,TRUE,,,
39,21646710,https://stackoverflow.com/questions/21646710,TRUE,TRUE,TRUE,,,
0,11869910,https://stackoverflow.com/questions/11869910,FALSE,FALSE,FALSE,,,"pandas: filter rows of DataFrame with operator chaining Most operations in pandas can be accomplished with operator chaining (groupby, aggregate, apply, etc), but the only way I've found to filter rows is via normal bracket indexing This is unappealing as it requires I assign df to a variable before being able to filter on its values. Is there something more like the following?"
1,12860421,https://stackoverflow.com/questions/12860421,FALSE,FALSE,FALSE,,,How to aggregate unique count with pandas pivot_table This code: returns the following error: How do I get a Pivot Table with counts of unique values of one DataFrame column for two other columns? Should I be using np.bincount()?
2,16860172,https://stackoverflow.com/questions/16860172,FALSE,FALSE,FALSE,,,python pandas: pivot_table silently drops indices with nans Is there an option not to drop the indices with NaN in them? I think silently dropping these rows from the pivot will at some point cause someone serious pain.
3,18889588,https://stackoverflow.com/questions/18889588,FALSE,FALSE,FALSE,,,"Create dummies from column with multiple values in pandas I am looking for for a pythonic way to handle the following problem. For example, if the column has values in ['A', 'B'], get_dummies() creates 2 dummy variables and assigns 0 or 1 accordingly."
4,25695986,https://stackoverflow.com/questions/25695986,FALSE,FALSE,FALSE,,,"We can get the correct value with np.std(): But obviously, this is not a solution when I have more than one restaurant. There is a related discussion here, but their suggestions do not work either."
5,31498390,https://stackoverflow.com/questions/31498390,FALSE,FALSE,FALSE,,,how to get pandas get_dummies to emit N-1 variables to avoid collinearity? pandas.get_dummies emits a dummy variable per categorical value.
6,32552027,https://stackoverflow.com/questions/32552027,FALSE,FALSE,FALSE,,,"With `pandas.cut()`, how do I get integer bins and avoid getting a negative lowest bound? I am trying to use the precision and include_lowest parameters of pandas.cut(), but I can't get the intervals consist of integers rather than floats with one decimal."
7,33149428,https://stackoverflow.com/questions/33149428,FALSE,FALSE,FALSE,,,Modify the legend of pandas bar plot I am always bothered when I make a bar plot with pandas and I want to change the names of the labels in the legend. Consider for instance the output of this code:
8,33290374,https://stackoverflow.com/questions/33290374,FALSE,FALSE,FALSE,,,pandas pivot_table column names For a dataframe like this: to which I apply pivot_table to get df2: is there an easy way to format resulting dataframe column names like If I do: I get: How to get rid of the extra level? thanks!
9,37265312,https://stackoverflow.com/questions/37265312,FALSE,FALSE,FALSE,,,"How to create dummies for certain columns with pandas.get_dummies() I just want Column A and D to get dummies not for Column B. If I used pd.get_dummies(df), all columns turned into dummies."
