,id,Unnamed: 1,result,HAS_API,DISCUSSES_API,discusses_api_result,lexrank_summary
0,36925354,https://stackoverflow.com/questions/36925354,True,False,False,False,how to concat two data frames with different column names in pandas? I'm trying to merge the two data frames using the keys from the df1.
1,32967201,https://stackoverflow.com/questions/32967201,True,False,False,False,"This is my dataframe: Now when I groupby, I want to update sets. But the output of my command is: What should I do in groupby to update sets?"
2,45748016,https://stackoverflow.com/questions/45748016,True,False,False,False,"I have a datetime index DataFrame of pandas like this: I want to split it and concat with axis=0, the result like this So, I have to do it like this: First, select df[['C','A','A_1']], df[['C','B', 'B_1']]. Because I have thousands of columns to concat with to get the final result."
3,38256104,https://stackoverflow.com/questions/38256104,True,True,True,False,Difference(s) between merge() and concat() in pandas. What's the essential difference(s) between pd.DataFrame.merge() and pd.concat()?
4,32801806,https://stackoverflow.com/questions/32801806,True,True,True,True,"I am trying to column-bind dataframes (like R's cbind() does) and having issue with pandas concat, as ignore_index=True doesn't seem to work: and the result is Even if I reset index using and then try it still produces the same result! The expected result is a 6x4 dataframe where the contents of columns A,B,D, A1,C,D2 are horizontally concatenated."
5,33088010,https://stackoverflow.com/questions/33088010,True,True,False,False,"Pandas column bind (cbind) two data frames. I've got a dataframe df_a with id information: and another dataframe df_b, with the same number of rows that I know correspond to the rows in df_a: What I want to do is simply concatenate the two horizontally (similar to cbind in R) and get: What I have tried: which gives me an outer join."
6,40339886,https://stackoverflow.com/questions/40339886,True,True,True,True,pandas concat generates nan values. I am curious why a simple concatenation of two dataframes in pandas: of the same shape and both without NaN values can result in a lot of NaN values if joined.
7,33001585,https://stackoverflow.com/questions/33001585,True,True,False,False,"pandas DataFrame concat / update (""upsert"")?. I am looking for an elegant way to append all the rows from one DataFrame to another DataFrame (both DataFrames having the same index and column structure), but in cases where the same index value appears in both DataFrames, use the row from the second data frame."
8,29806936,https://stackoverflow.com/questions/29806936,True,True,True,False,"I have about 30 GB of data (in a list of about 900 dataframes) that I am attempting to concatenate together. The data I am working with is financial data about 1000 columns wide and about 50,000 rows deep for each of my 900 dataframes."
9,39046931,https://stackoverflow.com/questions/39046931,True,True,True,True,Column order in pandas.concat. I do as below: The data column order is in alphabet order.
10,11637384,https://stackoverflow.com/questions/11637384,True,True,False,True,"Pandas join/merge/concat two dataframes. I had thought the right answer was pandas.concat([x,y]), but this does not do what I intend either."
11,71258548,https://stackoverflow.com/questions/71258548,True,True,True,False,"In pandas 1.4.0: append() was deprecated, and the docs say to use concat() instead. FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version."
12,59132467,https://stackoverflow.com/questions/59132467,True,True,True,False,Concat 2 columns in pandas - AttributeError: 'DataFrame' object has no attribute 'concat'. I am trying to concatenate along 2 columns in pandas.
