,Unnamed: 0,id,Unnamed: 2,heuristic result,HAS_API,DISCUSSES_API,Unnamed: 6,Unnamed: 7,LSA_summary,discusses_api_result,lexrank_summary
0,15,50607740,https://stackoverflow.com/questions/50607740,True,True,False,,,"Reverse a get_dummies encoding in pandas Column names are: ID,1,2,3,4,5,6,7,8,9. The col values are either 0 or 1 My dataframe looks like this: I want the column names in front of the ID where the value in a row is 1.",False,Reverse a get_dummies encoding in pandas. The col values are either 0 or 1 My dataframe looks like this: I want the column names in front of the ID where the value in a row is 1.
1,16,37265312,https://stackoverflow.com/questions/37265312,True,True,True,,,"How to create dummies for certain columns with pandas.get_dummies() I just want Column A and D to get dummies not for Column B. If I used pd.get_dummies(df), all columns turned into dummies.",True,How to create dummies for certain columns with pandas.get_dummies(). I just want Column A and D to get dummies not for Column B.
2,17,18889588,https://stackoverflow.com/questions/18889588,True,True,True,,,"Create dummies from column with multiple values in pandas I am looking for for a pythonic way to handle the following problem. For example, if the column has values in ['A', 'B'], get_dummies() creates 2 dummy variables and assigns 0 or 1 accordingly.",False,"Create dummies from column with multiple values in pandas. For example, if the column has values in ['A', 'B'], get_dummies() creates 2 dummy variables and assigns 0 or 1 accordingly."
3,18,31498390,https://stackoverflow.com/questions/31498390,True,True,True,,,how to get pandas get_dummies to emit N-1 variables to avoid collinearity? pandas.get_dummies emits a dummy variable per categorical value.,True,how to get pandas get_dummies to emit N-1 variables to avoid collinearity?. pandas.get_dummies emits a dummy variable per categorical value.
4,19,38413579,https://stackoverflow.com/questions/38413579,True,True,True,,,What is the difference between sklearn LabelEncoder and pd.get_dummies? What is the advantage of using one over another?,False,What is the difference between sklearn LabelEncoder and pd.get_dummies?. What is the advantage of using one over another?
5,20,31888856,https://stackoverflow.com/questions/31888856,True,True,False,,,"I've tried loading it into a dense matrix first with read_csv and then calling to_sparse, but it takes a long time and chokes on text fields, although most of the data is floating point. This happens even if I strip the zeros out of the original file and call to_sparse() (so that the fill value is NaN).",False,"Read a large csv into a sparse pandas dataframe in a memory efficient way. I've tried loading it into a dense matrix first with read_csv and then calling to_sparse, but it takes a long time and chokes on text fields, although most of the data is floating point."
6,21,28465633,https://stackoverflow.com/questions/28465633,True,True,True,,,Easy way to apply transformation from `pandas.get_dummies` to new data? Now I have a single new observation that I want to run through my model.,True,Easy way to apply transformation from `pandas.get_dummies` to new data?. Now I have a single new observation that I want to run through my model.
7,22,48170405,https://stackoverflow.com/questions/48170405,True,True,True,,,"Is pd.get_dummies one-hot encoding? Given the difference between one-hot encoding and dummy coding, is the pandas.get_dummies method one-hot encoding when using default parameters (i.e. drop_first=False)?",True,"Is pd.get_dummies one-hot encoding?. Given the difference between one-hot encoding and dummy coding, is the pandas.get_dummies method one-hot encoding when using default parameters (i.e. drop_first=False)?"
8,23,26724872,https://stackoverflow.com/questions/26724872,True,True,False,,,,False,"Pandas: map values of categorical variable to a predefined list of dummy columns. I have a categorical variable with known levels (e.g. hour that just contains values between 0 and 23), but not all of them are available right now (say, we have measurements from between 0 and 11 o'clock, while hours from 12 to 23 are not covered), though other values are going to be added later."
9,24,29221894,https://stackoverflow.com/questions/29221894,True,True,False,,,,False,Pandas: get_dummies vs categorical. I have a dataset which has  a few columns with categorical data.
10,25,34529542,https://stackoverflow.com/questions/34529542,True,True,False,,,,True,"Create open bounds indicators from pandas get_dummies on discretized numerical. From a numeric age pandas column, discretize as ageD with qcut, we create open bounds from the qcut bounds: From Index([u'[5, 30]', u'(30, 70]'], dtype='object') we make bopens: Then we convert categorical variable into dummy/indicator variables with get_dummies: I want to enrich the data frame with the open bounds columns, df.shape will be quite big, ~(10e6, 32)."
