,Unnamed: 0,id,Unnamed: 2,result,HAS_API,DISCUSSES_API,Unnamed: 6,Unnamed: 7,LSA_summary,discusses_api_result,lexrank_summary
0,22,35414625,https://stackoverflow.com/questions/35414625,True,True,True,,,"I would like to run a pivot on a pandas DataFrame, with the index being two columns, not one. I want the index to be year + month.",False,"I would like to run a pivot on a pandas DataFrame, with the index being two columns, not one. I want the index to be year + month."
1,32,13261175,https://stackoverflow.com/questions/13261175,True,True,True,,,,False,"There seem to be a lot of possibilities to pivot flat table data into a 3d array but I'm somehow not finding one that works: Suppose I have some data with columns=['name', 'type', 'date', 'value']. It seems like this is the usage described there."
2,35,17978009,https://stackoverflow.com/questions/17978009,True,True,True,,,,False,"Using pandas 0.11 on python 2.7.3 I am trying to pivot a simple dataframe with the following values: I am using the following command: But I am getting the following error: Note that the same dataframe without the last line The pivot results successfully in following: I am new to pivoting and would like to know why having duplicate StudentID, QuestionID pair causing this problem? thank you."
3,39,21646710,https://stackoverflow.com/questions/21646710,True,True,True,,,,True,pandas pivot table using index data of dataframe. I want to create a pivot table from a pandas dataframe using dataframe.pivot() and include not only dataframe columns but also the data within the dataframe index.
4,0,11869910,https://stackoverflow.com/questions/11869910,False,False,False,,,"pandas: filter rows of DataFrame with operator chaining Most operations in pandas can be accomplished with operator chaining (groupby, aggregate, apply, etc), but the only way I've found to filter rows is via normal bracket indexing This is unappealing as it requires I assign df to a variable before being able to filter on its values. Is there something more like the following?",False,"pandas: filter rows of DataFrame with operator chaining. Most operations in pandas can be accomplished with operator chaining (groupby, aggregate, apply, etc), but the only way I've found to filter rows is via normal bracket indexing This is unappealing as it requires I assign df to a variable before being able to filter on its values."
5,1,12860421,https://stackoverflow.com/questions/12860421,False,False,False,,,How to aggregate unique count with pandas pivot_table This code: returns the following error: How do I get a Pivot Table with counts of unique values of one DataFrame column for two other columns? Should I be using np.bincount()?,False,How to aggregate unique count with pandas pivot_table. Should I be using np.bincount()?
6,2,16860172,https://stackoverflow.com/questions/16860172,False,False,False,,,python pandas: pivot_table silently drops indices with nans Is there an option not to drop the indices with NaN in them? I think silently dropping these rows from the pivot will at some point cause someone serious pain.,False,python pandas: pivot_table silently drops indices with nans. Is there an option not to drop the indices with NaN in them?
7,3,18889588,https://stackoverflow.com/questions/18889588,False,False,False,,,"Create dummies from column with multiple values in pandas I am looking for for a pythonic way to handle the following problem. For example, if the column has values in ['A', 'B'], get_dummies() creates 2 dummy variables and assigns 0 or 1 accordingly.",False,"Create dummies from column with multiple values in pandas. For example, if the column has values in ['A', 'B'], get_dummies() creates 2 dummy variables and assigns 0 or 1 accordingly."
8,4,25695986,https://stackoverflow.com/questions/25695986,False,False,False,,,"We can get the correct value with np.std(): But obviously, this is not a solution when I have more than one restaurant. There is a related discussion here, but their suggestions do not work either.",False,"We can get the correct value with np.std(): But obviously, this is not a solution when I have more than one restaurant. There is a related discussion here, but their suggestions do not work either."
9,5,31498390,https://stackoverflow.com/questions/31498390,False,False,False,,,how to get pandas get_dummies to emit N-1 variables to avoid collinearity? pandas.get_dummies emits a dummy variable per categorical value.,False,how to get pandas get_dummies to emit N-1 variables to avoid collinearity?. pandas.get_dummies emits a dummy variable per categorical value.
10,6,32552027,https://stackoverflow.com/questions/32552027,False,False,False,,,"With `pandas.cut()`, how do I get integer bins and avoid getting a negative lowest bound? I am trying to use the precision and include_lowest parameters of pandas.cut(), but I can't get the intervals consist of integers rather than floats with one decimal.",False,"With `pandas.cut()`, how do I get integer bins and avoid getting a negative lowest bound?. I am trying to use the precision and include_lowest parameters of pandas.cut(), but I can't get the intervals consist of integers rather than floats with one decimal."
11,7,33149428,https://stackoverflow.com/questions/33149428,False,False,False,,,Modify the legend of pandas bar plot I am always bothered when I make a bar plot with pandas and I want to change the names of the labels in the legend. Consider for instance the output of this code:,False,I am always bothered when I make a bar plot with pandas and I want to change the names of the labels in the legend. Consider for instance the output of this code:
12,8,33290374,https://stackoverflow.com/questions/33290374,False,False,False,,,pandas pivot_table column names For a dataframe like this: to which I apply pivot_table to get df2: is there an easy way to format resulting dataframe column names like If I do: I get: How to get rid of the extra level? thanks!,False,pandas pivot_table column names. For a dataframe like this: to which I apply pivot_table to get df2: is there an easy way to format resulting dataframe column names like If I do: I get: How to get rid of the extra level?
13,9,37265312,https://stackoverflow.com/questions/37265312,False,False,False,,,"How to create dummies for certain columns with pandas.get_dummies() I just want Column A and D to get dummies not for Column B. If I used pd.get_dummies(df), all columns turned into dummies.",False,How to create dummies for certain columns with pandas.get_dummies(). I just want Column A and D to get dummies not for Column B.
14,10,38413579,https://stackoverflow.com/questions/38413579,False,False,False,,,What is the difference between sklearn LabelEncoder and pd.get_dummies? What is the advantage of using one over another?,False,What is the difference between sklearn LabelEncoder and pd.get_dummies?. What is the advantage of using one over another?
15,11,42921854,https://stackoverflow.com/questions/42921854,False,False,False,,,How to check if a particular cell in pandas DataFrame isnull? I have the following df in pandas.,False,How to check if a particular cell in pandas DataFrame isnull?. I have the following df in pandas.
16,12,43821529,https://stackoverflow.com/questions/43821529,False,False,False,,,"Filter out nan rows in a specific column Given the dataframe df, I want to obtain a new dataframe df2 that does not contain nan in the column Col2. This is the expected result: df2 = I know that it's possible to use pandas.isnull and dropna, however how to specify only particular column to which filtering should be applied?",False,"Filter out nan rows in a specific column. Given the dataframe df, I want to obtain a new dataframe df2 that does not contain nan in the column Col2."
17,13,50607740,https://stackoverflow.com/questions/50607740,False,False,False,,,"Reverse a get_dummies encoding in pandas Column names are: ID,1,2,3,4,5,6,7,8,9. The col values are either 0 or 1 My dataframe looks like this: I want the column names in front of the ID where the value in a row is 1.",False,Reverse a get_dummies encoding in pandas. The col values are either 0 or 1 My dataframe looks like this: I want the column names in front of the ID where the value in a row is 1.
18,14,51174691,https://stackoverflow.com/questions/51174691,False,False,False,,,"How to increase image size of pandas.DataFrame.plot How can I modify the size of the output image of the function pandas.DataFrame.plot? I tried: plt.figure(figsize=(10, 5)) and %matplotlib notebook but none of them work.",False,How to increase image size of pandas.DataFrame.plot. How can I modify the size of the output image of the function pandas.DataFrame.plot?
19,15,55204418,https://stackoverflow.com/questions/55204418,False,False,False,,,"How to rename categories after using pandas.cut with IntervalIndex? Example: The resulting categories will be: I am trying to change [(0, 1] < (2, 3] < (4, 5]] into something like 1, 2 ,3 or small, medium ,large.",False,"How to rename categories after using pandas.cut with IntervalIndex?. Example: The resulting categories will be: I am trying to change [(0, 1] < (2, 3] < (4, 5]] into something like 1, 2 ,3 or small, medium ,large."
20,16,20119414,https://stackoverflow.com/questions/20119414,True,False,False,,,So is it possible to do so using pandas? Now this will get a pivot table with sum: And this for mean: How can I get sum for D and mean for E?,False,"Was trying to generate a pivot table with multiple ""values"" columns. Now this will get a pivot table with sum: And this for mean: How can I get sum for D and mean for E?"
21,17,38951345,https://stackoverflow.com/questions/38951345,True,False,False,,,"How to get rid of multilevel index after using pivot table pandas? I had following data frame (the real data frame is much more larger than this one ) : Then reshaped it to move the values in sale_product_id as column headers using the following code: and the resulting data frame is: as you can see we have a multililevel index , what i need is to have sale_user_is in the first column without multilevel indexing: i take the following approach : the the result would be like this i still have the sale_product_id column , but i do not need it anymore: i can subset this data frame to get rid of sale_product_id but i don't think it would be efficient.I am looking for an efficient way to get rid of multilevel indexing while reshaping the original data frame",False,"How to get rid of multilevel index after using pivot table pandas?. I had following data frame (the real data frame is much more larger than this one ) : Then reshaped it to move the values in sale_product_id as column headers using the following code: and the resulting data frame is: as you can see we have a multililevel index , what i need is to have sale_user_is in the first column without multilevel indexing: i take the following approach : the the result would be like this i still have the sale_product_id column , but i do not need it anymore: i can subset this data frame to get rid of sale_product_id but i don't think it would be efficient.I am looking for an efficient way to get rid of multilevel indexing while reshaping the original data frame"
