,Unnamed: 0,id,Unnamed: 2,result,HAS_API,DISCUSSES_API,Unnamed: 6,Unnamed: 7,LSA_summary,discusses_api_result,lexrank_summary
0,0,11869910,https://stackoverflow.com/questions/11869910,False,False,False,,,"pandas: filter rows of DataFrame with operator chaining Most operations in pandas can be accomplished with operator chaining (groupby, aggregate, apply, etc), but the only way I've found to filter rows is via normal bracket indexing This is unappealing as it requires I assign df to a variable before being able to filter on its values. Is there something more like the following?",False,"pandas: filter rows of DataFrame with operator chaining. Most operations in pandas can be accomplished with operator chaining (groupby, aggregate, apply, etc), but the only way I've found to filter rows is via normal bracket indexing This is unappealing as it requires I assign df to a variable before being able to filter on its values."
1,1,18889588,https://stackoverflow.com/questions/18889588,False,False,False,,,"Create dummies from column with multiple values in pandas I am looking for for a pythonic way to handle the following problem. For example, if the column has values in ['A', 'B'], get_dummies() creates 2 dummy variables and assigns 0 or 1 accordingly.",False,"Create dummies from column with multiple values in pandas. For example, if the column has values in ['A', 'B'], get_dummies() creates 2 dummy variables and assigns 0 or 1 accordingly."
2,3,25695986,https://stackoverflow.com/questions/25695986,False,False,False,,,"We can get the correct value with np.std(): But obviously, this is not a solution when I have more than one restaurant. There is a related discussion here, but their suggestions do not work either.",False,"We can get the correct value with np.std(): But obviously, this is not a solution when I have more than one restaurant. There is a related discussion here, but their suggestions do not work either."
3,4,31498390,https://stackoverflow.com/questions/31498390,False,False,False,,,how to get pandas get_dummies to emit N-1 variables to avoid collinearity? pandas.get_dummies emits a dummy variable per categorical value.,False,how to get pandas get_dummies to emit N-1 variables to avoid collinearity?. pandas.get_dummies emits a dummy variable per categorical value.
4,5,32552027,https://stackoverflow.com/questions/32552027,False,False,False,,,"With `pandas.cut()`, how do I get integer bins and avoid getting a negative lowest bound? I am trying to use the precision and include_lowest parameters of pandas.cut(), but I can't get the intervals consist of integers rather than floats with one decimal.",False,"With `pandas.cut()`, how do I get integer bins and avoid getting a negative lowest bound?. I am trying to use the precision and include_lowest parameters of pandas.cut(), but I can't get the intervals consist of integers rather than floats with one decimal."
5,6,33149428,https://stackoverflow.com/questions/33149428,False,False,False,,,Modify the legend of pandas bar plot I am always bothered when I make a bar plot with pandas and I want to change the names of the labels in the legend. Consider for instance the output of this code:,False,I am always bothered when I make a bar plot with pandas and I want to change the names of the labels in the legend. Consider for instance the output of this code:
6,7,37265312,https://stackoverflow.com/questions/37265312,False,False,False,,,"How to create dummies for certain columns with pandas.get_dummies() I just want Column A and D to get dummies not for Column B. If I used pd.get_dummies(df), all columns turned into dummies.",False,How to create dummies for certain columns with pandas.get_dummies(). I just want Column A and D to get dummies not for Column B.
7,8,38413579,https://stackoverflow.com/questions/38413579,False,False,False,,,What is the difference between sklearn LabelEncoder and pd.get_dummies? What is the advantage of using one over another?,False,What is the difference between sklearn LabelEncoder and pd.get_dummies?. What is the advantage of using one over another?
8,9,38951345,https://stackoverflow.com/questions/38951345,False,False,False,,,"How to get rid of multilevel index after using pivot table pandas? I had following data frame (the real data frame is much more larger than this one ) : Then reshaped it to move the values in sale_product_id as column headers using the following code: and the resulting data frame is: as you can see we have a multililevel index , what i need is to have sale_user_is in the first column without multilevel indexing: i take the following approach : the the result would be like this i still have the sale_product_id column , but i do not need it anymore: i can subset this data frame to get rid of sale_product_id but i don't think it would be efficient.I am looking for an efficient way to get rid of multilevel indexing while reshaping the original data frame",False,"How to get rid of multilevel index after using pivot table pandas?. I had following data frame (the real data frame is much more larger than this one ) : Then reshaped it to move the values in sale_product_id as column headers using the following code: and the resulting data frame is: as you can see we have a multililevel index , what i need is to have sale_user_is in the first column without multilevel indexing: i take the following approach : the the result would be like this i still have the sale_product_id column , but i do not need it anymore: i can subset this data frame to get rid of sale_product_id but i don't think it would be efficient.I am looking for an efficient way to get rid of multilevel indexing while reshaping the original data frame"
9,10,42921854,https://stackoverflow.com/questions/42921854,False,False,False,,,How to check if a particular cell in pandas DataFrame isnull? I have the following df in pandas.,False,How to check if a particular cell in pandas DataFrame isnull?. I have the following df in pandas.
