API,post_id
scipy.sparse.linalg.bicg,12173353
scipy.sparse.linalg.bicgstab,28751093
scipy.sparse.linalg.cg,14243579
scipy.sparse.linalg.factorized,9919686
scipy.sparse.linalg.gmres,46876951
scipy.sparse.linalg.lobpcg,29028044
scipy.sparse.linalg.lsqr,43423346
scipy.sparse.linalg.splu,19107617
scipy.sparse.linalg.svds,50884533
expm,53212497
block_diag,10831417
scipy.odr.odr,70406964
scipy.misc.fromimage,26033672
scipy.misc.toimage,33085142
scipy.misc.imsave,56485301
scipy.misc.imread,9298665
scipy.misc.imrotate,44339293
scipy.misc.imresize,49374829
scipy.misc.imshow,40229630
scipy.misc.factorial,56206632
scipy.misc.comb,18488005
scipy.misc.central_diff_weights,57035858
scipy.misc.derivative,18991408
hb_read,50046865
count_nonzero,52002080
cholesky,50034761
linalg.cholesky,16699163
bartlett,10766082
errstate,31833962
scipy.spatial.KDTree,45407356
scipy.spatial.KDTree.query,46934563
scipy.spatial.KDTree.query_ball_point,52649815
scipy.spatial.KDTree.query_ball_tree,21884065
scipy.spatial.cKDTree.query,66716891
scipy.spatial.distance_matrix,58747022
scipy.stats.mstats.rankdata,67205250
scipy.spatial.QhullError,76767585
scipy.stats.mstats.kurtosis,13571198
scipy.stats.mstats.linregress,70588672
scipy.stats.mstats.trimboth,5218048
scipy.stats.mstats.skew,25043103
scipy.stats.mstats.scoreatpercentile,49881561
scipy.stats.mstats.f_oneway,51637757
scipy.stats.mstats.moment,44504763
scipy.stats.mstats.spearmanr,32115900
scipy.stats.mstats.ttest_rel,40414440
scipy.stats.mstats.theilslopes,30390131
scipy.stats.mstats.mannwhitneyu,71607017
scipy.fftpack.fft,62213330
scipy.sparse.linalg.cg,61326000
scipy.sparse.linalg.gmres,33512081
scipy.sparse.linalg.lsqr,31895814
scipy.sparse.linalg.splu,60120076
scipy.sparse.linalg.svds,56694800
expm,25224227
block_diag,44461658
scipy.odr.odr,24804397
scipy.misc.toimage,62708777
scipy.misc.imsave,26918390
scipy.misc.imread,49685160
scipy.misc.imresize,26793582
scipy.misc.imshow,43473742
scipy.misc.factorial,41439421
scipy.misc.comb,21767690
scipy.misc.derivative,18220216
count_nonzero,13519521
cholesky,45532926
bartlett,24808724
scipy.spatial.KDTree,52649815
scipy.spatial.KDTree.query,21884065
scipy.spatial.KDTree.query_ball_point,71448096
scipy.spatial.cKDTree.query,46934563
scipy.spatial.distance_matrix,54326216
scipy.stats.mstats.rankdata,54103405
scipy.stats.mstats.kurtosis,30607574
scipy.stats.mstats.linregress,28753502
scipy.stats.mstats.skew,52642945
scipy.stats.mstats.moment,22290747
scipy.stats.mstats.spearmanr,48398265
scipy.stats.mstats.theilslopes,24894063
scipy.stats.mstats.mannwhitneyu,78296283
scipy.fftpack.fft,6363154
scipy.sparse.linalg.cg,66486759
scipy.sparse.linalg.gmres,76391550
scipy.sparse.linalg.lsqr,56147713
scipy.sparse.linalg.splu,53682948
scipy.sparse.linalg.svds,29930160
expm,49530410
block_diag,24146629
scipy.odr.odr,55796398
scipy.misc.toimage,72335057
scipy.misc.imsave,50506782
scipy.misc.imread,44057140
scipy.misc.imresize,33721988
scipy.misc.factorial,35800823
scipy.misc.comb,33468821
scipy.misc.derivative,57035858
count_nonzero,59338537
cholesky,14408873
scipy.spatial.KDTree,43020919
scipy.stats.mstats.rankdata,52025636
scipy.stats.mstats.linregress,38725018
scipy.stats.mstats.spearmanr,7039123
scipy.stats.mstats.theilslopes,67749851
scipy.fftpack.fft,56788798
scipy.sparse.linalg.gmres,27465119
scipy.sparse.linalg.lsqr,55712254
scipy.sparse.linalg.splu,53665503
scipy.sparse.linalg.svds,42317259
expm,70509924
block_diag,34895970
scipy.odr.odr,62460399
scipy.misc.toimage,46855422
scipy.misc.imsave,57253048
scipy.misc.imread,49371792
scipy.misc.imresize,29734530
scipy.misc.comb,35637223
scipy.misc.derivative,43130247
count_nonzero,15719519
cholesky,16699163
scipy.spatial.KDTree,6931209
scipy.stats.mstats.linregress,77202688
