numpy.allclose, 18922407,65909842
numpy.angle, 28618591
numpy.append, 30376581,13506122,42314542,42942781,2908672,28943887,25649788,1530960
numpy.apply_along_axis, 8652785,9019581,23849097,28898858,21812358,45526700
numpy.apply_over_axes, 
numpy.argpartition, 26322232,42184499,52465066
numpy.argsort, 30577375,6155649,39059371,36265930,48072007,33140674,9891561
numpy.argwhere, 45255167
numpy.around, 19387608,17739543,49229610,38836469,27252209,21396121
numpy.array, 6431973,5541324,44429199,13728708,16589791,22634265,15956309,22981845,52657223,13242382,21527770,59078511,8895120,34852272,53307107,33651243,58107468,20343500,7989722,5205345,5795700,21016684,34593824,4998587,7011428,53757856,34616439,5349570,65912024,17456086,38025074,20580775,48785115,42544661,33282369,43873126,7715406,17298129,34255882,7730717,36552858,20494719,34540585,62810872,42817508,55634909,28802090,12713486,28638094,45183213,50638524,24641731,2664790,13095792,13243404,45099354,41493094,19212451,29734660,29688936,39465812,41883329,29476182,29438329,55377213,29356825,73483728,19388152,29185493,29091869,29088646,63380108,45261638,15749123,1582525,56270327,14229029,40822877,14429992,26377272,14671013,26322232,14447215,26302456,214549,13495777,56947819,27612288,36063658,25213603,41330415,19156472,45020672,47479587,46994426,13567345,12116830,7994394,1589706,8218032,44409084,21008858,3386259,10357992,20265229,7821518,41190852,28430904,10542240,26681756,3382352,3230067,15884527,10121926,6518811,21015674,31097247,111983,46902367,49568041,19821425,5064822,4857927,7878398,38191855,45548426,47388013,33983053,7164397,8361561,21299798,16202348,3403973,16423774,23943379,17277100,12744778,42916330,35215161,15815854,54269647,29661574,10337533,2053021,1066758,877479,13215525,43748991,25823608,21567842,30329726,42463172,17835302,43829711,29586323,17241830,23853632,13600988,16261240,22222818,24398708,7200878,18689235,45955186,5927180,18423603,6701714,30698004,13717554,35097837,25870923,35355930,15976697,30376581,44360162,37149933,19984102,5602155,28491230,44238796,47269390,33747908,7372316,9360103,43068412,27570756,40219946,30311172,50971123,22922584,43506766,9565426,30499857,21226610,15579649,2777907,28524378,12137277,2566412,54069863,36969886,53376786,40690248,44296310,31400769,14859458,14448763,18621513,23355433,934616,6485790,14372613,19387608,5508352,25125168,35328286,33530753,40430186,7251421,8466014,11649577,30388170,11483863,17682613,3622850,34188620,4355524,18688948,28125265,25789055,40084931,17069864,22557322,9814226,3488934,9534408,22053050,2721521,2706605,38193958,2106287,16541618,28176949,11188364,35133317,16114333,5183533,17933282,35681054,39627852,19456239,25471878,28382735,22129225,20341614,52074153,17739543,42497340,7770870,8090229,38506044,26154711,7525214,23618218,12701659,46953967,26921836,46733052,28207743,23979146,10031580,9057379,27175400,8298797,32838802,3059395,29877508,35091879,44955656,38015319,23246125,2659312,6771428,36365990,37558523,42163058,2652368,14525344,16229823,47004506,29920114,29718238,16817948,41989950,23445936,12336234,7761393,30917753,11760095,25330959,22847410,14906962,44865023,17056325,10377096,36878089,23855976,10996140,44574086,39674863,43413582,44617871,4370975,6710684,47861084,44311664,2350072,36278590,38674027,6367589,34097281,40994583,33190042,33754935,7670226,48948308,13029029,5674960,18697532,52242832,40312013,25254929,13990465,21030391,51985180,22698687,22720864,22774726,7115437,9296658,5073767,64464861,22414152,37988849,2374640,4373631,15182381,58082023,5426908,29085268,46699280,31250129,4877624,11264838,6559463,3172509,21174961,52094533,25201438,30577375,17835121,6155649,43146266,12414619,21435378,11295609,22400652,30031828,24342047,38974168,30003068,11367243,28952946,45648668,33303348,4341359,5033799,7662458,37593013,43024745,52781433,17973507,36530726,66207609,7994992,34231244,28563711,50630045,8822370,36995289,44078327,22546180,23911875,33508322,37878946,14162723,10346336,26598109,36719997,40094938,1696135,21761256,35815093,13077527,1727669,29318459,9476797,52603487,13572448,11561932,29947639,20322079,41210142,12424824,45759966,16970982,31638651,7416170,31206443,16682672,2821072,2641691,32828922,39642721,4494404,20101093,12616821,42021972,5098046,6030906,29374061,28269379,47389447,53633177,15939748,12148351,9775297,3881453,18757742,9777783,23830618,37682284,41329691,13634349,13550376,28940412,39195113,31171277,24885092,34235530,54268029,42771110,500328,19016144,22392497,34165731,8386675,11548005,39698363,37749900,31987713,23251759,3909794,40927057,3886281,32846846,57414277,40112487,26189570,51520630,29517392,17397231,21288044,16243955,6494102,38886641,1201817,17840661,7842157,30834132,9964809,12787650,40700501,7100995,7820809,8833950,55724123,41153803,27890735,20917703,4624112,33211988,11775354,4808221,20200353,37958278,58079075,5018552,57507832,367565,25345843,12324176,42689003,26929052,10925671,5127991,22257836,10753528,2402575,5613244,35593994,35735497,36224066,15792465,31270971,16995071,20103779,11144513,32171917,49437807,15481523,66657117,52816938,52839427,4565749,14584439,34007632,4641200,41186356,11003037,41069825,32424604,23470582,12138339,12647471,24599618,39463019,39042214,8373079,30043901,10288757,19479384,16778878,42314542,9312756,10525921,44260491,27266338,27916710,30831084,27516849,26984414,48121916,3030480,7332841,50997928,12575421,10996769,31389481,11332205,9047111,35192603,22565023,15680593,36210977,21046417,52981880,15257277,15627312,10075661,58481528,37415269,15944171,2464871,24124458,5350342,49032948,2703310,23000260,20953127,27989374,3877209,19602187,4535374,49229610,49494337,31359980,18253210,52142475,7688304,9815911,50087252,52108417,15748001,16037824,17052991,8843062,9794019,28552599,35746806,43288542,42460217,46736258,7543250,35430479,27000092,48536969,41271997,28187867,17394882,17370820,34673424,18237169,34666860,26786946,21797889,21647054,30820962,37628180,4992040,24806174,22426609,14650584,16029050,55311399,40593444,25453173,46820500,47581672,43644320,16235564,34485591,47726073,5795748,48428100,30345937,15575878,48178884,30488961,53467807,32207474,41723419,54638817,6273634,43865602,22514730,26377023,22864330,36190533,4624970,10016352,49768306,36783921,7762948,4037262,24507550,2203673,29394377,50491630,4503325,39567422,39762019,25696615,44994866,41733479,39622639,47681799,35967907,55905690,53000462,44708911,16065183,17443620,6042308,42353676,45864550,47015578,18026541,47858996,21284790,7994133,22623135,47143361,21938932,5551286,34187130,22425921,11972102,6229519,30764955,29501823,31542843,9440921,5048299,6967463,10721915,10540929,28439701,3302949,35723472,18395725,3685265,44424594,26542615,60811307,36265930,50280640,25664682,30354788,49757871,47125884,3409255,47733704,1888870,16216078,51565946,23056057,16366124,16568932,49922460,28314337,51304154,16553660,3157374,31081067,57024802,37131462,2908672,43081809,46385212,31848309,33529593,47243190,40595967,5288736,21088133,32800623,9754034,50899486,63880119,21712047,45327069,25427197,52380972,32743427,16819261,54615882,19991338,28943887,56944812,30145996,37722139,4158388,21921178,35910577,25876640,16330831,35751306,27852343,7139425,40388792,51508682,37711817,35465409,25014298,33256823,16713991,9913392,59801341,35514976,22055196,21004538,22712292,31172991,46626267,5274243,40894594,46379095,55630612,32909619,14689270,4148292,25888255,41007899,48622281,41870968,8174467,34931160,11849778,32542689,5320324,35038675,26638390,25812905,30528852,35282456,21451776,13003949,28330785,54029668,16482895,16246643,28628773,39978893,7894791,19766757,5951135,9482550,36000993,19676538,5124376,14386822,32182409,9220372,37935954,42831022,32120178,8373197,37949409,14365029,47635507,52700878,14656852,14813289,38170188,38064697,8708758,38316283,38277143,14553523,50008587,5798675,12670736,12729228,24436063,42082607,23138112,50624046,42138681,47722005,23000245,51218937,50554272,10679523,13131220,20645672,4964101,11975203,23914697,4625744,45284124,20164685,24099404,52331944,16071486,43864855,18352973,30041286,4335289,18058744,12653120,15706339,6999617,27909658,10051935,9829348,45084306,22581763,27600640,37271654,19454223,52080334,52570086,40574982,6595759,37754948,13869173,30399534,17079279,18522216,34226400,20928136,15980405,42663171,24240039,56594598,15976937,26049174,42920602,20110232,23704040,48603888,20640396,42154606,47900969,19539267,15505514,41552903,15528981,43910477,25649788,18771282,20482837,25610907,16282941,22173872,43541934,24296216,39429900,40335161,2907919,12024820,30668223,32658322,13877063,40250501,50270346,4065737,36470793,29176339,39325930,5124126,6576893,35381551,3606041,50437426,11827100,37213750,55066226,9879371,66373169,5762440,2674139,28398220,38208416,35509345,46640821,35016737,33607071,35593187,32026636,12437264,13227865,50825208,45947608,28276244,16992713,9721884,8904694,18646076,14639496,27710245,43977463,7922487,45255167,15576136,43758709,33001373,11731428,21445264,44487786,3310681,42849821,55315419,39479578,29678154,29391815,41791430,28853740,28953804,35484864,50956686,17628627,24168569,33051244,28742436,46961952,9922395,16733236,10119441,38708621,22729019,8623047,16585083,22835914,38065898,52459277,22113979,44212854,22250197,22292059,4420622,22095000,49151057,59027867,69901937,30238092,49003798,55193696,42755214,58162761,37996471,38910258,21821045,22988882,32635911,35226115,37954324,43301582,51196438,10847660,17354439,58082051,36412762,58469671,1530960,50151417,5891523,17737567,5859144,48200911,13158452,45062340,6792395,13393733,1599754,56764044,17926746,19036565,58552951,37431599,35990775,6561211,25380255,53824618,33692321,19306211,50134468,35916201,47678252,40879188,25223039,18155004,5836335,10335090,3877491,26850355,4370745,31789160,7717380,36998260,1642730,7133885,42656930,5036816,30340628,22961541,35281427,23391608,17413624,43463523,53261196,35291189,36435754,47876828,10984471,30468454,6268657,13774064,19098241,6375343,19622407,42130679,16388110,47885848,63587617,34082939,30670947,17123350,18938065,31491932,54606302,38204283,22049140,14408122,4445109,9419451,26289972,38309535,43173540,44231598,5587582,20253163,4873665,41203137,4090981,45799335,38727240,49085469,19039080,46657423,31195941,34278268,25792886,9894787,14321390,41856787,44555293,3057015,3065624,24814595,59239886,7052776,44527579,7815263,65771004,35672061,21396121,52884563,48099479,41909408,47734392,24566920,44021214,28412538,12709853,12589923,2563773,43990906,36721936,12372594,27527947,51092737,60459218,6750298,25108014,27486677,61198658,18091694,45027220,48804698,23638638,60810463,54143102,54077428,40394775,7894504,48097068,61304720
numpy.array_equal, 
numpy.array_equiv, 
numpy.array_repr, 
numpy.array_split, 
numpy.array_str, 
numpy.asanyarray, 59350359
numpy.asarray, 28384680,33833832,29518923,25102461,35617073,28337085,59350359
numpy.asarray_chkfinite, 
