,id,DISCUSSES_API,run1_result,run2_result,run3_result,final_result
0,35414625,True,True,True,True,True
1,13261175,True,True,True,True,True
2,17978009,True,True,True,True,True
3,21646710,True,False,True,True,True
4,11869910,False,False,False,False,False
5,12860421,False,True,True,True,True
6,16860172,False,True,True,True,True
7,18889588,False,False,False,False,False
8,25695986,False,False,False,False,False
9,31498390,False,False,False,False,False
10,32552027,False,False,False,False,False
11,33149428,False,False,False,False,False
12,33290374,False,True,True,True,True
13,37265312,False,False,False,False,False
14,38413579,False,False,False,False,False
15,42921854,False,False,False,False,False
16,43821529,False,False,False,False,False
17,50607740,False,False,False,False,False
18,51174691,False,False,False,False,False
19,55204418,False,False,False,False,False
20,20119414,False,True,True,True,True
21,38951345,False,False,False,False,False
22,43172970,False,False,False,False,False
23,43756052,False,False,False,False,False
24,24640399,False,False,False,False,False
25,31661604,False,True,True,True,True
26,39273441,False,False,False,False,False
27,42099024,False,False,False,False,False
28,42708193,False,False,False,False,False
29,43728304,False,False,False,False,False
30,44513488,False,True,True,True,True
31,46859400,False,True,True,True,True
32,48135994,False,False,False,False,False
33,42876278,False,True,True,False,True
34,34268418,False,True,True,False,True
35,34727716,False,False,False,False,False
36,35652270,False,True,True,True,True
37,36337111,False,False,False,False,False
38,36346071,False,True,True,True,True
