post_id,title,body,score,creation_date,tags,is_answered,view_count,answer_count,last_activity_date,link
78327619,Dagster dynamically created GraphDefinition not showing up in UI,"<p>I have dagster instance with a job defined, that creates dynamic <code>GraphDefinition</code>s according to configuration and executes them.</p>
<p>This is my <code>repo.py</code></p>
<pre class=""lang-py prettyprint-override""><code>from dagster import op, job, Config, GraphDefinition, NodeInvocation, DependencyDefinition

@op
def name() -&gt; str:
    print('Steve')
    return 'Steve'


class GreetingConfig(Config):
    greeting: str


@op 
def greet(config: GreetingConfig, name: str) -&gt; str:
    print(f'{config.greetig} {name}')
    return f'{config.greeting} {name}'


@op
def run_pipeline(config: dict)
    graph_job = create_graph_job(config).to_job()
    graph_job.execute_in_process(config['run_config'])


@job
def run():
    run_pipeline()


def create_dependency_graph(config: dict):
    op_defs = []
    for op in config.get('ops', []):
        if op['def'] == name.__name__:
            op_defs.append(name)
        elif op['def'] == greet.__name__:
            op_defs.append(greet)

    return build_graph(config, op_defs)

# Logic taken from https://docs.dagster.io/concepts/ops-jobs-graphs/graphs#using-graphdefinitions
def build_graph(config: dict, op_defs: list) -&gt; GraphDefinition:
    deps = {}
    for op_data in config['ops']
        def_name = op_data['def']
        alias = op_data.get('alias', def_name)
        op_deps_entry = {}
        for input_name, input_data in op_data.get('deps', {}).items():
            op_deps_entry[input_name] = DependencyDefinition(node=input_data['op'], output=input_data.get('output', 'result'))
        deps[NodeInvocation(name=def_name, alias=alias)] = op_deps_entry
    
    return GraphDefinition(config['name'], description=config.get('description'), dependencies=deps) 
</code></pre>
<p>I have an external service which executes the <code>run</code> job with the <code>DagsterGraphQLClient</code> like so</p>
<pre class=""lang-py prettyprint-override""><code>client = DagsterGraphQLClient('dagster', port_number=3000)
client.submit_job_execution('run', 
                            run_config={
                                         'ops': {
                                           'run_pipeline': {
                                             'config': {
                                               'name': 'test_pipeline',
                                               'ops': [
                                                 {'def': 'name'}
                                                 {'def': 'greet', 'deps': {'name': {'op': 'name'}}}
                                               ],
                                               'run_config': {
                                                 'ops': {
                                                   'greet': {'config': {'greeting': 'hi'}}
                                                 }
                                               }
                                             }
                                           }
                                         }
                                       }
                           )
</code></pre>
<p>When I execute the client code, I can see in dagster's UI that the job has ran, and completed successfully. I can also see that</p>
<pre><code>Steve
Hi Steve
</code></pre>
<p>is printed to stdout. The problem is, when I look at the flow of execution, I can only see 1 op that ran, <code>run_pipeline</code>. Is there a way I can make dagster detect that <code>greet</code> and <code>name</code> also ran? I want to be able to differentiate between them and perhaps re-execute them separately.</p>
",0,1713175786,dagster,False,12,0,1713178472,https://stackoverflow.com/questions/78327619/dagster-dynamically-created-graphdefinition-not-showing-up-in-ui
78320052,Providing dynamically created pydantic model as type annotation to function without mypy errors,"<p>I am using a pluggable architecture which registers pydantic models with a central registry on startup.</p>
<p>These models are then added to an existing model as a <code>Union</code> field dynamically.</p>
<p>This resulting class is then used by a framework we use (dagster) to provide yaml configuration in a UI.</p>
<p>The issue I am having is that dagster uses the type annotation of an argument called <code>config</code> on decorated functions to register and use these config classes. I am using a factory function to create these functions in the following way:</p>
<pre class=""lang-py prettyprint-override""><code># assets.py
from pydantic import BaseModel
from dagster import asset, AssetsDefinition

# Factory function to dynamically create an asset 
def create_asset(identifier: str, config_class: Type[BaseModel]) -&gt; AssetsDefinition:

    # Library code wrapped in framework stuff
    @asset(key=identifier)
    def _inner(config: config_class) -&gt; None:
        ...
    return __inner

</code></pre>
<pre class=""lang-py prettyprint-override""><code># Library entrypoint code
# Register all plugins
plugin_configs: List[BaseModel] = register_plugins()

class MyBase(BaseModel):
    configs: Any # will be replaced with a Union[&lt;registed config classes&gt;] field

config_class: MyBase = create_updated_model(MyBase, plugin_configs)

# Load a list of ids to create assets for in config
my_list_of_ids: List[str] = load_asset_ids()

assets = [create_asset(id, config_class) for id in my_list_of_ids]
</code></pre>
<p>When I run mypy on this I will get:</p>
<pre><code>error: Variable &quot;assets.config_class&quot; is not valid as a type  [valid-type]
</code></pre>
<p>If the framework wasn't reliant on the type annotation for actually using the config class I could just create a protocol in the asset module for type hinting / IDE help to avoid this.</p>
<p>My fundamental understanding of the problem here is shaky at best after reading this: <a href=""https://mypy.readthedocs.io/en/stable/common_issues.html#variables-vs-type-aliases"" rel=""nofollow noreferrer"">https://mypy.readthedocs.io/en/stable/common_issues.html#variables-vs-type-aliases</a></p>
<p>For now I am ignoring this error via <code># type: ignore</code> but I want to know if this is solvable in a way that keeps the framework happy (that needs the actual dynamically generated class as the annotation) and mypy happy?</p>
<p>Ran mypy, expected no errors but got  <code>Variable </code>asset.config_class<code> is not valid as a type  [valid-type]</code></p>
",0,1712998344,python;mypy;dagster,False,16,0,1712998344,https://stackoverflow.com/questions/78320052/providing-dynamically-created-pydantic-model-as-type-annotation-to-function-with
78179960,appending variable to image artefacts,"<p>this is how i create and upload docker images for Dagster to ECR using my Github action:</p>
<pre><code># For each code location, the &quot;build-push-action&quot; builds the docker
      # image and a &quot;set-build-output&quot; command records the image tag for each code location.
      # To re-use the same docker image across multiple code locations, build the docker image once
      # and specify the same tag in multiple &quot;set-build-output&quot; commands. To use a different docker
      # image for each code location, use multiple &quot;build-push-actions&quot; with a location specific
      # tag.

      - name: Build and upload Docker image 
        if: steps.prerun.outputs.result != 'skip'
        uses: docker/build-push-action@v4
        with:
          context: .
          push: true
          tags: ${{ env.IMAGE_REGISTRY }}:${{ env.IMAGE_TAG }}-${{ github.head_ref }}-data
          cache-from: type=gha
          cache-to: type=gha,mode=max

      - name: Update build session with image tag for data
        id: ci-set-build-output-example-location
        if: steps.prerun.outputs.result != 'skip'
        uses: dagster-io/dagster-cloud-action/actions/utils/dagster-cloud-cli@v0.1
        with:
          command: &quot;ci set-build-output --location-name=teal_data --image-tag=$IMAGE_TAG-${{ github.head_ref }}-data&quot;

</code></pre>
<p>Every time, there's a new image, there are 3 new entries in ECR.</p>
<p><strong>Entry 1:</strong></p>
<p>Correct full name including the &quot;github.head_ref&quot; as I specifided.</p>
<p>ArtifactType: Image Index</p>
<p>Size: Eg 300 mb.</p>
<p><strong>entry2:</strong></p>
<p>Name: &quot;-&quot;</p>
<p>github.head_ref is not appended in the name.</p>
<p>Artifact type: Image</p>
<p>Size: 0 Mb</p>
<p><strong>Entry 3:</strong></p>
<p>Artifact type: Image</p>
<p>Size: actual size eg 300 mb.</p>
<p>Why is this so? Are these extra images really required?</p>
<p><strong>Is it possible to append github.head_ref to the remaining image entries as well?</strong></p>
<p>Is the dagster branch deployment dependent on the ImageIndex, Image or a combination of all? If I delete all the &quot;Image&quot; components, will it have an impact on my dagster deployment?</p>
<p><a href=""https://i.stack.imgur.com/5zRYp.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/5zRYp.png"" alt=""enter image description here"" /></a></p>
<p>Note:</p>
<p>I have already checked out this: <a href=""https://stackoverflow.com/questions/75811044/github-action-docker-build-push-actionv4-to-ecr-returns-untagged-images"">Github Action docker/build-push-action@v4 to ECR returns untagged images</a> question but it <strong>DOES NOT answer my concerns</strong> because</p>
<p>a) I am not using QEMU</p>
<p>b) the provenance: false tag also did not help the OP.</p>
",0,1710762330,amazon-web-services;docker;github-actions;amazon-ecr;dagster,False,21,0,1710762330,https://stackoverflow.com/questions/78179960/appending-variable-to-image-artefacts
78163936,How to chain jobs in Dagster?,"<p>I need to chain several jobs. Some have to be started right after other have finished and some need results of other jobs as an input.</p>
<p>Seems that I can start one job after the other by using sensors. AI suggests using <code>@solid</code> and <code>@pipeline</code> decorators, but I was unable to find suitable example of their usage in Dagster documentation or the internet. I can't figure out how to pass output from one job to the other. <code>job_3(job_2())</code> call doesn't seem like a Dagster approach, isn't it?</p>
<p>Here is the code to illustrate an issue:</p>
<pre class=""lang-py prettyprint-override""><code>@job
def job_1():
    save_to_db_op(
        make_api_call_op()
    )

@job
def job_2():
    out_1, out_2 = process_data_op(
        make_another_api_call_op()
    )
    save_to_db_op(out_1)
    return out_2  # I need to pass it to another job


@job
def job_3(out_2): # how to pass input here?
   process_op(out_2)
   do_some_other_staff_op()


# this function is a pseudocode to represent what I want to recreate in Dagster
def figure_it_out_pipeline():
   job_1() # wait until complete
   job_3(
       job_2
   )

</code></pre>
",0,1710458186,python;python-3.x;jobs;job-scheduling;dagster,False,55,0,1710458186,https://stackoverflow.com/questions/78163936/how-to-chain-jobs-in-dagster
78148993,Dagster Limiting Concurrency in a Job,"<p>my code location as below defs which uses k8s_job_executor</p>
<pre><code>defs = Definitions(
    assets=[the_asset], jobs=[asset_job, op_job], executor=k8s_job_executor
)
</code></pre>
<p>All jobs/schedules running fine with above defs.</p>
<p>Now i want to create an op based job, this new op should not run in parallel. so i created job with below code to limit concurrency</p>
<pre><code>
@op()
def run_query():
 ...

@job(
    executor_def=multiprocess_executor,
    config={
        &quot;execution&quot;: {
            &quot;config&quot;: {
                &quot;multiprocess&quot;: {
                    &quot;max_concurrent&quot;: 1,
                &quot;tag_concurrency_limits&quot;: [
                        {
                            &quot;key&quot;: &quot;database&quot;,
                            &quot;value&quot;: &quot;graph&quot;,
                            &quot;limit&quot;: 1,
                        }
                    ],
                },
            }
        }
    },
)
def data_load_job() -&gt; None:
</code></pre>
<p>But code is giving error</p>
<pre><code>dagster._core.errors.DagsterInvalidConfigError: Invalid default_value for Field.
    Error 1: Received unexpected config entry &quot;multiprocess&quot; at path root:config. Expected: &quot;{ max_concurrent?: Int? retries?: { disabled?: { } enabled?: { } } start_method?: { forkserver?: { preload_modules?: [String] } spawn?: { } } tag_concurrency_limits?: [{ key: String limit: Int value?: (String | { applyLimitPerUniqueValue: Bool }) }] }&quot;.
</code></pre>
<p>how to fix the error ?
Is there a way to limit the op  concurrancy in job ?</p>
",0,1710264337,python;dagster,False,39,0,1710264337,https://stackoverflow.com/questions/78148993/dagster-limiting-concurrency-in-a-job
74561519,How do I load a software defined asset in dagster from outside dagster?,"<p>I'm failry new to dagster, but I really hope it has the feature of loading a software deffined asset from outside dagster.</p>
<p>To explain my ask:</p>
<p>consider this dagster graph:</p>
<pre class=""lang-py prettyprint-override""><code>
@asset
def users()-&gt;list[int]:
    return [1,2,3]

@asset
def new_users(users)-&gt;list[int]:
    return [u for u in users if is_new(u)]
</code></pre>
<p>The details don't really matter, just that there is some dag that generates some output.</p>
<p>Outside the dagster project, I have some jupyter notebooks. I'd like to be able to load the <code>new_users</code> list. If I had to invent an API for it I'd look something like:</p>
<pre class=""lang-py prettyprint-override""><code># In some jupyter notebook for example
from dagster.{something} import Project 

project = Project(...)

new_users = project.load_asset(asset='load_asset', force_refresh=False)
</code></pre>
<p>Does dagster have this type of functionality?</p>
",1,1669296352,dagster,True,1460,2,1709752011,https://stackoverflow.com/questions/74561519/how-do-i-load-a-software-defined-asset-in-dagster-from-outside-dagster
78083649,Second query not executing,"<p>I'm trying to implement a datalake via python with Trino, Dagster as well as openpyxl and I am trying to initialize a table inside a catalog and a schema, (both defined in my config). My first query: &quot; Create schema if not exists example&quot; works whereas the second one does not. Could this be a problem with the transaction ending, so then my 2nd query is not taken into account?</p>
<p>I've tried not closing the cursor before executing the query with no avail, also tried inputting incorrect information inside of the query so that it would force an exception, however it did not trigger it.</p>
<p>Here is a code snippet where lista contains a list with tuples of type (name, type):</p>
<pre><code>@op(required_resource_keys={'trino'})
def init(context,lista):
    trino = context.resources.trino
    with trino.get_connection() as conn:
        cursor = conn.cursor()
        cursor.execute(&quot;&quot;&quot;CREATE SCHEMA if not exists my_catalog.example&quot;&quot;&quot;)
        try:
            columns_definition = ', '.join([f'{col[0]} {col[1]}' for col in lista])
            query = f'''CREATE TABLE if not exists ex1 ({columns_definition})'''
            cursor.execute(query)
            context.log.info(f'Table created with columns: {columns_definition}')
            conn.commit()
        except Exception as e:
            conn.rollback()
            context.log.error(f'Error creating table: {e}')
    return []
@repository
def workspace():
    config = {
        &quot;resources&quot;: {
            &quot;trino&quot;: {
                &quot;config&quot;: {
                    &quot;host&quot;: &quot;trino&quot;,
                    &quot;port&quot;: &quot;8060&quot;,
                    &quot;user&quot;: &quot;trino&quot;,
                    &quot;password&quot;: &quot;&quot;,
                    &quot;catalog&quot;: &quot;my_catalog&quot;,
                    &quot;schema&quot;: &quot;example&quot;   
                }
            }
        }
    }
    resource_config = config.get(&quot;resources&quot;, {}).get(&quot;trino&quot;, {}).get(&quot;config&quot;, {})
    with build_op_context(resources={'trino':trino_resource.configured(resource_config)}) as con:
        return [init(con,read_files_op(con))]
</code></pre>
",0,1709232532,python;trino;dagster,False,28,0,1709232532,https://stackoverflow.com/questions/78083649/second-query-not-executing
78077772,Dagster error - attempt to write a readonly database,"<p>I'm trying to set up a gRPC server for Dagster.  I have the gRPC server running in one process, runing the simple hello-dagster app, and Dagster in another.  When I go to materialize the assets, I get the following error:</p>
<pre><code>dagster._core.errors.DagsterLaunchFailedError: Error during RPC setup for executing run: sqlalchemy.exc.OperationalError: (sqlite3.OperationalError) attempt to write a readonly database
[SQL: PRAGMA main.table_info(&quot;alembic_version&quot;)]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
</code></pre>
<p>In searching for a solution to this problem, I ran across a similar issue <a href=""https://github.com/dagster-io/dagster/issues/18029"" rel=""nofollow noreferrer"">here</a>, but with no solution provided.  This issue made reference to permissions on the directory indicated by <code>DAGSTER_HOME</code>.  The permissions of this directory on my system (Linux) are: <code>drwxrwxr-x</code>.</p>
<p>Anyone have any thoughts about how to fix this error, or how to determine where the persmissions problem lies (if, indeed, that is the problem)?</p>
",0,1709156615,dagster,False,40,0,1709156615,https://stackoverflow.com/questions/78077772/dagster-error-attempt-to-write-a-readonly-database
78026256,filter out dagster assets based on group_name,"<p>In my assets file, I have 3 groups but they are differentiated based on their <strong>group_name</strong>*</p>
<p><strong>assets/my_assets.py:</strong></p>
<pre><code>@asset(
    group_name=&quot;group1&quot;
)
def group1_data(context: AssetExecutionContext):
    x = 1 + 3
 
   
@asset(
    group_name=&quot;group1&quot;
)
def group1_full_data(context: AssetExecutionContext):
    x = 1 + 6

@asset(
    group_name=&quot;group2&quot;
)
def group2_data(context: AssetExecutionContext):
    x = 1 + 1       
</code></pre>
<p><strong>assets/init.py:</strong></p>
<pre><code>all_assets = load_assets_from_modules([my_assets])
</code></pre>
<p>Now when I load them using load_assets_from_modules, I always end up loading all assets together. Is it not possible to load only those with a specific group name?</p>
<p>Because I want to run 2 different jobs for 2 different groups:</p>
<pre><code>from dagster import define_asset_job, load_assets_from_modules
from ..assets import my_assets

my_group1_job = define_asset_job(name=&quot;group1_job&quot;, 
                                         selection=load_assets_from_modules([my_assets]),
                                         description=&quot;Loads only group1 data&quot;)
</code></pre>
",0,1708422456,python;assets;jobs;directed-acyclic-graphs;dagster,False,74,1,1709133525,https://stackoverflow.com/questions/78026256/filter-out-dagster-assets-based-on-group-name
70243762,ChildProcessCrashException in Dagster multiprocess execution in multi-container Docker deployment,"<p>I have a Dagster job that is training a CNN (using Keras). The Op that runs <code>fit()</code> is causing the following error:</p>
<pre><code>Multiprocess executor: child process for step train unexpectedly exited with code -9
dagster.core.executor.child_process_executor.ChildProcessCrashException

Stack Trace:
  File &quot;/usr/local/lib/python3.7/site-packages/dagster/core/executor/multiprocess.py&quot;, line 163, in execute
    event_or_none = next(step_iter)
,  File &quot;/usr/local/lib/python3.7/site-packages/dagster/core/executor/multiprocess.py&quot;, line 268, in execute_step_out_of_process
    for ret in execute_child_process_command(command):
,  File &quot;/usr/local/lib/python3.7/site-packages/dagster/core/executor/child_process_executor.py&quot;, line 157, in execute_child_process_command
    raise ChildProcessCrashException(exit_code=process.exitcode)
</code></pre>
<p>No additional output is given. I am using a multi-container local Docker deployment.</p>
<p>Things tried:</p>
<ul>
<li>I run the code locally (non-Docker) by using <code>execute_in_process()</code> and this works without error.</li>
<li>Due to the mention of executor and multiprocess in the stack trace I tried setting the <code>execution</code> to <code>in_process</code> but this merely hangs.</li>
</ul>
<p>Any advice would be greatly appreciated.</p>
",0,1638785261,python;dagster,False,1429,2,1708719304,https://stackoverflow.com/questions/70243762/childprocesscrashexception-in-dagster-multiprocess-execution-in-multi-container
