post_id,title,body,score,creation_date,tags,is_answered,view_count,answer_count,last_activity_date,link
77950916,How many instances of Tracer should I use with opencensus?,"<p>The <a href=""https://opencensus.io/api/python/trace/usage.html"" rel=""nofollow noreferrer"">documentation</a> on the <code>Tracer</code> class gives some examples but does not provide recommendations on what is the desired lifecycle of a <code>Tracer</code> instance. It is possible to reuse the same instance for multiple traces. Should I practice that or should I create an new instance every time? Are there performance considerations or other caveats?</p>
<p>One reason to create a new instance could be setting a desired operation ID through <code>SpanContext(trace_id=...)</code> however the same can be achieved through</p>
<p><code>span.context_tracer.span_context.trace_id = my_trace_id</code></p>
<p>What is the best practice here?</p>
",0,1707254646,trace;opencensus,False,8,0,1707254646,https://stackoverflow.com/questions/77950916/how-many-instances-of-tracer-should-i-use-with-opencensus
57278096,How can I expose metrics of my NodeJS service using opencensus / prometheus library?,"<p>My service is written using NodeJS and I want to create a separate endpoint <code>\metrics</code> that will return the following metrics:</p>

<pre><code>Average request latency
99th percentile request latencies
</code></pre>

<p>Is there a hello world example for either <em>opencensus / prometheus</em> libraries? I didn't manage to find any examples of using it in NodeJS.</p>

<p>For example, when I add the following code from <a href=""https://gregoryguillou.github.io/gregoryguillou.github.io/2019-01/prometheus-configuration/"" rel=""nofollow noreferrer"">this tutorial</a>, my output is empty even after I execute a couple of requests.</p>
",0,1564511754,node.js;kibana;prometheus;opencensus,False,445,1,1703722454,https://stackoverflow.com/questions/57278096/how-can-i-expose-metrics-of-my-nodejs-service-using-opencensus-prometheus-libr
77242611,Migrating Azure Application Insights logging in a python project from OpenCensus to OpenTelemetary,"<p>I am trying to move from OpenCensus to OpenTelemetry as the former project has been <a href=""https://opentelemetry.io/blog/2023/sunsetting-opencensus/"" rel=""nofollow noreferrer"">sunsetted</a> and will no longer be supported by Microsoft <a href=""https://learn.microsoft.com/en-us/azure/azure-monitor/app/opentelemetry-python-opencensus-migrate?tabs=python"" rel=""nofollow noreferrer"">later next year</a>.</p>
<p><strong>Current code to create log config:</strong></p>
<pre><code>log_config = {
    &quot;version&quot;: 1,
    &quot;disable_existing_loggers&quot;: True,
        &quot;formatters&quot;: {
        &quot;default&quot;: {
            &quot;()&quot;: &quot;uvicorn.logging.DefaultFormatter&quot;,
            &quot;fmt&quot;: &quot;%(levelprefix)s [%(thread)d] [%(asctime)s.%(msecs)03d] %(message)s&quot;,
            &quot;datefmt&quot;: &quot;%Y-%m-%d %H:%M:%S&quot;,

        },
    },
    &quot;handlers&quot;: {
        &quot;default&quot;: {
            &quot;level&quot;: &quot;INFO&quot;,
            &quot;formatter&quot;: &quot;default&quot;,
            &quot;class&quot;: &quot;logging.StreamHandler&quot;,
            &quot;stream&quot;: &quot;ext://sys.stderr&quot;,
        },
        &quot;azure&quot;: {
            &quot;level&quot;: &quot;WARNING&quot;,
            &quot;class&quot;: &quot;opencensus.ext.azure.log_exporter.AzureLogHandler&quot;,
            &quot;instrumentation_key&quot;: &quot;&lt;appinsights-connection-string&gt;&quot;,
        }
    },
    &quot;loggers&quot;: {
        &quot;&quot;: {&quot;handlers&quot;: [&quot;default&quot;, &quot;azure&quot;], &quot;level&quot;: &quot;INFO&quot;},
    },
}
</code></pre>
<p><strong>Current code to apply log config:</strong></p>
<pre><code>import logging
from logging.config import dictConfig
from log_config import log_config


dictConfig(log_config)
</code></pre>
<p>The sunsetting article states that:</p>
<blockquote>
<p>We are excited to announce that OpenTelemetry has reached feature parity with OpenCensus in C++, .NET, Go, Java, JavaScript, PHP and Python.</p>
</blockquote>
<p>So I thought it would be a drop in solution but I can't seem to find and code sample that looks like what I am currently doing. Is there an OpenTelemetry handler that I can use to log to AppInsights or is there another approach I can use? The Microsoft page specifically advises against using the <a href=""https://github.com/open-telemetry/opentelemetry-python/tree/main/shim/opentelemetry-opencensus-shim"" rel=""nofollow noreferrer"">opentelemetry-opencensus-shim</a>.</p>
",3,1696577729,python-3.x;azure-application-insights;open-telemetry;python-logging;opencensus,True,864,2,1696870026,https://stackoverflow.com/questions/77242611/migrating-azure-application-insights-logging-in-a-python-project-from-opencensus
64576336,Remove customDimensions items from Application Insights when using opencensus-python,"<p>In <a href=""https://learn.microsoft.com/en-us/azure/azure-monitor/app/opencensus-python"" rel=""nofollow noreferrer"">the documentation</a> on how to use <code>opencensus-python</code> to submit traces to Azure Application Insights, it's spelled out how to add additional information to the <code>customDimensions</code> field. That is,</p>
<pre class=""lang-py prettyprint-override""><code>import logging

from opencensus.ext.azure.log_exporter import AzureLogHandler

logger = logging.getLogger(__name__)
logger.addHandler(AzureLogHandler(
    connection_string='InstrumentationKey=00000000-0000-0000-0000-000000000000')
)

logger.error('blooh')
logger.error('blooh2', extra={'custom_dimensions': {'woot': 42}})
</code></pre>
<p>becomes</p>
<p><a href=""https://i.stack.imgur.com/gZFxZ.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/gZFxZ.png"" alt=""enter image description here"" /></a></p>
<p>in the Application Insights UI.</p>
<p>That's all well and good, but what is the intended way to remove the items from <code>customDimensions</code> that are included by default; i.e. things like <code>fileName</code> and <code>process</code>?</p>
",1,1603899783,python;azure;azure-application-insights;azure-monitoring;opencensus,True,393,2,1693249245,https://stackoverflow.com/questions/64576336/remove-customdimensions-items-from-application-insights-when-using-opencensus-py
76566334,Starting Apache Ignite Docker container with OpenCensus,"<p>I am trying to start an Apache Ignite Docker container (2.15.0 or 2.15.0-jdk11).
We need to get the metrics from the container with OpenCensus.</p>
<p>Now the documentation says there is an OpenCensus exporter:
<a href=""https://ignite.apache.org/docs/latest/monitoring-metrics/new-metrics-system"" rel=""nofollow noreferrer"">https://ignite.apache.org/docs/latest/monitoring-metrics/new-metrics-system</a></p>
<p>And here we have the corresponding class:
<a href=""https://ignite.apache.org/releases/latest/javadoc/org/apache/ignite/spi/metric/opencensus/OpenCensusMetricExporterSpi.html"" rel=""nofollow noreferrer"">https://ignite.apache.org/releases/latest/javadoc/org/apache/ignite/spi/metric/opencensus/OpenCensusMetricExporterSpi.html</a></p>
<p>I did what I read in the documentation and added a few things to the default-config.xml which i can successfully use when starting my docker container with this docker-compose.yml:</p>
<pre><code>services:
  ignite:
    image: apacheignite/ignite:2.15.0-jdk11
    environment:
      - IGNITE_QUIET=false
      - IGNITE_PERFORMANCE_SUGGESTIONS_DISABLED=true
      - IGNITE_NO_ASCII=true
      - JAVA_OPTS=&quot;Djava.net.preferIPv4Stack=true&quot;
    volumes:
      - ./config:/opt/ignite/apache-ignite/config/
    ports:
      - 11211:11211
      - 47100-47110:47100-47110
      - 47500-47509:47500-47509
      - 49112:49112
      - 10800:10800
</code></pre>
<p>This is in the configuration file (default-config.xml):</p>
<pre><code>&lt;?xml version=&quot;1.0&quot; encoding=&quot;UTF-8&quot;?&gt;

&lt;beans xmlns=&quot;http://www.springframework.org/schema/beans&quot;
       xmlns:xsi=&quot;http://www.w3.org/2001/XMLSchema-instance&quot;
       xmlns:util=&quot;http://www.springframework.org/schema/util&quot;
       xsi:schemaLocation=&quot;
        http://www.springframework.org/schema/beans
        http://www.springframework.org/schema/beans/spring-beans.xsd
        http://www.springframework.org/schema/util
        http://www.springframework.org/schema/util/spring-util.xsd&quot;&gt;
        
    &lt;bean id=&quot;ignite.cfg&quot; class=&quot;org.apache.ignite.configuration.IgniteConfiguration&quot;&gt;
        &lt;!-- Set to true to enable distributed class loading for examples, default is false. --&gt;
        &lt;property name=&quot;peerClassLoadingEnabled&quot; value=&quot;true&quot;/&gt;
        &lt;property name=&quot;metricsLogFrequency&quot; value=&quot;5000&quot;/&gt;
        &lt;property name=&quot;metricExporterSpi&quot;&gt;
            &lt;list&gt;
                &lt;bean class=&quot;org.apache.ignite.spi.metric.jmx.JmxMetricExporterSpi&quot;/&gt;
                &lt;bean class=&quot;org.apache.ignite.spi.metric.log.LogExporterSpi&quot;/&gt;
                &lt;bean class=&quot;org.apache.ignite.spi.metric.opencensus.OpenCensusMetricExporterSpi&quot;/&gt;
            &lt;/list&gt;
        &lt;/property&gt;
        
        &lt;!-- Enable task execution events for examples. --&gt;
        &lt;property name=&quot;includeEventTypes&quot;&gt;
            &lt;list&gt;
                &lt;util:constant static-field=&quot;org.apache.ignite.events.EventType.EVT_NODE_SEGMENTED&quot;/&gt;
            &lt;/list&gt;
        &lt;/property&gt;

        &lt;!-- Explicitly configure TCP discovery SPI to provide list of initial nodes. --&gt;
        &lt;property name=&quot;discoverySpi&quot;&gt;
            &lt;bean class=&quot;org.apache.ignite.spi.discovery.tcp.TcpDiscoverySpi&quot;&gt;
                &lt;property name=&quot;ipFinder&quot;&gt;
                    &lt;bean class=&quot;org.apache.ignite.spi.discovery.tcp.ipfinder.multicast.TcpDiscoveryMulticastIpFinder&quot;&gt;
                        &lt;property name=&quot;addresses&quot;&gt;
                            &lt;list&gt;
                                &lt;!-- In distributed environment, replace with actual host IP address. --&gt;
                                &lt;value&gt;127.0.0.1:47500..47509&lt;/value&gt;
                            &lt;/list&gt;
                        &lt;/property&gt;
                    &lt;/bean&gt;
                &lt;/property&gt;
            &lt;/bean&gt;
        &lt;/property&gt;
                
        &lt;property name=&quot;cacheConfiguration&quot;&gt;
            &lt;list&gt;
                &lt;bean class=&quot;org.apache.ignite.configuration.CacheConfiguration&quot;&gt;
                    &lt;property name=&quot;name&quot; value=&quot;mycache&quot;/&gt;
                    &lt;!-- Enable statistics for the cache. --&gt;
                    &lt;property name=&quot;statisticsEnabled&quot; value=&quot;true&quot;/&gt;
                &lt;/bean&gt;
            &lt;/list&gt;
        &lt;/property&gt;

    &lt;/bean&gt;
    
&lt;/beans&gt;
</code></pre>
<p>So the problem now is: Basically the metrics/monitoring works, as long as I don't have that line in the default-config.xml:</p>
<p><code>&lt;bean class=&quot;org.apache.ignite.spi.metric.opencensus.OpenCensusMetricExporterSpi&quot;/&gt;</code></p>
<p>Then I get this error from spring:</p>
<pre><code>WARNING: Unknown module: jdk.internal.jvmstat specified to --add-exports
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by org.apache.ignite.internal.util.GridUnsafe$2 (file:/opt/ignite/apache-ignite/libs/ignite-core-2.15.0.jar) to field java.nio.Buffer.address
WARNING: Please consider reporting this to the maintainers of org.apache.ignite.internal.util.GridUnsafe$2
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
Ignite Command Line Startup, ver. 2.15.0#20230425-sha1:f98f7f35
2023 Copyright(C) Apache Software Foundation

class org.apache.ignite.IgniteException: Failed to instantiate Spring XML application context (make sure all classes used in Spring configuration are present at CLASSPATH) [springUrl=file:/opt/ignite/apache-ignite/config/default-config.xml]
at org.apache.ignite.internal.util.IgniteUtils.convertException(IgniteUtils.java:1150)
at org.apache.ignite.Ignition.start(Ignition.java:328)
at org.apache.ignite.startup.cmdline.CommandLineStartup.main(CommandLineStartup.java:365)
Caused by: class org.apache.ignite.IgniteCheckedException: Failed to instantiate Spring XML application context (make sure all classes used in Spring configuration are present at CLASSPATH) [springUrl=file:/opt/ignite/apache-ignite/config/default-config.xml]
at org.apache.ignite.internal.util.spring.IgniteSpringHelperImpl.applicationContext(IgniteSpringHelperImpl.java:381)
at org.apache.ignite.internal.util.spring.IgniteSpringHelperImpl.loadConfigurations(IgniteSpringHelperImpl.java:103)
at org.apache.ignite.internal.util.spring.IgniteSpringHelperImpl.loadConfigurations(IgniteSpringHelperImpl.java:97)
at org.apache.ignite.internal.IgnitionEx.loadConfigurations(IgnitionEx.java:698)
at org.apache.ignite.internal.IgnitionEx.start(IgnitionEx.java:883)
at org.apache.ignite.internal.IgnitionEx.start(IgnitionEx.java:808)
at org.apache.ignite.internal.IgnitionEx.start(IgnitionEx.java:678)
at org.apache.ignite.internal.IgnitionEx.start(IgnitionEx.java:647)
at org.apache.ignite.Ignition.start(Ignition.java:325)
... 1 more
Caused by: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'ignite.cfg' defined in URL [file:/opt/ignite/apache-ignite/config/default-config.xml]: Cannot create inner bean 'org.apache.ignite.spi.metric.opencensus.OpenCensusMetricExporterSpi#71e9ddb4' of type [org.apache.ignite.spi.metric.opencensus.OpenCensusMetricExporterSpi] while setting bean property 'metricExporterSpi' with key [2]; nested exception is org.springframework.beans.factory.CannotLoadBeanClassException: Cannot find class [org.apache.ignite.spi.metric.opencensus.OpenCensusMetricExporterSpi] for bean with name 'org.apache.ignite.spi.metric.opencensus.OpenCensusMetricExporterSpi#71e9ddb4' defined in URL [file:/opt/ignite/apache-ignite/config/default-config.xml]; nested exception is java.lang.ClassNotFoundException: org.apache.ignite.spi.metric.opencensus.OpenCensusMetricExporterSpi
at org.springframework.beans.factory.support.BeanDefinitionValueResolver.resolveInnerBean(BeanDefinitionValueResolver.java:389)
at org.springframework.beans.factory.support.BeanDefinitionValueResolver.resolveValueIfNecessary(BeanDefinitionValueResolver.java:127)
at org.springframework.beans.factory.support.BeanDefinitionValueResolver.resolveManagedList(BeanDefinitionValueResolver.java:428)
at org.springframework.beans.factory.support.BeanDefinitionValueResolver.resolveValueIfNecessary(BeanDefinitionValueResolver.java:173)
at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.applyPropertyValues(AbstractAutowireCapableBeanFactory.java:1702)
at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.populateBean(AbstractAutowireCapableBeanFactory.java:1447)
at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:593)
at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:516)
at org.springframework.beans.factory.support.AbstractBeanFactory.lambda$doGetBean$0(AbstractBeanFactory.java:324)
at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:234)
at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:322)
at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:202)
at org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:897)
at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:879)
at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:551)
at org.apache.ignite.internal.util.spring.IgniteSpringHelperImpl.applicationContext(IgniteSpringHelperImpl.java:375)
... 9 more
Caused by: org.springframework.beans.factory.CannotLoadBeanClassException: Cannot find class [org.apache.ignite.spi.metric.opencensus.OpenCensusMetricExporterSpi] for bean with name 'org.apache.ignite.spi.metric.opencensus.OpenCensusMetricExporterSpi#71e9ddb4' defined in URL [file:/opt/ignite/apache-ignite/config/default-config.xml]; nested exception is java.lang.ClassNotFoundException: org.apache.ignite.spi.metric.opencensus.OpenCensusMetricExporterSpi
at org.springframework.beans.factory.support.AbstractBeanFactory.resolveBeanClass(AbstractBeanFactory.java:1486)
at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:488)
at org.springframework.beans.factory.support.BeanDefinitionValueResolver.resolveInnerBean(BeanDefinitionValueResolver.java:374)
... 24 more
Caused by: java.lang.ClassNotFoundException: org.apache.ignite.spi.metric.opencensus.OpenCensusMetricExporterSpi
at java.base/jdk.internal.loader.BuiltinClassLoader.loadClass(Unknown Source)
at java.base/jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(Unknown Source)
at java.base/java.lang.ClassLoader.loadClass(Unknown Source)
at java.base/java.lang.Class.forName0(Native Method)
at java.base/java.lang.Class.forName(Unknown Source)
at org.springframework.util.ClassUtils.forName(ClassUtils.java:284)
at org.springframework.beans.factory.support.AbstractBeanDefinition.resolveBeanClass(AbstractBeanDefinition.java:469)
at org.springframework.beans.factory.support.AbstractBeanFactory.doResolveBeanClass(AbstractBeanFactory.java:1551)
at org.springframework.beans.factory.support.AbstractBeanFactory.resolveBeanClass(AbstractBeanFactory.java:1478)
... 26 more
Failed to start grid: Failed to instantiate Spring XML application context (make sure all classes used in Spring configuration are present at CLASSPATH) [springUrl=file:/opt/ignite/apache-ignite/config/default-config.xml]
Note! You may use 'USER_LIBS' environment variable to specify your classpath.
</code></pre>
<p><strong>So finally my question:</strong> Am I missing a step? Do I have to manually provide the SPI class for the container? Or is there something else that I can do?</p>
<p>I have tried to adjust the configuration file in many ways, but this seems to be the correct structure.</p>
<p><strong>Update:</strong></p>
<p>I have adjusted the docker-compose.yml, so now it looks like this:</p>
<pre><code>services:
  ignite:
    image: apacheignite/ignite:2.15.0-jdk11
    environment:
      - IGNITE_QUIET=false
      - IGNITE_PERFORMANCE_SUGGESTIONS_DISABLED=true
      - IGNITE_NO_ASCII=true
      - OPTION_LIBS=ignite-opencensus,ignite-web
      - JAVA_OPTS=&quot;Djava.net.preferIPv4Stack=true&quot;
      #- EXTERNAL_LIBS = &quot;C:/git/ignite-prometheus/target/ignite-prometheus-1.0.0-jar-with-dependencies.jar&quot;

    volumes:
      - ./config:/opt/ignite/apache-ignite/config/
      - ./libs:/opt/ignite/apache-ignite/libs/user_libs
    ports:
      - 11211:11211
      - 47100-47110:47100-47110
      - 47500-47509:47500-47509
      - 49112:49112
      - 10800:10800
      - 9000:9000
</code></pre>
<p>(Note: I'm testing locally, so I have Windows paths. This will ofc not be the final version.)</p>
<p>Additionally I have provided a Jar file with the needed dependencies for my new beans in the configuration. (Taken from the blog post mentioned in the answer by Stephen).</p>
<p>So now my default-config.xml looks like this:
(I excluded the beans tag for this.)</p>
<pre><code>&lt;bean id=&quot;ignite.cfg&quot; class=&quot;org.apache.ignite.configuration.IgniteConfiguration&quot;&gt;
    &lt;!-- Set to true to enable distributed class loading for examples, default is false. --&gt;
    &lt;property name=&quot;peerClassLoadingEnabled&quot; value=&quot;true&quot;/&gt;
    &lt;property name=&quot;metricsLogFrequency&quot; value=&quot;60000&quot;/&gt;
    &lt;property name=&quot;metricExporterSpi&quot;&gt;
        &lt;list&gt;
            &lt;bean class=&quot;org.apache.ignite.spi.metric.jmx.JmxMetricExporterSpi&quot;/&gt;
            &lt;bean class=&quot;org.apache.ignite.spi.metric.log.LogExporterSpi&quot;/&gt;
            &lt;bean class=&quot;org.apache.ignite.spi.metric.opencensus.OpenCensusMetricExporterSpi&quot;&gt;
              &lt;property name=&quot;period&quot; value=&quot;60000&quot; /&gt;
            &lt;/bean&gt;
        &lt;/list&gt;
    &lt;/property&gt;
    
    &lt;!-- Enable task execution events for examples. --&gt;
    &lt;property name=&quot;includeEventTypes&quot;&gt;
        &lt;list&gt;
            &lt;util:constant static-field=&quot;org.apache.ignite.events.EventType.EVT_NODE_SEGMENTED&quot;/&gt;
        &lt;/list&gt;
    &lt;/property&gt;

    &lt;!-- Explicitly configure TCP discovery SPI to provide list of initial nodes. --&gt;
    &lt;property name=&quot;discoverySpi&quot;&gt;
        &lt;bean class=&quot;org.apache.ignite.spi.discovery.tcp.TcpDiscoverySpi&quot;&gt;
            &lt;property name=&quot;ipFinder&quot;&gt;
                &lt;bean class=&quot;org.apache.ignite.spi.discovery.tcp.ipfinder.multicast.TcpDiscoveryMulticastIpFinder&quot;&gt;
                    &lt;property name=&quot;addresses&quot;&gt;
                        &lt;list&gt;
                            &lt;!-- In distributed environment, replace with actual host IP address. --&gt;
                            &lt;value&gt;127.0.0.1:47500..47509&lt;/value&gt;
                        &lt;/list&gt;
                    &lt;/property&gt;
                &lt;/bean&gt;
            &lt;/property&gt;
        &lt;/bean&gt;
    &lt;/property&gt;
            
    &lt;property name=&quot;cacheConfiguration&quot;&gt;
        &lt;list&gt;
            &lt;bean class=&quot;org.apache.ignite.configuration.CacheConfiguration&quot;&gt;
                &lt;property name=&quot;name&quot; value=&quot;mycache&quot;/&gt;
                &lt;property name=&quot;statisticsEnabled&quot; value=&quot;true&quot;/&gt;
            &lt;/bean&gt;
        &lt;/list&gt;
    &lt;/property&gt;

&lt;/bean&gt;

&lt;bean id=&quot;opencensusWrapper&quot; class=&quot;org.springframework.beans.factory.config.MethodInvokingBean&quot;&gt;
    &lt;property name=&quot;staticMethod&quot; value=&quot;io.opencensus.exporter.stats.prometheus.PrometheusStatsCollector.createAndRegister&quot;/&gt;
&lt;/bean&gt;

&lt;bean id=&quot;httpServer&quot; class=&quot;io.prometheus.client.exporter.HTTPServer&quot;&gt;
    &lt;constructor-arg type=&quot;java.lang.String&quot; value=&quot;localhost&quot;/&gt;
    &lt;constructor-arg type=&quot;int&quot; value=&quot;9000&quot;/&gt;
    &lt;constructor-arg type=&quot;boolean&quot; value=&quot;true&quot;/&gt;
&lt;/bean&gt;
</code></pre>
<p>The Ignites spring framework does <strong>something</strong> with it.
Because without the Jar file I would get corresponding ClassNotFoundExceptions.</p>
<p>Now maybe the structure of the configuration could be messed up, but I don't have any idea what I could do to reach my goal.</p>
<p>Note that in the logs of the Ignite container I don't see any sign of a web server being started. And no sign of port 9000 being used.</p>
<p>But I also don't get any errors in the container log.</p>
",1,1687878971,spring;docker;ignite;opencensus,True,236,1,1688049152,https://stackoverflow.com/questions/76566334/starting-apache-ignite-docker-container-with-opencensus
76158054,Azure function keeps sending the same metric value overtime,"<p>I want to send some metric data to Azure appinsight, I am using Azure function ,this is my code :</p>
<pre><code>from opencensus.ext.azure import metrics_exporter
from opencensus.stats import aggregation as aggregation_module
from opencensus.stats import measure as measure_module
from opencensus.stats import stats as stats_module
from opencensus.stats import view as view_module
from opencensus.tags import tag_map as tag_map_module

def build_sum_aggregation_metric(measure_name, measure_description, measure_unit, view_name, view_description, metric_value):   
    stats = stats_module.stats
    view_manager = stats.view_manager
    stats_recorder = stats.stats_recorder

    MEASURE = measure_module.MeasureInt(measure_name,
                                                measure_description,
                                                measure_unit)

    VIEW = view_module.View(view_name,
                                    view_description,
                                    [],
                                    MEASURE,
                                    aggregation_module.SumAggregation())

    instrumentation_key = os.getenv(&quot;APP_INSIGHTS_KEY&quot;)
    exporter = metrics_exporter.new_metrics_exporter(
            connection_string=instrumentation_key
        )
    view_manager.register_exporter(exporter)

    view_manager.register_view(VIEW)


    mmap = stats_recorder.new_measurement_map()
    tmap = tag_map_module.TagMap()

    mmap.measure_int_put(MEASURE, metric_value)
    mmap.record(tmap)
</code></pre>
<p>And here is my azure function :</p>
<pre><code>def main(req: func.HttpRequest) -&gt; func.HttpResponse:
    req_body = req.get_json()
    build_sum_aggregation_metric(&quot;metric 1&quot;,&quot;metric 1&quot;,&quot;metric 1&quot;, &quot;metric 1&quot;, &quot;metric 1&quot;, 5)
        
    build_sum_aggregation_metric(&quot;metric 2&quot;,&quot;metric 2&quot;,&quot;metric 2&quot;, &quot;metric 2&quot;, &quot;metric 2&quot;, 10)
    response ={ &quot;value&quot; : &quot;metric sent&quot; }

    return func.HttpResponse(
        json.dumps(response),
        headers={
            &quot;Content-Type&quot;: &quot;application/json&quot;
        }
    )
</code></pre>
<p>After doing a request I thought that this will only send the request 1 time but in Application Insights count it shows it keeps sending the metric multiple time until I stop the function even thought I did not run any request is that a normal behavior , and there is a way to send only the metric 1 time for each request ?</p>
",0,1683053975,python-3.x;azure-functions;azure-application-insights;appinsights;opencensus,False,105,1,1683203528,https://stackoverflow.com/questions/76158054/azure-function-keeps-sending-the-same-metric-value-overtime
69455830,Why won&#39;t custom events logged in Python show up in API Explorer?,"<p>For context, I am building a dashboard summarizing events, traces, and exceptions across multiple environments on Azure.</p>
<p>I am using the opencensus github project at <br />
<a href=""https://github.com/census-instrumentation/opencensus-python/tree/master/contrib/opencensus-ext-azure"" rel=""nofollow noreferrer"">https://github.com/census-instrumentation/opencensus-python/tree/master/contrib/opencensus-ext-azure</a></p>
<p>I am able to fetch and retrieve the customEvents logs, but only through the Azure portal.</p>
<p><img src=""https://i.stack.imgur.com/3OLaB.png"" alt=""Azure Portal"" /></p>
<p>The API Explorer returns no data.</p>
<p><img src=""https://i.stack.imgur.com/GQNqZ.png"" alt=""API Explorer"" /></p>
<p><i>For reference</i></p>
<p>App Insights logging in JS and TS trackEvent has no issue. <br />
I cannot find any documentation on why this is happening nor how to query the logs outside of the Azure portal.</p>
",0,1633459974,python;azure;azure-application-insights;opencensus,False,374,0,1680792118,https://stackoverflow.com/questions/69455830/why-wont-custom-events-logged-in-python-show-up-in-api-explorer
75887819,How to manually connect nodes in the application map?,"<p>I want to do this:</p>
<p><img src=""https://i.stack.imgur.com/Jwy4T.png"" alt=""ideal application map"" /></p>
<p>the function I wish to connect to the others does use the requests library to hit both external and internal APIs but these links don't show in the application map.</p>
<p>Is there a way to connect them manually?</p>
<p>If the solution is not available using the portal, all code is written in python.</p>
",0,1680176725,python;azure-functions;azure-application-insights;opencensus,True,43,1,1680181023,https://stackoverflow.com/questions/75887819/how-to-manually-connect-nodes-in-the-application-map
75876605,How to change the application insights cloud role name for an azure function in python?,"<p>Basically as said in title.</p>
<p>I've read doc on callback functions and changes of variables but where does this all go?</p>
<p>I suspect I'm missing something but im not sure what</p>
<p>What needs to exist for this change to happen?</p>
<p>I suspect its something to do with OpenCensus,handlers and loggers but im not entirely confident what their functions are.</p>
<p>my function is written in vscode and the code is written entirely in Python</p>
",0,1680089348,python;azure-functions;azure-application-insights;opencensus,True,1029,1,1680093498,https://stackoverflow.com/questions/75876605/how-to-change-the-application-insights-cloud-role-name-for-an-azure-function-in
75608062,Are traces sent from OpenCensus to OpenTelemetry recognizable,"<p>I have OpenCensus implemented in my Go application and planning on sending <a href=""https://pkg.go.dev/go.opencensus.io/trace#SpanContext"" rel=""nofollow noreferrer"">SpanContext</a> to a downstream service that uses OpenTelemetry. The SpanContext would include populated TraceID, SpanID, Tracestate and I'm planning to send the SpanContext in the PubSub message attributes.</p>
<p>I'm wondering if the information within the SpanContext sent downstream will be recognizable by OpenTelemetry?</p>
",1,1677698352,go;trace;open-telemetry;distributed-tracing;opencensus,False,76,1,1678891505,https://stackoverflow.com/questions/75608062/are-traces-sent-from-opencensus-to-opentelemetry-recognizable
